Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	3	3	0	35	0	122	4.43225899495883	1	0.0600131565868257	11.8869184040358
2	1	63	84	1	32	0	122	0.962785220006481	1	0.0152125037863729	0
3	0	83	109	0	30	0	120	2.39479677198688	1	0.068144830457276	11.8869184040358
4	1	146	67	0	27	0	122	3.62308012903668	1	0.0438615956320479	11.8869184040358
5	0	109	123	0	25	0	120	1.0274409459671	1	0.0954853449161164	11.8869184040872
6	1	87	102	0	22	0	122	0.918683692987543	1	0.0422534370781934	11.8869184085594
7	0	129	58	0	20	0	120	0.824976708972827	1	0.0414426095952926	11.8869184722877
8	1	1	38	0	17	0	122	1.12235655798577	1	0.0200293835350661	0
9	1	93	130	1	15	0	122	1.87269818596542	1	0.021019635472379	0
10	1	87	43	1	12	0	120	0.965843221987598	0	0.0708459696035611	-23.775771479146
11	1	85	74	1	20	0	122	0.669193853042088	1	0.0401247324833739	11.8869184722877
12	0	21	14	1	17	0	120	0.862126137013547	1	0.0135743125192745	0
13	1	112	120	0	15	0	120	2.02667038299842	0	0.0384618824021688	-23.7739051598354
14	1	126	9	1	22	0	120	1.16570292401593	0	0.0139824219340525	-0
15	1	17	74	1	29	0	122	0.742189145996235	1	0.0238463636548414	0
16	1	123	8	1	27	0	122	1.58138920197962	1	0.031020518053589	11.8869184040358
17	1	52	87	1	25	0	122	2.03639741998632	1	0.0867932716658994	11.8869184040872
18	0	9	41	1	23	0	120	1.01624708902091	1	0.0253165652500411	11.886918405141
19	0	24	122	0	21	0	120	2.94772852101596	1	0.0520031701480073	11.8869184218987
20	1	71	125	1	19	0	122	1.53148904099362	1	0.0864081114147073	11.8869186564176
21	1	145	27	1	17	0	120	1.21111927705351	0	0.04690455387315	-23.7738430735273
22	0	80	61	1	23	0	120	1.08817288902355	1	0.0487927423815615	11.886918405141
23	0	17	3	1	21	0	120	0.785670113982633	1	0.034993144830443	11.8869184218987
24	1	51	52	1	19	0	122	0.800765270018019	1	0.0446119199295937	11.8869186564176
25	0	49	131	1	17	0	122	1.06914112000959	0	0.0669468254800698	-23.7738430735273
26	1	146	101	1	23	0	120	0.616266669007018	0	0.02227138944256	-0
27	0	41	138	1	28	0	120	0.915670942980796	1	0.0244207946421423	0
28	0	120	4	1	26	0	120	3.00585446401965	1	0.0546576094212282	11.8869184040486
29	1	10	22	1	25	0	122	2.05808384501142	1	0.0220621123728939	0
30	0	36	126	1	23	0	122	3.60598210000899	0	0.0351723386364302	-23.7738368102819
31	1	78	130	1	28	0	122	2.28119454998523	1	0.0713317650568963	11.8869184040358
32	1	83	110	0	26	0	120	1.85089317697566	0	0.0129917400541994	-0
33	1	33	39	0	31	0	122	4.83943396201357	1	0.0149409665574208	0
34	0	4	15	0	30	0	120	1.19502068200381	1	0.015396420275438	0
35	1	12	144	0	28	0	122	1.0013055090094	1	0.0537041189653048	11.8869184040358
36	1	143	107	0	27	0	122	0.766565063968301	1	0.0705175342824118	11.8869184040358
37	0	60	97	1	25	0	120	0.741300319030415	1	0.0647657746858148	11.8869184040872
38	1	15	51	1	24	0	120	3.61101509496802	0	8.52772734113882e-13	-0
39	0	27	136	0	28	0	120	1.13784518901957	1	0.0927573454811921	11.8869184040358
40	0	10	6	0	27	0	120	0.77777641499415	1	0.0253141727821091	11.8869184040358
41	0	60	14	1	25	0	120	1.28483408398461	1	0.0320613424880152	11.8869184040872
42	1	13	98	0	24	0	122	0.750999802025035	1	0.073028673734826	11.8869184042928
43	1	102	67	1	23	0	122	0.60788159398362	1	0.104648157809425	11.886918405141
44	1	36	29	1	21	0	122	1.4991747890017	1	0.0222147408660042	0
45	0	10	83	1	20	0	120	3.36422630597372	1	0.0456850207566982	11.8869184722877
46	1	134	51	0	19	0	122	1.32271521404618	1	0.0237471379091327	0
47	1	102	24	1	17	0	122	0.868017714004964	1	0.0281185890575364	11.8869215367637
48	0	21	137	1	16	0	120	0.735179768002126	1	0.0367198854756992	11.8869289193812
49	0	122	21	0	15	0	120	2.60527956899023	1	0.0312296178127338	11.8869525799177
50	0	1	42	1	14	0	120	2.1620103160385	1	0.0658607830199856	11.8870259586511
51	0	94	56	0	12	0	120	1.32100991398329	1	0.0306115480317695	11.887885739573
52	0	97	21	1	11	0	122	1.52248200797476	0	0.0668678628916361	-23.7793667519532
53	0	55	70	0	15	0	120	2.63476105500013	1	0.0440283963172397	11.8869525799177
54	0	127	148	0	14	0	120	0.862588231044356	1	0.00313238918640621	0
55	1	90	55	1	12	0	120	1.32955999096157	0	0.0309093267151781	-23.775771479146
56	1	21	12	1	16	0	122	2.13786312303273	1	0.00412988611317832	0
57	1	132	98	0	15	0	122	0.833803863963112	1	0.0313498658856178	11.8869525799177
58	0	50	85	1	14	0	120	0.748854140983894	1	0.0841532270330742	11.8870259586511
59	0	30	65	0	12	0	120	1.06772744900081	1	0.0243315344133364	0
60	1	13	49	0	11	0	122	1.07094578701071	1	0.0356939219747334	11.8896833759766
61	1	126	8	1	10	0	122	1.12917257903609	1	0.0196725164207631	0
62	1	138	67	0	9	0	122	0.874254963942803	1	0.0224756229759634	0
63	0	145	91	0	8	0	120	1.0057030619937	1	0.025048369478334	11.9404121573672
64	1	74	94	1	7	0	120	1.10639095498482	0	0.00107405425239127	-0
65	1	19	32	1	10	0	120	0.993973807024304	0	0.0462883913757171	-23.7891489103738
66	0	81	77	0	13	0	122	1.80028844304616	0	0	-0
67	0	99	52	1	16	0	122	1.87858829001198	0	0.00162062315492431	-0
68	1	89	2	1	20	0	122	0.752414971997496	1	0.0598884676489469	11.8869184722877
69	0	120	57	1	19	0	120	0.728069354954641	1	0.0853375460462215	11.8869186564176
