Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
2731	3006	2961	3680	2330	2764	2988	2083	1968	2250	2062	2217	2455	2488	1829	1697	2977	2749	1696	1710	1954	2108	2313	2719	3086	2077	2877	3779	2384	3025	2198	3603	5866	1808	1704	2960	1964	3016	2760	1710	2513	2456	2479	2470	2594	2751	1946	1853	2315	2438	1953	2251	1823	2227	1971	1822	2220	3496	1839	2369	2118	2236	2222	2504	2114	2384	1971	1829	2880	1949	2098	3342	2324	1825	2201	2107	2058	1985	2318	1703	1850	2442	3132	3230	2236	2485	1704	1973	2059	1689	1822	2606	2374	2583	2887	2105	1829	2574	3023	1822	2752	2449	2706	2324	1694	2446	2244	2329	2501	1950	2089	2224	2187	1685	1977	1838	2073	2330	2201	2511	1961	2112	2066	2099	1834	2507	2446	2758	3102	3018	1845	2707	1846	3281	1694	1824	2472	4833	1936	6464	2099	2189	2912	3013	2747	6038	3903	3253	3751	4158	2227	2076	3422	6310	2068	3600	2249	2115	1839	2351	2370	2564	3098	2073	2363	2070	1838	2837	2511	2251	2226	2247	2500	1686	2067	3283	2073	2755	1837	3175	1848	2363	2458	2868	3334	1709	2606	2356	3686	3672	2882	1703	1829	2230	3481	2899	3210	2763	2250	1697	3235	3207	2093	1829	3868	1976	6325	1707	7031	5154	2363	3226	2092	2866	1943	2080	4022	2487	2777	1813	2570	3245	1845	2735	2705	1852	1937	1837	2870	2574	1977	2227	4320	2480	2229	1833	1700	2479	1825	4589	1934	1939	1848	2875	2350	2486	1942	3003	1691	2832	1699	2831	2373	1845	3559	3102	1701	3003	2369	2870	2730	4338	1706	1689	2750	1977	3464	3217	2608	2112	3086	1826	1965	2194	3082	2073	5436	3042	7501	1830	3817	2581	4771	2757	2775	1841	2860	1945	1703	2312	5269	2371	3130	2828	2443	2106	3010	2099	2631	3498
3164	3994	3678	3860	2850	6046	3543	2366	2214	2565	2591	2386	2594	2624	1978	1821	3083	3433	1836	1975	2225	2343	2348	2892	3116	3137	2993	4185	2490	3119	2482	5662	6077	2118	2621	4028	2960	3287	4043	2965	2781	2700	2970	2565	4306	2753	2076	2076	2717	2646	2480	2438	1970	2242	2622	2776	2438	3921	2837	2984	2780	2494	3275	2644	2332	4021	2702	3222	2964	1978	2325	3396	2456	1979	2368	2997	2354	2363	2623	2637	2970	2838	3227	3860	2441	2835	2088	2111	2353	1826	2093	2614	2505	2989	2998	2365	1953	2615	3039	1957	3078	2492	2762	2569	2729	2634	2334	2645	3167	2845	3171	2253	3301	1702	3305	2191	2116	2356	2978	3221	2204	2198	3208	2382	3856	3142	2620	2870	3207	3372	2312	3007	2188	3545	4204	2225	3029	4847	2120	6526	2695	2861	3011	4167	3868	6565	3998	4151	4527	4527	2340	2957	4698	7019	2740	3609	3225	3091	3415	3211	3783	5189	4567	3030	4929	2238	2314	2876	2864	2605	2699	2369	2635	2332	3646	4822	2075	3806	2219	3526	2078	3170	2589	3613	5086	2313	4458	2381	4643	4107	3801	4429	2992	2617	3772	3663	4240	4366	2870	1964	3364	3307	2564	2372	4417	5322	8865	3460	0	5369	4053	4755	5784	0	3989	3905	4133	2763	4016	4928	3638	3717	6491	3359	3155	2224	2859	2592	3156	2912	2366	2878	5142	3728	2504	2496	2206	2695	3159	5341	3121	3176	3220	3788	2458	2580	2215	3488	3101	3025	3290	3076	2574	2492	3886	3244	2475	3357	3121	3536	3222	4452	3559	2966	3526	2729	3525	4081	3128	3000	3396	3146	2766	5717	4961	4022	5589	3148	8210	1842	7183	9765	5000	3038	3716	2825	3358	1961	2640	3530	6657	4032	3618	2854	2758	3128	3147	4753	2761	6522
3342	4243	3715	4122	3241	7992	3555	3031	2318	2955	3271	2727	2909	2839	2230	2872	3355	3971	3210	2854	2440	2780	3094	4141	3546	3261	3256	4449	4000	3405	3089	6335	6567	2192	3585	4551	3588	3479	4079	4069	4484	2946	3088	2757	4531	3356	2622	2448	2897	2774	3092	2996	2223	2385	2897	3515	3411	4127	3239	3127	2781	2496	3596	2963	2740	4166	2721	3248	3474	2217	2640	3564	2567	2386	2443	3229	2614	2500	2719	3163	3212	4354	3263	4522	2576	3247	2190	2238	2438	1850	2100	2851	2594	4245	4054	2603	2437	2912	3513	2064	3144	2716	3152	2617	2766	3038	2841	2869	3293	2972	3346	2319	3498	3092	3339	2621	2326	2363	3820	3487	2946	2486	3413	2914	4333	3926	2708	3147	3353	3715	3862	3282	2603	3615	4802	2727	3294	6399	2501	6694	3795	3412	3721	4286	3901	6919	4056	4454	6872	6392	3125	3139	5017	7362	2891	4919	3642	4027	3884	4533	6753	5195	6497	3082	5878	4295	2324	4064	3501	3162	2752	2864	3682	2619	4504	5063	2901	3904	2517	3587	2081	3487	3135	3996	5157	2335	4684	2909	5012	4117	4337	4741	3334	2738	3976	3847	4297	4656	2877	2317	4124	4415	4308	2822	5987	7877	11223	3909	0	5895	4238	11215	7907	0	5781	4712	4905	3160	5054	6730	4613	3739	6677	5020	3257	2827	3151	2649	3295	3731	3789	2968	6085	4938	2772	4083	3141	2960	3594	6035	3620	3789	5106	4531	3242	2730	3222	4298	3598	3032	3498	3608	3259	3510	4484	3763	2513	5860	3491	3868	3372	5167	4018	3347	4463	3133	3596	4245	3721	3768	3689	5027	6029	6254	5146	5190	6018	3341	12597	1939	8280	12649	7187	4179	5190	2883	3726	2950	4810	4225	6774	4235	3862	3381	2839	3241	3360	6573	4211	6810
3428	4320	3775	4155	3904	8567	3778	3816	3158	3097	3416	2890	3040	3203	3078	3104	3410	4273	3849	2909	3139	2838	3122	4194	3671	3265	3341	4843	4272	4239	3474	6609	7042	3903	4387	4699	3667	3643	4326	4127	4641	3720	3169	4389	4705	3464	2720	2456	3540	2830	3556	3458	2602	3164	2953	3999	3970	5385	3593	3501	3096	3376	3734	3906	2776	4363	3491	3332	3551	3115	3089	3664	2570	2611	2478	3668	3012	2505	2839	3483	3892	4492	3918	4853	3390	3253	2217	3265	2778	2058	2344	3281	2980	4321	4158	2752	2517	2951	3565	2358	3231	2864	3405	2833	2876	3156	2872	2909	3548	3371	3425	2495	3505	3393	3417	4153	2446	3854	3904	3521	3358	4252	4206	3136	4337	4434	3081	3404	3492	4611	4575	3759	3277	4039	5160	3090	3349	6911	2646	7733	6830	4019	4100	4323	4938	7586	4578	5039	7849	6527	3917	4802	5328	7775	4234	5412	3746	4576	4199	4589	8821	5230	7744	3201	8538	6737	3742	4610	3542	3537	5076	3113	3756	2983	4828	5815	2957	3933	4122	4000	4071	4013	3162	4678	5281	3158	6201	3272	5551	4442	5004	5228	3409	3222	4052	3910	5546	5691	3030	3688	4462	4791	5135	3337	8112	9199	13771	7955	0	6568	4362	13524	11555	0	7716	4813	5161	5508	5360	7745	4654	4927	6785	5455	3599	3270	3465	3763	4631	5727	4709	5676	6115	5857	2975	4303	3693	3222	3806	6251	3740	4013	5285	4833	5171	2904	3343	4826	4454	3154	4193	3798	3625	3921	4661	4403	2517	6723	3501	3869	3746	6355	4143	4412	4775	4170	3855	6746	3760	3997	5453	6039	6045	7294	6680	5290	6182	4915	12636	2078	8963	14496	7654	5478	6652	5663	4760	3535	7561	5623	7188	4923	4325	3753	2867	4432	4720	7028	4635	7804
4876	4326	5380	4427	4703	8805	3860	4202	3173	3098	4074	3005	3469	3463	3100	5446	4496	5612	3913	4663	3286	2901	3211	4642	4542	3500	3374	5092	4335	5421	3634	8103	7318	5497	4594	4772	3892	4672	4440	4194	5112	3739	3632	4696	5298	3490	2753	2985	3739	2957	3919	3649	3418	3176	3104	4770	4124	6106	4358	3552	4267	4008	3925	4061	3665	4510	3691	5286	3903	3130	3302	3740	2758	2636	2955	3869	3717	2735	2904	4042	4132	4682	4280	4910	3513	3406	2468	3633	2895	2064	2472	3425	3101	4353	4294	2864	3016	3781	3934	2961	3601	3142	4375	2981	3019	3337	3115	3780	3977	3784	3779	2607	3552	3813	4456	4744	2461	5363	4039	3551	3431	4491	4420	3254	4362	4445	4013	3911	4338	4914	4886	4191	4379	5189	7268	3525	3369	7135	3369	8606	6840	4317	4691	5199	5155	8620	5435	5474	8555	7317	6596	5968	5397	8035	4522	6150	4507	6430	6551	4845	8974	6382	8643	3848	8973	6928	4884	4826	4249	3585	6470	3380	4202	3078	5443	7753	3078	4037	4405	4284	4489	4469	3243	5112	5292	3365	8216	3673	5617	4593	5317	5627	3692	4814	4559	4777	6136	6565	3168	3732	5423	5095	5389	5128	9062	11051	14281	8917	0	8091	8490	0	0	0	8754	5083	6096	8589	5715	8109	4834	5060	7570	5655	3734	4836	4239	4297	4776	8971	6952	6773	6756	6717	3093	4617	3851	3330	3884	6840	4504	4708	5459	5425	5220	3086	3474	5347	4547	4564	4337	3971	4533	5293	5100	5624	3247	7124	4468	5093	3888	6796	4712	5536	5325	4382	5639	9693	3806	4234	5458	6869	9707	7781	8413	5412	9999	5719	0	3435	12528	0	8499	6210	8374	5806	4893	3808	7869	5668	7427	5587	5675	4038	3913	5067	4893	7443	4971	8138
4926	4596	6576	6435	5204	9122	3921	4660	3290	3421	5356	3152	3552	3952	3950	5523	4580	5794	3927	5200	3556	3419	3336	5259	5845	3911	3457	5294	5088	5836	3916	8155	9836	5874	7420	4903	4026	4688	4448	5423	5187	3811	3909	4769	5424	3624	2758	3113	3896	2985	6462	3747	3903	3260	3352	4874	4722	6464	4411	4102	4521	4597	4158	4253	3789	4551	4450	5573	4033	3273	3781	4024	3210	2894	3296	3935	3737	2744	3272	4047	4157	5110	5593	5186	3632	3739	3866	3716	2908	2613	3268	3970	3278	4396	4464	3816	3031	4137	4098	3301	3983	3287	4422	3122	3093	3347	3333	4194	4366	3860	4046	3208	3848	5303	4514	5256	2515	6165	4178	4420	3601	4905	4717	4124	4628	6407	4984	4023	4488	6525	5242	5105	4584	6034	7340	3875	4207	9134	3609	9333	7185	6013	4754	5400	6005	8692	6405	5910	9330	8393	6654	8004	5626	8109	4800	6718	4517	7056	7323	5606	9641	7185	9089	5709	9183	6995	5529	5394	5440	4040	7465	3767	5436	3157	5500	8726	3126	4382	6947	4337	4701	4999	3409	5350	5560	3595	9652	3789	5647	5045	5717	5731	5114	5551	5369	5129	7383	7425	3203	5226	6368	5161	6543	5325	10145	11674	0	11071	0	8892	8948	0	0	0	8875	5793	6228	9289	6097	8470	5071	5144	8662	5710	3875	5258	4595	4416	5748	10070	7234	7188	6786	6983	3096	4772	4593	3483	3909	6988	4512	4943	5810	6052	5862	3631	3531	5407	6473	4661	4525	4741	6727	5350	5677	5940	3331	8187	6434	5691	3951	8427	5764	5626	5349	4482	6514	10290	3879	4677	6530	6918	10084	7786	9279	6595	12169	6225	0	7352	0	0	9265	6948	9737	6486	6633	4598	8263	5740	7485	5715	6215	4133	4454	6752	5689	7973	5460	9128
5197	5194	6951	8001	5712	9473	4149	4688	3589	3507	5788	3214	3766	4691	4022	5718	5400	6446	4537	5492	3972	3900	3379	5857	5958	4057	3566	5405	5091	5910	4402	8279	10071	6493	9427	5097	4246	5272	4582	6013	5278	3988	4578	5132	5948	3657	3262	3355	3951	3621	6659	4504	4427	3924	3852	5229	4787	6584	4416	4613	4945	4664	4554	4372	4063	5634	5394	5991	4168	3917	4629	4270	3556	3010	3406	3973	3853	3203	3724	4129	4705	5489	5729	5323	4420	3773	4586	4083	3030	3519	3470	4114	3408	4772	4717	3999	3112	4287	4241	3612	4020	3815	4535	3272	3101	3547	3788	4205	4387	4008	4157	3339	4120	5590	4769	5812	2607	6499	4451	4527	4160	5440	5130	4284	4837	6635	5396	4326	4646	6537	5388	5512	5028	7064	7495	3931	4615	9300	3773	9520	7353	6536	5253	6077	6492	9419	6635	6654	11758	9812	7080	8042	7306	8179	5429	7336	4941	7981	7688	6552	10753	7207	10361	6428	10042	7006	7609	5487	5752	4377	8576	4368	5970	3686	5616	8948	3715	4581	7038	4498	5334	5841	3561	5548	6405	3814	10500	5023	6542	6463	6251	5741	5988	6120	5596	6699	7989	7468	4138	5272	7359	5598	8161	6008	10457	13521	0	12193	0	9593	9064	0	0	0	9201	6165	7229	13484	6300	13846	7175	5348	10185	6140	4481	5521	5895	4807	7448	10465	7500	7421	7400	7080	3479	5301	4718	3928	5865	7448	5474	5086	5874	6073	6138	3769	3941	5848	6984	4753	4610	5041	7016	5695	5980	5997	3348	8344	8350	5870	5743	10058	6374	6402	6432	6204	6523	11214	4330	6949	6652	7450	10282	7792	9922	6648	12441	9673	0	7654	0	0	13210	8366	10028	9370	8406	5390	9042	6130	9838	6887	6687	4405	5101	6916	6548	8451	5552	9253
5267	5638	8002	8144	6438	9823	4873	5027	4132	3592	6129	3469	4324	5062	4559	6116	5576	6696	4911	7282	4415	4529	3398	6544	6216	4141	3778	5538	5110	6621	4845	8709	10600	7134	9951	5490	5195	5580	5198	6034	5581	4375	4625	5494	5979	3743	3354	3952	4126	4134	6801	5073	4865	4166	3860	5650	4882	6748	4866	4650	5212	4740	4667	4461	4536	5773	5725	6166	4206	4003	5121	4295	4041	3124	3423	4078	3903	3764	3889	4517	4813	6193	5820	5844	5314	4329	4850	4183	3288	3756	3499	4499	3524	4897	4742	4063	3123	4465	4633	3672	4581	3952	4678	3475	3104	4495	3792	4285	4667	4379	4380	3509	5565	5879	5044	6195	3020	6847	4484	4656	4369	5484	5232	4497	5034	6873	6055	4664	4913	6541	5508	7400	5649	7835	8968	4415	4686	9795	4071	12691	7754	6887	7276	6696	8230	9787	7082	7970	0	10518	7500	8059	7574	8349	5915	7630	5497	9365	7713	6589	11919	7295	10772	6642	10443	7053	7634	6083	6987	4378	9816	4561	6305	5300	6709	9370	3769	4677	7769	5041	5868	7504	3665	6153	6980	4494	10803	5557	7383	6729	7134	5901	6028	7445	6235	6976	8129	9180	5882	6266	8252	6179	8281	6356	10897	13622	0	12753	0	11605	9741	0	0	0	0	6668	7359	0	6686	0	9698	6159	11106	6408	5213	6723	6145	7057	7667	10926	8516	7483	8138	7423	3920	5613	5140	3998	6275	7521	5548	6024	6173	6138	6276	3774	4166	6189	6994	5096	4758	6379	7383	5796	7982	6106	3463	8704	8942	6107	6435	11284	6988	6590	7844	6959	6870	12010	4679	8274	7824	7854	11299	8008	12575	8416	0	9734	0	8992	0	0	0	10748	11191	12341	10953	5483	9799	7028	11767	6970	7671	5365	5417	6989	6783	9100	5622	9589
6605	7239	8598	8245	6642	10031	5105	5145	4311	3622	6958	4135	4338	5282	4800	7011	7836	7385	6788	8349	4626	4747	3519	6976	6220	4776	3977	5992	5338	7451	5316	8791	10973	7821	11586	5718	5841	5583	5725	6356	5869	4624	4639	6155	6719	3865	3437	4401	5305	4315	6878	5435	5318	4494	4870	5718	4892	7284	5523	5143	5332	5022	5327	4589	4717	6631	6034	6259	4314	4046	5191	4803	4300	3437	3541	4140	3973	4163	4165	4878	5349	6653	5855	6294	5761	4383	5544	4614	3594	3904	3777	4583	3793	5090	4787	4067	3428	4619	5095	3791	5302	4187	4707	3668	3404	4752	4233	4666	4929	4805	4446	3802	5997	6918	5358	6231	3560	7172	4881	5138	4502	5954	5421	4912	5455	6934	6181	4849	5002	6780	5815	8737	5664	7945	10277	4561	4896	10471	4627	14232	8966	6974	7410	7733	8298	10109	7271	8004	0	10607	9042	8444	8341	10491	6260	7751	5737	10903	8299	7375	12384	7653	11186	7220	10540	7580	8271	7321	7855	4527	10489	4681	6903	6231	7347	10513	3860	5165	7816	5065	6612	8163	5894	7098	7669	4727	11087	6251	8213	6953	7337	5946	6120	7659	7050	7671	8745	9291	6206	6741	9708	6181	10644	6890	12770	0	0	0	0	11724	10671	0	0	0	0	7546	8613	0	8327	0	10232	6345	11439	6567	5236	6956	6618	7472	8074	11209	9043	7755	8524	8044	4199	5627	5252	4254	6794	7692	6076	6456	7059	6151	6568	3876	5299	6895	7550	5720	7628	6675	7802	6034	8775	6337	3850	8765	9655	7247	8663	13227	8070	6769	8169	7566	10047	12462	4806	8898	8044	10759	12656	8044	0	9828	0	10504	0	9376	0	0	0	11659	11893	13540	11473	6217	11026	7522	14228	7540	8613	5967	6216	6994	6981	10836	6525	9831
6950	8007	9356	8915	6779	10096	6233	5341	4542	4360	7345	4513	5201	5683	5345	7483	7980	7560	7297	9378	4640	4850	4845	7437	6365	5436	4674	6224	5590	7684	5838	8892	11338	7922	11661	6383	6163	7448	5836	6584	7249	4937	6153	6526	6747	4167	4331	4654	5649	4589	7075	5625	5589	4691	5445	5873	5008	7315	5921	5633	6467	5075	5450	4874	4981	6717	6342	6857	4382	4569	5350	4920	4437	3753	3724	4499	4362	4190	4356	5280	5836	6884	6639	6444	6020	4961	5639	4887	4018	3945	3788	4679	4034	5295	4845	4173	3481	4714	5225	3807	5325	4334	4815	3855	3414	4801	4457	4668	5161	4891	4855	3903	6169	6921	5954	7497	3906	7375	6247	5231	4586	6219	6364	5046	5755	7517	6576	5104	5200	7032	5975	8761	6641	8438	10533	5259	5258	11010	4912	0	9035	7438	7583	8246	8715	10420	7589	8220	0	10876	10702	10357	9783	10896	6384	8086	6259	11355	8444	7706	12731	8606	11915	7560	11163	8343	8831	7346	8347	4599	10785	4720	6999	6729	8477	10721	4418	5255	7835	6308	6615	8246	6070	7889	7754	5930	12530	7626	8243	7319	8025	6442	6751	7804	8918	7868	8764	9980	6629	7342	9866	6263	10901	7767	12998	0	0	0	0	12587	11686	0	0	0	0	7933	10355	0	8857	0	10736	6705	11585	6629	5477	8070	6717	7733	9113	12403	9970	7843	8675	8977	4504	5705	5389	4415	7533	8596	7237	7305	7297	6200	7128	4165	5595	7354	9069	5788	8198	6813	7829	6408	8970	6678	4469	8976	10685	7880	8853	13712	9029	6999	8288	8985	10889	12723	5644	10129	8147	11105	0	9949	0	10057	0	11584	0	12564	0	0	0	12803	12182	0	0	7270	12980	9067	14381	9040	9807	7808	6313	7415	7602	11140	8064	10587
