Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	39	134	1	40	0	122	2.31735597900115	1	0	0
2	1	94	130	1	37	0	120	1.92593362391926	1	0	0
3	1	78	67	1	35	0	122	1.39828072790988	0	0	0
4	0	74	51	1	43	0	122	0.936976009048522	1	0	0
5	0	103	129	0	40	0	122	2.10498026991263	1	0	0
6	1	20	54	0	38	0	122	2.83349448302761	0	0	0
7	0	26	140	0	45	0	120	1.27698836103082	0	0	0
8	1	141	114	1	52	0	120	0.87879848619923	1	0	0
9	1	104	79	1	50	0	120	1.09829354495741	1	0	0
10	0	20	141	0	48	0	120	1.09951999713667	0	0	0
11	0	56	7	0	54	0	120	1.4126185469795	0	0	0
12	1	21	74	0	59	0	120	0.815698265796527	1	0	0
13	1	36	105	0	57	0	120	1.16484394902363	1	0	0
14	0	141	124	0	56	0	122	0.963500085053965	1	0	0
15	0	11	129	1	54	0	122	0.730876320973039	1	0	0
16	1	80	98	1	52	0	120	1.04292608285323	1	0	0
17	0	53	8	1	50	0	122	1.44656636891887	1	0	0
18	0	134	147	1	49	0	122	1.38966461201198	1	0	0
19	0	65	27	1	47	0	122	3.19137691403739	1	0	0
20	1	50	146	1	45	0	120	1.69340768014081	1	0	0
21	0	112	81	1	44	0	122	1.12674358487129	1	0	0
22	1	132	105	1	42	0	120	0.951589985052124	1	0	0
23	0	24	137	1	40	0	122	1.05319516989402	1	0	0
24	1	7	126	0	39	0	120	0.545386892976239	1	0	0
25	0	29	111	1	37	0	122	0.664101033005863	1	0	0
26	0	57	97	1	36	0	120	0.570769131183624	0	0	0
27	0	83	81	1	40	0	122	0.688115063123405	1	0	0
28	0	44	118	1	39	0	120	1.47480811108835	0	0	0
29	0	112	25	0	43	0	120	1.49463199707679	0	0	0
30	0	18	124	0	48	0	122	0.782555096084252	1	0	0
31	1	88	89	1	46	0	120	0.628228378947824	1	0	0
32	1	46	84	1	45	0	122	0.777946537127718	0	0	0
33	1	136	46	0	49	0	120	1.8060852130875	1	0	0
34	1	129	36	0	48	0	120	0.62618096685037	1	0	0
35	0	24	8	1	47	0	122	0.679507423890755	1	0	0
36	1	36	7	1	45	0	120	0.611148614902049	1	0	0
37	1	100	14	1	44	0	122	0.702211695956066	0	0	0
38	0	138	133	1	48	0	122	0.832002466078848	1	0	0
39	1	148	56	0	47	0	122	0.884245126973838	0	0	0
40	0	29	103	1	51	0	120	0.837464695097879	0	0	0
41	1	11	42	1	55	0	120	0.826461039949208	1	0	0
42	0	77	13	0	53	0	122	0.598233389900997	1	0	0
43	0	19	134	0	52	0	120	0.772350034909323	0	0	0
44	1	138	142	0	56	0	122	0.560704495990649	0	0	0
45	0	79	82	0	60	0	120	0.84027083707042	0	0	0
46	1	38	148	1	63	0	120	0.603747694054618	1	0	0
47	1	108	45	1	62	0	120	0.760947219096124	1	0	0
