Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
1954	1709	1850	2314	1934	2593	1686	1940	1700	2765	2965	2486	1823	1838	2100	1829	1952	1956	2218	1941	2477	2693	2213	2059	2059	1841	2184	1961	2073	2369	2646	2106	1825	1690	2596	1933	1826	2227	2080	2376	1809	1980	2110	2350	2087	1821	2373	2991	2476	1692	2320	1972	2082	1980	2091	2372	2118	2236	2383	2069	1828	2709	2314	2972	2493	2750	3341	3981	1846	2112	1848	2322	2962	1940	2191	1967	1983	2871	2112	1820	2314	2455	1981	1811	2832	2241	2595	2201	1815	2080	1959	2458	2761	2507	2599	2589	2455	1705	2566	2058	2117	3621	2358	1852	1943	1833	2344	1967	1973	2071	1971	1838	1948	3149	2638	2361	2902	2708	2080	2454	2108	1833	2337	2771	2373	2249	1705	2483	2328	1933	2718	1945	2066	2207	2610	2067	1813	2882	2868	3212	2361	2849	1964	3295	2059	2070	2962	2453	2378	2245	2514	2469	2995	2105	1942	3119	3168	2571	1971	2197	2691	2611	2503	2567	2777	2066	2345	2107	2211	3270	2202	2569	2501	2385	2946	1962	2486	3113	2719	2736	2758	2087	2705	2764	2635	2627	1981	2952	3215	2238	1982	1817	2058	2229	2234	2344	2330	2101	1696	1813	2321	2110	1711	2752	3594	1694	1934	1820	1838	2094	2643	2691	1827	3104	1978	2343	2756	3132	3095	2627	1708	2959	2873	4384	1700	1808	1968	2370	1824	1830	1700	1698	1818	2386	2504	2245	1967	2355	2090	3355	3002	2650	3254	2701	2075	2312	1846	2623	1687	2886	2500	2074	2858	2241	1967	2073	2067	2191	1845	3427	2726	2213	2316	3606	1696	2217	1956	2250	2193	1705	2317	1686	1977	2373	2102	2077	2967	2362	2495	1851	2582	1831	2080	2109	1971	2988	1980	1817	2066	2490	1820	1960	2594	2340	1834	2628	2353	2699	1947	2466
2198	3555	2207	2620	2458	3368	1964	2092	1964	3079	3496	2840	2106	1983	4231	2200	2208	2327	2836	1977	2692	2700	2503	2324	2106	2116	2952	2336	2589	2961	2861	2982	2345	3530	2819	2872	2493	2869	2740	2907	2187	2195	2570	3992	2354	1842	3470	3783	2972	2453	2503	2217	2367	2614	2623	3151	2703	2592	2443	2212	2326	3158	2320	3284	3124	2765	3561	5191	2758	2623	3239	4335	3348	2574	2315	2735	2077	2877	3011	2358	2320	3221	2580	1813	3013	2588	2829	2253	2370	2570	2570	2713	2857	2840	2610	2883	2461	1935	2753	2066	2503	4330	2489	2223	2219	2223	2614	2329	2607	2338	2329	2708	2104	3270	3668	2589	3610	3929	2754	2716	2590	2346	3038	2970	2453	3234	3083	3352	3784	2118	2761	2848	2360	2775	2970	2833	2579	3940	2976	3777	2564	3519	3015	5131	3147	2206	3000	4056	2714	2698	2643	2952	3551	2737	2082	4681	3361	2621	2649	2370	3008	4043	3127	3893	3737	3331	4018	2331	2385	3331	2499	3123	3082	2567	3115	1980	2995	3291	2745	2864	2779	2212	2858	3612	2717	3516	2513	3796	3461	2361	2200	2564	2624	2243	2650	3036	2364	2502	2868	2373	3604	3217	2200	3239	3624	2214	2738	2071	2729	2225	3304	2702	2372	3373	2105	3232	2825	3342	3433	3501	1840	2986	3041	4787	2907	1956	2442	3207	2080	1970	1706	2570	2231	2724	2776	2457	2197	2782	4240	3619	3770	2774	3464	3112	2218	2348	2365	2762	2502	3114	2723	2504	3080	2317	2219	2752	2190	2614	2746	3609	3560	3013	3100	3658	2344	2853	2757	2378	2460	1819	3229	2066	2383	2886	2105	3304	3024	3237	3553	2588	2610	2085	2220	2115	2104	3101	2345	1948	2201	2714	2112	3088	2609	3171	2316	3239	2447	2842	2911	2699
3042	3630	2243	3163	2582	3856	1979	2705	2463	3361	3593	3169	2859	3144	4994	2516	2469	2351	3167	2079	2835	2980	2585	3281	3491	2203	3121	2594	2722	3416	3106	4142	2829	3769	2847	3758	2615	2883	3018	3637	2324	2318	2980	5124	2437	2326	3476	3845	3234	3903	2950	2353	2488	2868	2700	3420	3408	2610	3266	2700	2479	3757	2611	3347	3389	3608	3666	5241	6070	3741	3427	4791	3550	2856	2602	2780	2741	3108	3430	3599	2881	3481	2582	1952	3273	2712	2947	2312	3337	2902	2700	2969	3044	2903	2641	3106	3130	2080	2901	2253	3233	4460	2511	3404	2242	2767	3144	2464	2742	2517	2456	2889	2205	3347	3861	2650	3755	4144	3236	2960	3397	2867	3118	3107	2474	3263	3295	3423	4195	2638	2863	2859	2749	3036	3416	3283	2645	4671	3255	3930	2954	3876	3641	5220	3278	3126	3219	4614	4508	3842	3204	3841	5365	3335	2700	5495	4383	3730	3264	2628	3094	4189	3506	3945	4034	3503	4786	2488	2447	3686	3860	3470	3090	2637	4710	3406	3115	3603	3043	3075	2882	3385	3234	3785	2849	4176	2946	3855	3489	2704	3387	2582	2841	2580	2848	3100	2974	2713	3034	2739	4382	3359	2775	3283	3691	3098	3211	2220	3140	3240	3677	2826	2956	3391	2877	3252	2855	3655	3622	3970	2109	3475	3135	5121	3953	2076	3044	3333	2184	1979	2073	2634	3215	3247	3019	2517	2463	3015	4498	3898	3926	2820	3800	3155	2512	2383	2437	2913	2571	3566	3685	2887	4921	3286	2223	3507	2767	3841	2964	3749	3590	5725	4250	3723	2471	2881	3147	3945	3873	2613	3514	2185	2718	3000	2911	3550	3125	3740	4074	2957	2854	2235	3000	2339	2728	3168	2374	2984	2386	3473	2822	3622	3012	3745	2453	4297	2771	2873	3625	2765
4014	4065	2344	3585	2836	4106	2499	2710	2837	3427	4120	3432	4163	3153	5076	2767	2992	2740	3432	2201	3137	3042	2867	3555	3874	2767	3153	3104	3538	3535	3165	4512	2997	4170	3670	4069	2645	4159	3354	3659	2493	2727	3000	5261	2905	2369	3670	3916	3465	3931	4319	2881	2829	3258	4246	3821	3742	2776	3890	3206	2615	4107	3175	3491	3668	3986	3767	5801	6484	4318	3496	4961	3878	2861	2737	3625	3291	3242	3531	3634	2972	3687	2839	2377	3769	2907	3264	2584	3593	3141	3408	3138	3486	3527	3362	3210	3230	2438	3035	2511	3397	4646	2646	3638	2618	2901	3803	3104	4152	2570	2575	3522	2244	3735	3884	3647	3781	4497	3304	3220	4500	2885	3384	3278	2517	3535	4065	3888	4267	2891	3266	2863	2865	3731	4616	3436	2854	4673	3674	4036	4160	4200	4574	5777	3421	4049	3260	4748	4774	3877	3809	3884	5726	3864	2831	6404	4616	4761	3470	3376	3107	4693	3771	4683	4239	3543	5204	2490	3170	4154	5066	3605	3404	3154	4964	3547	3514	3748	3756	4802	3436	3546	3266	4193	2875	4233	3002	3999	3948	3105	4643	3114	3917	2722	2899	3425	3476	3102	3239	3136	4461	3405	3119	3292	4281	3532	4173	3255	3155	3372	4036	3208	3106	3588	3469	3481	3359	4124	4851	4586	2195	4281	3341	5145	4069	2844	3471	3369	2476	2344	3371	3163	3980	3633	3946	3017	3854	3280	4582	3973	3950	3778	3931	3175	3208	2627	2572	2953	2605	4306	3772	3275	4938	4139	2972	3591	3234	3890	3562	3921	3598	5868	4282	3987	2747	3528	3273	4775	4082	2850	3786	2491	2877	3371	3461	3716	3485	3843	4174	3282	3305	3136	3043	2347	3464	3794	2565	3108	2625	3678	3795	4358	3237	3871	2971	4433	2857	3400	3820	3910
4060	5370	3031	3797	3025	4407	2610	2896	2860	4162	4147	3643	4282	3663	5525	3849	3002	2828	3477	2712	3339	3603	3214	4009	4330	2906	3539	3335	3951	3604	3346	4573	3139	5055	3876	4788	2900	4968	3509	3790	2693	4558	3086	5696	2953	2832	4273	4225	3853	4368	4596	3147	2961	3774	4421	3934	3891	3104	3926	3353	2782	5029	3276	4038	4021	4177	3811	6113	6649	4635	4011	5061	4512	3083	3119	3948	3908	3865	3633	4550	3003	3790	3307	2379	4107	3031	3266	2610	3663	3426	4041	3459	3601	3776	3623	3396	3265	2516	3140	3600	3502	4751	2746	3975	2702	3688	4097	3117	4320	2750	2998	3974	2887	4965	4039	4008	3861	4610	3586	3352	4562	3093	3870	3294	2819	4387	4196	3907	4419	2953	3302	3620	3037	3777	4641	5075	4056	5076	3717	5178	4382	4753	4659	5922	3606	4537	3795	5054	4816	3894	5570	4123	7061	4815	3230	6625	5139	6608	3533	3921	3651	4740	3987	4692	5774	4722	5299	2502	3277	5864	5105	4483	3525	4059	5139	4646	3599	3972	4065	5062	4541	3666	4011	4557	3034	5491	3167	4101	4537	3364	4809	3497	4867	2781	3236	3464	3637	3163	3329	3221	4510	4599	3159	3361	4560	4511	4438	4106	3640	4207	4978	3377	3249	3618	4435	3535	3670	4226	5155	4700	3802	5313	3409	6029	4233	3482	3744	3794	2743	2510	3745	3743	4434	4536	4173	3337	4382	3379	4751	4059	4021	3868	4436	4227	3771	2961	2704	3134	3135	4998	3806	3749	5262	4398	3243	3951	3512	4189	3716	4519	3998	5941	4669	4069	3203	3739	3382	4825	4807	3331	4040	2709	2889	4073	3481	3783	4767	3892	5388	3681	3606	3158	3667	3259	3546	4050	3523	3739	2893	3905	3900	4382	3512	3973	4276	4780	2979	4124	4066	5486
4521	5529	3125	4688	3357	4528	2625	2991	3770	4670	4993	3801	4314	3673	5685	4053	3975	2868	3587	2894	3939	4254	3377	4421	4410	3142	3807	4097	4135	3693	3492	4954	3673	5157	4708	5792	3022	5261	3627	4044	2893	4825	3644	5988	3557	2837	4616	4513	3922	4436	4824	4047	4443	4468	4460	4412	4025	4007	4016	3819	2903	5526	3858	4121	4302	4188	4016	6546	7450	4915	4376	5271	4748	3552	3145	4562	3971	4072	3745	4559	3743	3843	3436	3023	4169	3339	3774	2957	3852	3638	4106	3715	3734	4111	3928	3856	3275	2744	3762	3732	4464	4777	2769	4997	3289	3808	4458	3415	4328	3079	3220	4179	2911	5179	4284	4017	4002	4637	3845	3389	4569	3094	4292	4206	2886	4574	4263	4968	4424	2977	3383	3750	3284	4289	4671	6228	4815	5084	4246	5443	5086	5424	4911	6851	4122	4913	5670	5094	4918	4122	5686	4433	7587	5769	3470	6675	6061	6776	3539	4245	3775	5651	5334	4807	5818	5580	5320	3146	4227	6284	5264	4517	3532	5070	5533	4660	3874	4706	4448	5184	4694	3985	4391	4981	3297	5872	4015	4289	4670	3463	4824	3798	4896	2979	3380	3752	3740	3470	4144	3885	5907	4874	3813	3749	4809	4891	4452	5259	4512	5334	5127	3594	3359	4649	5515	5488	4804	4502	5345	4825	4690	5689	3806	6196	4418	3488	4059	4262	2902	3142	4138	4920	4953	5145	4279	3637	4417	4774	4965	4275	4027	4845	5105	4521	4024	2977	3774	4167	3549	5062	3867	3923	5273	5010	3744	4004	3600	4912	4273	4585	4789	5965	4855	4212	3752	3947	3801	5454	5343	3655	4122	2768	3113	4270	3913	3976	4896	4546	6010	3803	3924	3375	3733	3511	3682	4182	3610	3760	2894	4037	4161	4778	3654	4114	4508	5036	3021	4665	4142	5544
4773	5552	3657	4921	3472	5143	2761	3017	4406	4871	5044	3869	4609	3908	5730	4160	4150	3475	4201	2914	4079	4255	3587	4851	4523	3222	4060	4809	4662	3769	3560	5622	3799	5592	5154	6078	3407	5646	3938	4438	3176	4842	3852	6151	4028	3120	4872	4558	4024	5084	5191	4540	4899	4681	5111	5000	4324	4543	4262	4491	3003	5586	4201	4517	4328	4311	4199	6675	7463	4927	4651	5335	4829	3761	3218	4564	4280	4114	4284	4612	3752	3890	3546	4067	4338	3565	4176	3042	3973	3750	4429	3862	3884	4203	4069	3986	3292	2768	4009	4136	5262	4853	2819	5112	3397	3999	4463	3482	4538	3258	3614	4182	2964	5427	4365	4027	4056	4696	4272	3555	4994	3099	4653	4574	2953	4609	4361	4979	5165	3471	3466	4028	3461	4464	4676	6442	4981	5266	5318	5535	5109	5462	4940	7568	4252	5081	6116	5168	5020	4192	5876	4540	7606	5789	3510	6705	7027	7227	3947	4378	4116	5790	5831	4821	6266	5627	5966	3361	4401	6563	5275	4543	4152	6084	5689	5198	4034	4876	4645	5543	5490	4273	4423	5044	3843	6246	4183	4651	4904	3588	5071	4652	4916	4124	3518	4319	3818	4441	4365	4067	6357	4879	4627	3769	5158	4897	4755	5308	4663	5361	5282	5113	4963	4792	6562	5949	5625	5164	5367	5027	4929	6711	4444	6224	4488	3500	4341	4596	2955	3208	4406	5708	5163	5418	5054	3980	5254	4902	5442	4283	4117	5291	5274	4841	4076	3029	4631	4246	4056	5082	4068	4753	5537	5125	3811	5338	3782	5201	4286	5222	5214	6009	4895	4423	3889	4177	3896	5736	5363	4055	4330	2887	3482	4409	3981	4579	4947	4639	6101	4244	4124	3491	3750	3535	4954	4532	3933	4210	3101	4235	4657	5024	3974	4390	4973	5052	3034	5213	4408	5605
4823	5570	4048	5168	3546	5151	3176	3528	4445	4996	5216	3893	4625	4182	5870	4233	4257	3552	4362	3028	4083	4373	4140	4895	5005	3422	4586	5059	4671	4048	3564	6024	4705	6031	5170	6314	3519	6033	4302	4516	3246	5275	4519	6493	4575	3621	5134	4621	4111	5337	5222	5541	4980	5291	5371	6822	4403	4671	4562	4622	3226	6392	4642	5309	4755	4624	4775	7413	7517	5262	5783	5815	5299	3946	3236	4636	4378	4277	4493	5000	3976	3999	3683	4548	4403	3588	4238	3243	4443	3769	4799	5066	4119	4328	4289	4083	3433	2893	4068	4463	5336	4909	2870	5270	3585	4195	4871	4233	4750	3367	4362	4245	3277	5827	4547	4365	4273	4873	4537	3654	5273	3146	4759	4682	3037	5219	4586	5370	5547	3496	4247	4270	3974	4964	4724	6447	5550	5283	5828	6533	5267	6012	5188	8468	4523	5133	6599	5512	5193	5016	6210	4744	7640	5895	3655	7308	7551	7238	5569	4777	4162	6107	6021	5033	6303	5638	6195	3436	4913	6799	5554	4759	4547	6297	6694	5857	4776	4879	4779	5851	6020	4299	4524	5199	4183	6939	4996	4805	5144	3861	5221	5416	4973	4785	3720	4335	3980	4585	4737	4590	6381	5653	5168	3982	5216	5105	4952	5325	5289	6027	5346	5330	5185	5500	6577	6678	6200	5455	5435	5333	5180	7270	4556	6929	4650	3777	4505	5223	3129	4314	4631	5843	5821	5610	5346	4270	5451	5066	5535	5013	4335	5581	5610	5552	5582	3741	4953	4266	4145	5201	4366	4926	5665	5423	4123	6940	4483	5644	4582	5686	5349	6177	4942	4695	3997	4205	4184	6307	5500	4326	4412	3278	3498	4963	5868	4766	5205	5058	6490	4324	4331	3558	4148	3623	5427	4750	4225	4548	3259	4323	4964	5268	4080	4536	5043	5229	3335	6242	4707	5664
4836	5930	4308	5194	3693	5395	3371	3693	4534	5111	5475	4616	4822	4238	5892	4282	4371	3856	4559	3794	4236	4496	4179	4967	5636	3821	4721	5092	4940	4510	3664	6308	5952	6901	5781	6475	3551	6106	4684	4528	3535	5515	4637	7407	4916	4199	5386	4998	4692	5413	5473	6017	5285	5351	5505	7792	4569	4889	4785	4639	3262	6397	4836	5426	4767	4872	4937	7634	7522	5315	5812	6345	5346	4158	3393	4681	4854	4363	5059	5001	4182	4031	4782	4554	4918	3660	4285	3560	4555	3859	4970	5559	4300	4329	4562	4333	3469	3342	4147	4499	5478	5791	3230	5280	4318	4358	5447	4314	5050	3408	4442	5131	3307	5869	4831	4395	4394	5088	5113	3783	5282	3252	4868	4924	3080	5270	4683	6601	5612	3908	4485	4499	4319	5402	4814	6533	5617	5290	6251	7085	5965	6350	5274	9861	4760	5295	6743	6811	5332	5252	6359	4979	7642	6975	4056	8708	8348	7442	6517	5041	4390	6137	6430	5307	6647	5866	6464	3744	5208	6927	5910	5021	4723	6945	7139	7099	4970	5132	4816	5864	6332	4430	5137	5224	4996	7770	5133	5036	5275	3897	5223	5443	5181	4943	4110	4428	4508	4620	4757	5664	6412	6181	5310	4892	6409	5381	5041	5728	5465	6169	5517	5553	5310	5859	7257	7016	6507	6200	7734	5563	6612	7805	4982	7340	4690	3780	4722	5677	3501	4650	5137	6702	5926	5813	5571	4646	5484	5138	6028	5337	5218	5676	6102	5837	5627	3984	5994	4417	4361	5272	4380	4963	5938	5643	4289	6944	4936	6069	4617	5793	5577	7110	5278	4747	4451	4267	4739	6318	5808	4642	4597	3393	3824	5037	5982	5483	5715	5265	6584	4410	4360	3588	4907	3650	6941	5176	4440	4750	4039	4799	5292	6313	4905	5605	5105	5312	4388	6492	5298	5699
5023	6479	4675	6106	3852	5434	3525	3731	4641	5217	5622	4739	5284	4318	6089	4425	4687	3988	4744	4227	4337	4625	4823	4972	5703	3937	5160	5102	5548	4879	3758	7112	6130	6981	6140	6790	3596	6401	5269	5059	3626	5984	5596	7438	5974	4395	5397	5197	4759	5999	5557	6615	5586	6039	5710	8072	5288	5471	5155	4919	3482	6874	5931	5597	5429	4949	5087	7977	7705	5393	5849	6432	5857	4647	3662	4740	4867	4406	5424	5074	4363	5065	5151	4793	5201	3694	4329	3801	4591	3911	5906	5694	4542	4662	4567	5052	3671	3602	4279	5004	5745	5794	3557	5325	4503	4764	5687	4339	5393	3516	4697	5797	3395	5987	5056	5112	4533	5177	5547	3983	5410	3985	5051	5190	3256	5416	4783	6853	5648	3938	4632	4685	4554	5488	4881	7162	5649	5452	6294	7181	6304	6542	5780	9982	4841	5702	6811	6938	5472	5265	6507	5497	7838	7114	4202	8959	8812	7627	6694	5320	5000	6796	6578	5516	6802	6410	6465	4313	6541	7443	6247	5166	5060	7153	7241	7619	6011	5500	4879	6789	6336	4460	5370	5401	5261	7773	5298	5333	5365	3925	5421	5461	5466	4999	4198	4503	4539	4643	4876	5671	6552	6439	5316	5025	6479	5926	5418	5901	5616	6950	5558	5639	6349	5907	7665	7794	6951	6560	8119	5611	6764	7850	5173	7639	4943	3977	5048	5832	3883	5008	5483	6831	5974	6007	5828	4907	5596	5568	6631	5369	5438	5878	6317	6186	5692	4251	6199	4423	4382	5273	4525	5009	6172	6026	4687	7063	5754	6577	5423	5892	5831	7416	5636	4759	5139	4959	6253	6893	6500	4816	5007	3792	3897	5050	6034	5941	5937	5433	6588	6089	4491	3771	5137	3916	6953	5215	4455	5050	4327	4810	5303	6399	5187	6657	6200	5937	4403	6501	5424	5946
