Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	145	94	0	54	0	120	0.749704949907027	1	0	0
2	0	16	45	1	51	0	120	1.11354374396615	0	0	0
3	0	81	119	0	59	0	122	0.689344979007728	1	0	0
4	1	92	35	1	57	0	120	0.597690360038541	1	0	0
5	1	17	147	1	55	0	120	0.730290656094439	1	0	0
6	1	34	40	0	53	0	120	1.04951971094124	1	0	0
7	0	150	81	0	50	0	122	0.708767361007631	1	0	0
8	1	33	50	1	48	0	122	0.940740488003939	0	0	0
9	0	42	44	1	55	0	122	0.730385717004538	1	0	0
10	1	43	138	0	53	0	120	1.21921286103316	1	0	0
11	1	40	107	0	51	0	120	0.815043275011703	1	0	0
12	1	109	29	0	49	0	122	0.851135396980681	0	0	0
13	1	53	50	0	55	0	120	0.766125957947224	1	0	0
14	1	50	71	1	53	0	120	0.635510585037991	1	0	0
15	1	25	32	0	51	0	120	0.815140521037392	1	0	0
16	0	46	67	0	49	0	122	2.19514493003953	1	0	0
17	0	146	59	0	47	0	122	0.89611472201068	1	0	0
18	1	72	102	0	45	0	120	0.921331063960679	1	0	0
19	1	63	92	0	43	0	120	0.561043211026117	1	0	0
20	0	114	15	1	42	0	122	1.19169975596014	1	0	0
21	0	28	150	0	40	0	120	0.822424664045684	0	0	0
22	1	12	141	0	45	0	122	1.20833587204106	0	0	0
23	1	70	86	0	51	0	122	0.612065727007575	0	0	0
24	1	54	14	0	56	0	120	0.672423217096366	1	0	0
25	0	34	27	0	54	0	122	1.19415798899718	1	0	0
26	0	57	49	1	53	0	122	1.3990162529517	1	0	0
27	1	45	135	1	51	0	122	2.02801788505167	0	0	0
28	0	141	146	0	56	0	122	1.15222190297209	1	0	0
29	1	74	17	1	54	0	122	1.01433109294157	0	0	0
30	0	103	125	0	59	0	122	0.610577146057039	1	0	0
31	0	108	53	0	57	0	122	0.671494135051034	1	0	0
32	0	113	26	0	56	0	122	0.61532169894781	1	0	0
33	1	6	41	1	54	0	120	0.661023986991495	1	0	0
34	1	85	115	1	53	0	120	0.966532438993454	1	0	0
35	1	34	72	1	51	0	120	1.70897774398327	1	0	0
36	0	21	121	0	50	0	122	0.94900023099035	1	0	0
37	1	112	148	1	49	0	120	0.731848145020194	1	0	0
38	0	5	45	0	47	0	122	0.883038118015975	1	0	0
39	1	79	57	1	46	0	120	0.763851640047505	1	0	0
40	1	73	36	1	44	0	120	0.63426622399129	1	0	0
41	1	32	117	0	43	0	122	2.21818278497085	0	0	0
42	1	53	66	1	47	0	120	1.0959139179904	1	0	0
43	1	21	27	1	46	0	120	0.704205566085875	1	0	0
44	0	24	88	1	44	0	122	0.705324285081588	1	0	0
45	1	77	102	0	43	0	120	1.40959024999756	1	0	0
46	1	17	75	1	42	0	120	0.735088765039109	1	0	0
47	1	43	69	1	41	0	120	1.21421684499364	1	0	0
48	0	128	139	0	40	0	122	1.15374571294524	1	0	0
49	0	103	140	1	38	0	122	0.817398733925074	1	0	0
50	1	104	124	0	37	0	120	0.685287379077636	1	0	0
51	0	14	27	0	36	0	122	2.35001850896515	1	0	0
52	0	36	88	1	35	0	122	0.653063695994206	1	0	0
53	1	80	147	0	34	0	120	0.760019394103438	1	0	0
54	0	5	77	0	33	0	122	2.93425177002791	1	0	0
55	1	116	110	1	32	0	120	1.14174016297329	1	0	0
56	0	89	120	1	30	0	122	0.668553509982303	1	0	0
57	0	21	7	0	29	0	122	0.662479887949303	1	0	0
58	1	138	91	0	28	0	120	1.44821414002217	1	0	0
59	0	114	35	1	27	0	120	2.00865266297478	0	0	0
60	1	116	90	1	30	0	122	1.25546830601525	0	0	0
61	0	14	140	1	33	0	122	1.07403577293735	1	0	0
62	1	39	42	1	32	0	120	1.17752690589987	1	0	0
63	1	144	64	1	31	0	120	1.1611982450122	1	0	0
64	0	69	61	0	30	0	122	1.34337216999847	1	0	0
65	1	97	14	1	29	0	120	2.06289496994577	1	0	0
66	0	108	141	1	28	0	122	1.28887589590158	1	0	0
67	0	68	71	1	27	0	122	0.961909612058662	1	0	0
68	1	139	86	1	26	0	120	0.725297530996613	1	0	0
69	1	124	131	0	26	0	120	1.69688846601639	1	0	0
70	1	54	148	1	25	0	120	0.657499687978998	1	0	0
71	0	62	77	0	24	0	122	0.746716920053586	1	0	0
72	1	22	139	0	23	0	122	1.22574091295246	0	0	0
73	1	1	65	1	26	0	122	1.49358239001594	0	0	0
74	1	100	143	1	28	0	120	1.44699533993844	1	0	0
75	0	5	68	0	27	0	122	1.00119598198216	1	0	0
76	0	113	89	1	26	0	120	0.805803689989261	0	0	0
77	0	16	67	1	29	0	122	1.29927209008019	1	0	0
78	0	72	42	1	28	0	120	0.923034149920568	0	0	0
79	1	30	71	1	31	0	122	1.55589703703299	0	0	0
80	1	123	26	0	34	0	122	0.80163346696645	0	0	0
81	1	129	127	0	36	0	120	0.782361838035285	1	0	0
82	0	100	11	1	35	0	122	1.55519339395687	1	0	0
83	1	57	97	0	34	0	120	0.689897147007287	1	0	0
84	1	3	138	1	33	0	122	0.683061548043042	0	0	0
85	0	53	114	0	36	0	120	0.787837541894987	0	0	0
86	0	42	126	0	39	0	122	0.921390871983021	1	0	0
87	1	13	107	1	38	0	122	0.673658680054359	0	0	0
88	1	120	2	1	40	0	122	1.28291552502196	0	0	0
89	1	125	24	1	43	0	122	1.4359690049896	0	0	0
90	1	62	8	1	46	0	120	0.751697698957287	1	0	0
91	1	78	104	0	45	0	120	0.621438313042745	1	0	0
92	0	34	10	1	44	0	122	0.59377598494757	1	0	0
93	0	41	141	0	43	0	120	1.40631997410674	0	0	0
94	0	122	85	0	45	0	122	1.52287632401567	1	0	0
95	0	126	55	0	45	0	122	0.723077075090259	1	0	0
96	1	27	27	0	44	0	120	1.0185866500251	1	0	0
97	0	16	85	1	43	0	122	0.838267974089831	1	0	0
98	0	20	66	0	42	0	120	1.08881281001959	0	0	0
99	1	125	8	1	45	0	122	0.770865508005954	0	0	0
100	1	124	113	0	47	0	122	1.54423213400878	0	0	0
101	0	29	18	0	50	0	122	0.698894553002901	1	0	0
102	1	23	24	1	47	0	120	0.873319795937277	1	0	0
103	1	131	135	0	45	0	122	0.714276033919305	0	0	0
104	1	68	5	0	53	0	120	1.45388640591409	1	0	0
105	0	2	105	0	50	0	122	0.669809808954597	1	0	0
106	1	135	45	1	48	0	120	0.946263885009103	1	0	0
107	1	12	20	1	46	0	122	0.801455551991239	0	0	0
108	0	47	77	1	53	0	122	0.637477998971008	1	0	0
109	1	50	42	1	50	0	120	1.10421686805785	1	0	0
110	0	102	29	1	48	0	122	1.00904698506929	1	0	0
111	1	111	95	0	46	0	120	0.844960278016515	1	0	0
112	1	89	91	1	44	0	120	1.04099042399321	1	0	0
113	1	127	4	1	42	0	120	1.72321112605277	1	0	0
114	0	133	143	1	40	0	122	0.844077675952576	1	0	0
115	0	146	48	0	38	0	122	1.03052036499139	1	0	0
116	1	101	150	0	36	0	122	0.946574332076125	0	0	0
117	0	108	137	1	42	0	122	0.905434189015068	1	0	0
118	0	131	10	1	40	0	122	1.05796224903315	1	0	0
119	1	69	149	1	38	0	122	0.955922896042466	0	0	0
120	1	28	39	0	44	0	120	0.658645018003881	1	0	0
121	1	4	24	1	42	0	120	0.588443350978196	1	0	0
122	1	12	30	1	40	0	122	0.906011180020869	0	0	0
123	1	143	137	1	46	0	120	0.530161695089191	1	0	0
124	1	45	129	1	44	0	120	0.764187793945894	1	0	0
125	0	139	65	1	42	0	122	0.728401007945649	1	0	0
126	0	21	141	1	41	0	122	0.927501697093248	1	0	0
127	0	44	114	1	39	0	122	0.664243051898666	1	0	0
128	0	80	81	0	37	0	122	1.01021248905454	1	0	0
129	1	41	141	0	36	0	122	1.07782112504356	0	0	0
130	1	4	43	1	41	0	122	1.62418441998307	0	0	0
131	0	124	115	1	45	0	122	0.779037695028819	1	0	0
132	0	21	67	1	44	0	122	0.681474676006474	1	0	0
133	1	58	111	0	42	0	122	0.842830638983287	0	0	0
134	1	4	8	1	47	0	120	0.725623370031826	1	0	0
135	1	48	11	1	45	0	120	0.621845998917706	1	0	0
136	0	8	36	1	44	0	122	0.833579274942167	1	0	0
137	0	73	66	0	43	0	122	1.10915132891387	1	0	0
138	0	72	131	1	41	0	122	1.84398957295343	1	0	0
139	0	88	115	0	40	0	120	1.53536894603167	0	0	0
140	0	149	99	1	44	0	122	1.20699199195951	1	0	0
141	0	83	104	0	42	0	122	0.795962039963342	1	0	0
142	0	28	128	0	41	0	122	0.70430554903578	1	0	0
143	1	11	78	0	40	0	122	2.12074739101809	0	0	0
144	0	132	39	1	44	0	122	0.648598392028362	1	0	0
145	0	118	90	0	42	0	122	0.611170321935788	1	0	0
146	0	140	56	1	41	0	122	0.93478699401021	1	0	0
147	0	37	140	1	40	0	122	0.582388362032361	1	0	0
148	1	3	7	1	39	0	120	0.596044884994626	1	0	0
149	0	34	8	1	37	0	122	0.735995773924515	1	0	0
150	0	148	53	1	36	0	122	2.29595663503278	1	0	0
151	1	16	15	1	35	0	122	1.25721252895892	0	0	0
152	0	78	31	1	38	0	120	0.706748853088357	0	0	0
153	1	106	10	1	42	0	120	0.682839952060021	1	0	0
154	0	126	30	0	41	0	122	0.613405463052914	1	0	0
155	0	47	90	0	40	0	122	0.841480597970076	1	0	0
156	0	24	135	1	38	0	120	1.14871783100534	0	0	0
157	1	140	49	1	42	0	120	0.699534732033499	1	0	0
158	1	145	111	1	41	0	120	0.75526537001133	1	0	0
159	0	8	142	1	40	0	122	0.577776256017387	1	0	0
160	1	92	24	1	39	0	120	0.815027205972001	1	0	0
161	0	16	3	0	37	0	122	1.04364267399069	1	0	0
162	1	43	35	0	36	0	120	0.99804011604283	1	0	0
163	1	9	112	1	35	0	120	1.16288093791809	1	0	0
164	1	147	123	1	34	0	120	0.640729217091575	1	0	0
165	1	32	20	0	33	0	122	1.33273153996561	0	0	0
166	1	48	85	0	36	0	120	0.659815137973055	1	0	0
167	1	132	75	1	35	0	120	0.549552470911294	1	0	0
168	0	61	30	0	34	0	122	0.661049223970622	1	0	0
169	0	62	131	0	33	0	120	0.734035967034288	0	0	0
170	0	144	63	0	36	0	122	0.629480801988393	1	0	0
171	0	133	17	1	35	0	122	1.13740524102468	1	0	0
172	0	17	82	0	34	0	120	1.42440454999451	0	0	0
173	0	118	115	0	37	0	120	0.60189607704524	0	0	0
174	0	22	60	0	40	0	120	0.863597170915455	0	0	0
175	0	2	103	0	43	0	122	0.761996536049992	1	0	0
176	0	70	85	0	42	0	120	0.712441751966253	0	0	0
177	0	126	115	0	45	0	122	0.497513033100404	1	0	0
178	0	22	50	1	44	0	120	0.5939005240798	0	0	0
179	1	98	17	1	47	0	120	0.622870396007784	1	0	0
180	0	111	19	1	46	0	122	0.92931978800334	1	0	0
181	1	104	39	1	45	0	120	0.489433760056272	1	0	0
182	0	10	43	0	44	0	120	0.554441823041998	0	0	0
183	1	71	27	0	47	0	120	1.0012927489588	1	0	0
184	1	64	6	1	46	0	120	0.701485106954351	1	0	0
185	1	84	86	1	45	0	120	1.03711301204748	1	0	0
186	0	17	134	1	44	0	120	1.19336319807917	0	0	0
187	1	54	140	1	47	0	120	0.526132720988244	1	0	0
188	1	61	106	1	46	0	120	0.572963854065165	1	0	0
189	1	27	148	0	45	0	120	0.619119822978973	1	0	0
190	0	31	129	1	44	0	122	0.910943538998254	1	0	0
191	1	40	11	1	43	0	120	1.02311321499292	1	0	0
192	1	130	86	1	42	0	120	0.547985819051974	1	0	0
193	0	34	112	0	42	0	122	0.712909298948944	1	0	0
194	0	32	133	1	41	0	122	0.85846512299031	1	0	0
195	0	112	4	0	40	0	122	1.39642869005911	1	0	0
196	0	14	42	0	39	0	122	0.865288814995438	1	0	0
197	0	55	63	0	38	0	122	0.667957662953995	1	0	0
198	0	92	135	1	38	0	120	0.693284646957181	0	0	0
199	0	24	19	1	40	0	120	1.53487703006249	0	0	0
200	0	108	58	1	42	0	122	0.638068836997263	1	0	0
201	0	117	26	1	41	0	120	1.0180630920222	0	0	0
202	1	137	91	0	49	0	120	0.715851404005662	1	0	0
203	1	62	125	1	46	0	122	1.0674212659942	0	0	0
204	0	14	68	1	53	0	122	1.12122929596808	1	0	0
205	1	116	117	0	51	0	120	0.568391956971027	1	0	0
206	1	82	42	1	49	0	120	0.695320116938092	1	0	0
207	1	60	25	0	47	0	122	0.776850849040784	0	0	0
208	1	96	100	0	54	0	120	0.982285752077587	1	0	0
209	1	130	12	1	52	0	120	0.912503520026803	1	0	0
210	1	104	5	1	50	0	120	0.650924435001798	1	0	0
211	0	49	45	0	48	0	122	0.581949576968327	1	0	0
212	0	63	34	0	46	0	120	0.619584793923423	0	0	0
213	1	10	123	1	52	0	120	0.644478883012198	1	0	0
214	0	124	15	1	50	0	122	0.528496609069407	1	0	0
215	1	52	149	1	48	0	120	1.08208095096052	1	0	0
216	0	39	92	1	46	0	122	1.18703970196657	1	0	0
217	0	134	103	0	44	0	122	0.639180268975906	1	0	0
218	1	116	66	0	43	0	120	0.675560291972943	1	0	0
219	0	139	126	0	41	0	122	0.876745074987411	1	0	0
220	0	11	127	1	39	0	122	0.587826516944915	1	0	0
221	1	92	94	1	37	0	120	1.60340481391177	1	0	0
222	0	54	35	0	36	0	122	0.904279186041094	1	0	0
223	1	48	112	0	34	0	120	1.77616693405434	1	0	0
224	0	113	56	1	32	0	120	0.894778626039624	0	0	0
225	1	119	131	1	38	0	122	0.794127903063782	0	0	0
226	1	147	99	1	42	0	120	1.04451226000674	1	0	0
227	0	92	89	0	41	0	122	1.12000095809344	1	0	0
228	0	58	57	1	39	0	122	0.679248868022114	1	0	0
229	0	49	4	1	38	0	122	0.937401600996964	1	0	0
230	0	74	71	1	36	0	122	0.623456900939345	1	0	0
231	1	102	69	1	35	0	120	0.820376898976974	1	0	0
232	1	21	7	0	33	0	120	1.15154381003231	1	0	0
233	1	123	100	0	32	0	120	0.885663488064893	1	0	0
234	0	1	10	1	30	0	122	0.991232455940917	1	0	0
235	0	90	18	0	29	0	122	0.795832947012968	1	0	0
236	0	147	34	0	28	0	122	0.778013902017847	1	0	0
237	1	58	127	1	26	0	122	0.751169066992588	0	0	0
238	0	146	26	0	30	0	122	0.629610178992152	1	0	0
239	1	63	105	0	29	0	120	0.672847517067567	1	0	0
240	0	52	58	1	27	0	122	1.3792736280011	1	0	0
241	1	138	120	0	26	0	120	0.74368851701729	1	0	0
242	1	97	126	1	25	0	120	0.61562805599533	1	0	0
243	1	51	91	0	24	0	120	0.819268318940885	1	0	0
244	1	49	46	0	22	0	120	0.791658811969683	1	0	0
245	1	67	25	1	21	0	120	0.644894052995369	1	0	0
246	0	39	40	0	20	0	122	0.820774773019366	1	0	0
247	1	147	55	1	19	0	122	0.691111752064899	0	0	0
248	0	9	63	0	22	0	120	1.71691257401835	0	0	0
249	1	76	43	1	26	0	122	0.668327252962627	0	0	0
250	0	6	130	0	29	0	120	0.718773027998395	0	0	0
251	1	142	49	0	33	0	120	0.615263473009691	1	0	0
252	0	57	106	1	32	0	122	1.13847221701872	1	0	0
253	0	142	37	0	31	0	122	0.777560843038373	1	0	0
254	0	138	15	0	29	0	122	0.975702425930649	1	0	0
255	1	77	73	0	28	0	120	0.860736020025797	1	0	0
256	0	129	38	1	27	0	120	0.959811019944027	0	0	0
257	0	103	85	0	31	0	120	0.765800275024958	0	0	0
258	0	146	14	1	34	0	122	0.563737732940353	1	0	0
259	0	75	25	0	33	0	122	0.713835812057368	1	0	0
260	1	33	112	0	32	0	120	0.617926834034733	1	0	0
261	0	91	56	0	31	0	122	0.693968476029113	1	0	0
262	1	45	46	1	30	0	122	1.11905441898853	0	0	0
263	1	92	17	0	33	0	120	0.765909279114567	1	0	0
264	1	18	87	1	32	0	120	0.757603090954944	1	0	0
265	0	29	12	1	31	0	122	0.683438275009394	1	0	0
266	1	91	102	0	30	0	120	0.637304577045143	1	0	0
267	1	75	123	1	29	0	120	1.09565965202637	1	0	0
268	0	69	112	1	28	0	122	0.78531156189274	1	0	0
269	1	33	90	0	27	0	122	1.35811882501002	0	0	0
270	0	126	59	1	30	0	122	0.636177856009454	1	0	0
271	1	17	105	1	29	0	120	0.535216439049691	1	0	0
272	1	95	106	1	28	0	120	0.711220739991404	1	0	0
273	0	48	79	1	27	0	122	1.19109490897972	1	0	0
274	1	85	28	0	26	0	120	0.548288015066646	1	0	0
275	0	81	106	1	25	0	122	0.675201746984385	1	0	0
276	0	33	140	0	24	0	122	0.819860712974332	1	0	0
277	1	17	103	1	23	0	120	0.951933654025197	1	0	0
278	1	102	29	0	22	0	120	1.64729199802969	1	0	0
279	0	11	53	1	21	0	120	0.762038719025441	0	0	0
280	1	88	43	0	24	0	120	0.639515354996547	1	0	0
281	0	40	102	1	23	0	120	0.955476148985326	0	0	0
282	1	81	101	0	26	0	122	1.0503728040494	0	0	0
283	0	25	72	0	28	0	122	1.02915535296779	1	0	0
284	1	119	134	1	27	0	120	0.59185351699125	1	0	0
285	0	95	82	0	27	0	122	0.88515664904844	1	0	0
286	1	23	91	0	26	0	122	1.2694013339933	0	0	0
287	1	73	100	0	28	0	120	0.711563811986707	1	0	0
288	1	62	17	1	27	0	120	1.27998325997032	1	0	0
289	1	77	13	0	27	0	120	0.712707044091076	1	0	0
290	1	23	11	1	26	0	120	1.14602461096365	1	0	0
291	0	101	58	1	25	0	122	1.184039015905	1	0	0
292	1	71	28	0	24	0	120	1.33379872492515	1	0	0
293	1	141	39	0	23	0	120	0.796973843011074	1	0	0
294	0	55	122	0	23	0	122	0.690794866066426	1	0	0
295	0	133	144	0	22	0	122	1.39530652202666	1	0	0
296	1	108	99	0	21	0	120	1.37595201993827	1	0	0
297	1	146	138	1	20	0	122	0.750169461010955	0	0	0
298	0	25	35	0	22	0	120	0.68509444501251	0	0	0
299	1	56	9	1	25	0	120	1.19802454207093	1	0	0
300	1	77	37	1	24	0	120	0.571100711007603	1	0	0
