Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	104	44	0	14	0	120	6.68495572393294	1	0	0
2	1	118	57	0	11	0	122	1.46941858204082	1	0	0
3	0	7	122	0	9	0	120	1.74068872199859	1	0	0
4	1	45	57	1	6	0	120	1.08702267194167	0	0	0
5	1	33	121	1	14	0	120	0.830820037052035	0	0	0
6	1	90	7	1	21	0	122	1.0440054780338	1	0	0
7	1	135	133	1	19	0	122	1.02845855802298	1	0	0
8	0	107	140	0	17	0	120	1.44022496405523	1	0	0
9	0	31	103	1	15	0	120	1.41878800711129	1	0	0
10	1	24	131	0	13	0	122	1.05899526400026	1	0	0
11	1	4	125	1	11	0	120	1.59042972407769	0	0	0
12	1	26	149	0	17	0	122	0.825180945103057	1	0	0
13	0	87	148	1	15	0	120	1.17208183999173	1	0	0
14	0	61	61	0	13	0	120	0.882768764975481	1	0	0
15	1	10	6	1	11	0	122	0.818909252993762	1	0	0
16	0	60	46	0	9	0	120	0.848807734088041	1	0	0
17	1	53	96	0	7	0	120	2.4831979040755	0	0	0
18	1	128	127	0	13	0	122	0.859396934043616	1	0	0
19	1	49	51	1	11	0	120	1.17596638598479	0	0	0
20	1	31	136	1	17	0	122	2.77159016195219	1	0	0
21	0	132	52	1	15	0	122	0.976026086951606	0	0	0
22	1	117	130	0	20	0	122	1.0969466100214	1	0	0
23	0	119	127	1	19	0	120	0.810722173075192	1	0	0
24	0	48	83	1	17	0	120	0.920224728994071	1	0	0
25	0	110	19	1	15	0	120	1.76166103500873	1	0	0
26	0	49	113	1	14	0	120	1.50185445300303	1	0	0
27	1	86	63	0	12	0	122	1.29689232504461	1	0	0
28	1	80	12	1	10	0	122	3.13164473697543	1	0	0
29	0	125	8	0	9	0	120	1.46562651102431	1	0	0
30	0	100	110	0	7	0	122	1.3829086109763	0	0	0
31	0	20	106	1	12	0	120	1.38768119201995	1	0	0
32	1	148	113	1	11	0	122	2.02899894095026	1	0	0
33	1	86	27	0	9	0	122	0.98582105897367	1	0	0
34	0	137	35	1	8	0	120	0.862801062990911	1	0	0
35	1	10	136	0	6	0	122	0.820033335010521	1	0	0
36	0	30	129	1	5	0	120	1.40788343292661	1	0	0
37	0	129	32	1	3	0	120	4.59065226605162	1	0	0
38	0	55	103	1	2	0	122	4.08739690796938	0	0	0
39	1	76	137	0	6	0	122	1.60555088403635	1	0	0
40	1	148	134	1	5	0	122	1.46584488195367	1	0	0
41	1	53	82	0	4	0	120	3.33332932298072	0	0	0
42	1	126	82	0	7	0	122	4.35061724495608	1	0	0
43	0	117	102	1	6	0	122	0.545990590006113	0	0	0
44	0	99	34	0	10	0	120	1.47893719794229	1	0	0
45	1	20	67	1	9	0	122	1.28975602402352	1	0	0
46	0	37	110	1	8	0	122	2.17758399492595	0	0	0
47	0	106	67	1	11	0	120	0.687649357016198	1	0	0
48	1	72	117	0	10	0	120	1.16869034199044	0	0	0
49	0	17	135	0	14	0	120	0.14799556590151	1	0	0
50	0	101	41	1	12	0	122	1.54356744000688	0	0	0
51	1	44	95	0	16	0	122	1.07215268607251	1	0	0
52	1	105	73	0	15	0	120	0.699686023057438	0	0	0
53	1	88	26	0	19	0	120	2.02931822999381	0	0	0
54	0	110	100	1	22	0	120	1.17721763893496	1	0	0
55	0	37	65	1	21	0	120	0.991527883918025	1	0	0
56	0	98	25	0	20	0	120	1.13600135000888	1	0	0
57	0	139	73	1	19	0	120	0.606689378037117	1	0	0
58	0	5	147	0	18	0	120	0.908905087038875	1	0	0
59	0	95	108	0	16	0	120	0.767472025938332	1	0	0
60	1	148	39	1	15	0	120	0.937317489064299	0	0	0
61	0	60	64	1	19	0	120	0.619119189912453	1	0	0
62	0	84	45	1	17	0	120	1.65425622405019	1	0	0
63	1	45	107	1	16	0	122	1.64523963991087	1	0	0
64	0	44	40	1	15	0	120	0.840684326947667	1	0	0
65	0	70	67	1	14	0	120	0.886651140986942	1	0	0
66	0	103	1	1	13	0	120	0.788820795947686	1	0	0
67	0	73	103	1	12	0	122	1.21431508997921	0	0	0
68	0	69	58	0	15	0	120	0.683379763970152	1	0	0
69	1	107	57	1	14	0	120	3.98028028593399	0	0	0
70	1	24	65	1	17	0	122	2.37989066704176	1	0	0
71	1	71	68	1	16	0	122	1.01797590393107	1	0	0
72	0	40	13	0	15	0	120	0.853552174055949	1	0	0
73	1	31	135	1	14	0	122	1.98626152204815	1	0	0
74	0	142	32	1	13	0	120	0.194048563949764	1	0	0
75	0	90	24	0	12	0	122	4.55079866899177	0	0	0
76	0	63	85	1	15	0	122	1.87621156999376	0	0	0
77	0	83	6	1	18	0	120	0.864251146907918	1	0	0
78	0	110	27	0	17	0	120	1.42802453401964	1	0	0
79	1	135	58	0	16	0	120	1.67732806201093	0	0	0
80	1	135	36	1	19	0	120	2.31880999496207	0	0	0
81	1	51	137	1	22	0	120	1.41574423003476	0	0	0
82	1	4	148	1	24	0	122	2.20807641104329	1	0	0
83	1	106	21	1	24	0	122	1.88755809294526	1	0	0
84	1	123	109	0	23	0	122	1.97534618293867	1	0	0
85	1	10	149	0	22	0	122	2.7274397960864	1	0	0
86	1	106	149	1	21	0	122	0.408414217061363	1	0	0
87	0	19	84	1	20	0	120	0.702436987077817	1	0	0
88	1	96	66	0	19	0	122	0.784079344943166	1	0	0
89	1	6	91	0	18	0	122	2.27881811803672	1	0	0
90	1	63	58	1	17	0	122	2.09850737499073	1	0	0
91	0	22	12	0	17	0	120	0.77957091096323	1	0	0
92	0	31	127	0	16	0	120	2.58208766300231	1	0	0
93	1	58	127	1	15	0	120	1.20724947995041	0	0	0
94	0	147	136	0	17	0	120	0.916056130081415	1	0	0
95	1	21	112	1	16	0	122	0.837611331022345	1	0	0
96	0	19	36	0	16	0	122	0.793590010958724	0	0	0
97	1	97	41	1	18	0	120	0.966165321995504	0	0	0
98	0	75	24	1	20	0	120	2.76725590100978	1	0	0
99	1	92	124	1	20	0	122	0.878234325093217	1	0	0
100	0	90	86	1	19	0	120	0.716108851018362	1	0	0
101	1	78	12	1	19	0	122	4.05660965701099	1	0	0
102	1	99	98	1	16	0	122	1.59248661599122	1	0	0
103	1	107	6	0	14	0	122	0.681589593994431	1	0	0
104	1	71	73	0	11	0	120	0.490922089084052	0	0	0
105	1	9	2	0	19	0	122	1.40272431296762	1	0	0
106	0	106	127	1	17	0	120	0.646975283045322	1	0	0
107	0	40	2	1	15	0	120	1.26606307306793	1	0	0
108	0	123	13	1	12	0	120	1.31709849997424	1	0	0
109	0	87	103	1	10	0	120	1.66345772601198	1	0	0
110	1	40	9	1	8	0	122	2.63386998698115	1	0	0
111	1	28	7	1	6	0	122	0.272332824999467	1	0	0
112	1	58	46	1	3	0	122	1.78954402799718	1	0	0
113	0	65	116	0	1	0	122	39.3873728569597	0	0	0
114	0	50	39	1	8	0	122	12.937894726987	0	0	0
115	1	150	107	1	14	0	122	0.958225584006868	1	0	0
116	1	28	49	0	12	0	122	0.996193928061984	1	0	0
117	0	39	136	1	10	0	120	2.44894474500325	1	0	0
118	0	28	2	0	8	0	120	2.34844276797958	1	0	0
119	0	67	36	0	6	0	120	1.20503253501374	1	0	0
120	1	16	78	1	4	0	122	1.16174270689953	1	0	0
121	1	146	117	0	3	0	122	2.49561492702924	1	0	0
122	1	40	84	0	1	0	120	1.11634188098833	0	0	0
123	0	115	97	1	6	0	122	3.205445642001	0	0	0
124	0	119	16	1	12	0	120	0.852689718012698	1	0	0
125	0	140	19	0	10	0	120	0.933594841044396	1	0	0
126	1	129	60	1	8	0	120	2.30219535599463	0	0	0
127	1	1	121	1	14	0	120	0.760435292031616	0	0	0
128	1	145	40	1	19	0	120	1.13638799509499	0	0	0
129	0	63	102	0	24	0	120	0.649756139959209	1	0	0
130	0	130	132	1	22	0	120	1.47028425999451	1	0	0
131	1	135	122	0	20	0	122	0.836759592057206	1	0	0
132	0	8	137	0	19	0	120	0.914906824938953	1	0	0
133	1	4	122	0	17	0	120	1.16243569389917	0	0	0
134	0	148	119	0	22	0	120	0.0748038189485669	1	0	0
135	0	92	136	0	20	0	120	0.940547553007491	1	0	0
136	0	97	13	1	19	0	120	0.772144749062136	1	0	0
137	1	42	16	1	18	0	120	1.22126417199615	0	0	0
138	1	92	43	1	22	0	122	0.838361087953672	1	0	0
139	0	144	66	0	21	0	120	0.681989492033608	1	0	0
140	0	31	81	1	19	0	120	0.812539021018893	1	0	0
141	1	99	97	1	18	0	122	2.29762407089584	1	0	0
142	1	105	40	0	16	0	122	1.82917331904173	1	0	0
143	0	104	44	1	15	0	120	2.36962697596755	1	0	0
144	0	77	23	1	14	0	120	1.77695743204094	1	0	0
145	1	122	126	0	12	0	122	0.815647415001877	1	0	0
146	1	118	80	1	11	0	120	2.81029957905412	0	0	0
147	0	89	129	0	15	0	120	0.703865956980735	1	0	0
148	0	27	115	1	14	0	122	0.885278446949087	0	0	0
149	1	28	43	1	18	0	122	1.15081472299062	1	0	0
150	1	5	45	1	16	0	122	2.76547337300144	1	0	0
151	0	76	38	1	15	0	120	1.12496864795685	1	0	0
152	0	70	117	0	14	0	120	1.2072002349887	1	0	0
153	0	11	22	1	13	0	120	0.772173110046424	1	0	0
154	1	104	75	0	12	0	120	2.42994256399106	0	0	0
155	0	73	10	1	15	0	120	0.719180851010606	1	0	0
156	1	40	75	0	14	0	122	1.18956101394724	1	0	0
157	0	62	145	1	13	0	120	1.18104627705179	1	0	0
158	0	99	132	0	12	0	120	1.41469643998425	1	0	0
159	0	123	127	1	11	0	120	1.89010001695715	1	0	0
160	0	25	136	0	10	0	122	0.644212277024053	0	0	0
161	0	48	52	1	13	0	120	1.32016427302733	1	0	0
162	1	71	104	1	12	0	120	3.69973088905681	0	0	0
163	0	80	42	1	15	0	120	1.41209501808044	1	0	0
164	1	96	68	0	14	0	122	1.46637535898481	1	0	0
165	0	72	99	1	13	0	120	1.1046867009718	1	0	0
166	1	120	1	1	12	0	120	3.2728924730327	0	0	0
167	1	9	44	0	15	0	122	1.64443936804309	1	0	0
168	1	71	111	1	14	0	120	1.00058657501359	0	0	0
169	1	76	72	0	17	0	122	0.465815854026005	1	0	0
170	1	80	69	1	16	0	122	1.37466606800444	1	0	0
171	1	81	79	0	15	0	122	1.11613882693928	1	0	0
172	1	60	112	0	14	0	122	2.19913592201192	1	0	0
173	1	125	112	0	13	0	120	1.72873218497261	0	0	0
174	0	123	18	0	16	0	122	1.63291486597154	0	0	0
175	1	135	114	0	19	0	122	0.716937665943988	1	0	0
176	0	104	34	1	18	0	120	3.52697836200241	1	0	0
177	1	53	43	1	17	0	120	1.18241696397308	0	0	0
