Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	104	9	1	90	0	122	6.73452750797151	1	0	0
2	0	5	43	1	87	0	120	2.47530322702369	1	0	0
3	0	56	14	0	85	0	122	2.95254346501315	0	0	0
4	0	49	70	0	93	0	120	0.904809553991072	1	0	0
5	1	94	57	0	90	0	120	11.4254101790139	0	0	0
6	1	115	118	0	97	0	122	1.93430385005195	1	0	0
7	0	72	26	1	95	0	120	0.878385739983059	1	0	0
8	1	108	106	0	93	0	122	1.21643879200565	1	0	0
9	0	141	51	0	91	0	120	0.806668399018236	1	0	0
10	1	68	91	0	89	0	122	1.73022308998043	1	0	0
11	0	130	115	1	87	0	120	0.732607769023161	1	0	0
12	0	70	89	0	85	0	122	3.49895723804366	0	0	0
13	1	109	57	0	91	0	122	1.07848862803075	1	0	0
14	0	109	77	0	89	0	120	0.848444173054304	1	0	0
15	0	57	79	1	87	0	120	0.732701721950434	1	0	0
16	0	99	145	1	85	0	120	1.31736368901329	1	0	0
17	1	64	78	1	83	0	122	1.28696827299427	1	0	0
18	1	88	34	1	81	0	122	2.66581267199945	1	0	0
19	0	42	107	0	79	0	122	2.40369294001721	0	0	0
20	1	107	73	0	85	0	122	0.897413033002522	1	0	0
21	1	125	12	1	83	0	120	0.94872403802583	0	0	0
22	1	146	112	0	89	0	120	0.851054758997634	0	0	0
23	0	49	64	1	94	0	120	1.08752463402925	1	0	0
24	0	7	12	0	92	0	120	2.26533488999121	1	0	0
25	1	73	110	0	91	0	122	8.42838083399693	1	0	0
26	0	76	95	1	89	0	120	0.568814210011624	1	0	0
27	1	108	85	0	87	0	122	0.735646229004487	1	0	0
28	0	140	132	0	86	0	122	3.22363066999242	0	0	0
29	0	54	77	0	90	0	122	5.23647758102743	0	0	0
30	1	56	19	1	95	0	120	1.71227900101803	0	0	0
31	1	87	43	1	100	0	120	1.92181953502586	0	0	0
32	0	74	8	1	104	0	120	1.19494671700522	1	0	0
33	0	4	23	1	103	0	120	1.20795329503017	1	0	0
34	1	48	114	1	101	0	120	2.49370846198872	0	0	0
35	1	73	86	0	106	0	122	3.62364095600788	1	0	0
36	1	75	85	0	104	0	120	1.65955882897833	0	0	0
37	1	92	35	1	108	0	122	0.766474574047606	1	0	0
38	1	89	52	0	107	0	122	6.65346776798833	1	0	0
39	0	36	53	1	106	0	120	0.890088054991793	1	0	0
40	1	129	58	1	104	0	122	0.852234578982461	1	0	0
41	1	145	148	0	103	0	122	5.30999763699947	1	0	0
42	0	141	108	1	102	0	120	0.58419274102198	1	0	0
43	1	40	85	0	100	0	122	1.44728829496307	1	0	0
44	0	146	14	1	99	0	120	1.80195885099238	1	0	0
45	1	56	3	1	98	0	120	2.99126415495994	0	0	0
46	0	138	134	1	102	0	120	2.96521250897786	1	0	0
47	1	54	68	0	100	0	122	1.94887294300133	1	0	0
48	0	139	77	0	99	0	120	0.71690805000253	1	0	0
49	0	30	38	0	98	0	120	1.55854741897201	1	0	0
50	0	62	102	1	97	0	120	1.37430582096567	1	0	0
51	0	33	66	1	96	0	120	0.712695774971507	1	0	0
52	1	67	68	1	94	0	122	0.740342942997813	1	0	0
53	1	15	123	0	93	0	122	3.4046911590267	1	0	0
54	1	62	149	0	92	0	122	0.993298551009502	1	0	0
55	0	130	149	0	91	0	120	0.711240640026517	1	0	0
56	0	59	57	0	90	0	120	2.31272794597317	1	0	0
57	0	2	80	0	89	0	120	0.738376189023256	1	0	0
58	1	108	110	1	88	0	122	0.721537197008729	1	0	0
59	1	19	41	1	87	0	122	1.33079222799279	1	0	0
60	1	104	52	1	86	0	122	1.70693479798501	1	0	0
61	1	141	108	1	85	0	122	1.1968652959913	1	0	0
62	1	31	13	1	84	0	120	0.570376458985265	0	0	0
63	0	125	85	1	87	0	120	1.0729649339919	1	0	0
64	1	149	32	1	86	0	120	1.61701583897229	0	0	0
65	1	56	73	0	89	0	120	0.796925552014727	0	0	0
66	1	22	45	0	92	0	120	2.14221800898667	0	0	0
67	1	125	131	0	95	0	120	1.50158995797392	0	0	0
68	0	120	94	1	98	0	120	1.55988193996018	1	0	0
69	1	2	68	0	97	0	122	0.687502569984645	1	0	0
70	0	95	117	1	96	0	120	0.703865625953767	1	0	0
71	0	30	35	0	95	0	120	0.929233882052358	1	0	0
72	0	70	72	1	94	0	120	1.01119250402553	1	0	0
73	0	4	122	0	93	0	120	1.06326155102579	1	0	0
74	1	102	80	0	92	0	122	0.883392611984164	1	0	0
75	0	3	112	0	91	0	120	0.982308578968514	1	0	0
76	1	112	119	1	90	0	122	0.749290115956683	1	0	0
77	0	135	81	0	89	0	120	1.06913508102298	1	0	0
78	0	9	121	1	88	0	120	0.702600687975064	1	0	0
79	0	58	50	1	87	0	120	1.48047057999065	1	0	0
