Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
1826	1942	2248	2497	1818	2115	3274	1846	1685	2780	1712	1812	1698	1709	2477	2578	2904	1821	1697	1814	2458	1831	1965	1840	3385	2069	1848	1699	3208	1962	2078	1834	1842	1833	1821	2087	2438	2067	2566	1971	1707	1947	1812	1689	1959	1687	2958	2107	2325	2963	3720	3012	1713	2578	2077	1845	1977	1942	2489	2244	1944	1976	1937	1835	2206	2240	2441	2118	1847	1843	1987	2498	2383	2705	1976	2578	1985	1692	2363	2193	2743	2100	2234	1835	2833	1808	1712	1685	2071	1848	2070	3335	1972	2228	2458	2363	2229	1957	1955	2238	2345	1701	2781	2222	3031	2095	2352	2241	2076	1713	2360	1987	1832	2363	2192	1701	1853	1845	1692	1694	1985	2212	2204	2091	2705	2635	2084	2113	1935	1817	1844	1694	1821	1815	1819	2360	2847	1706	1818	2248	1845	1849	2068	3083	2229	1830	2250	1843	1954	1850	3401	2730	2090	2208	3218	1945	2342	1960	2064	1699	2189	2573	1814	1824	2621	2185	2078	1973	2734	2734	1940	2361	2191	2623	1814	1687	3110	2085	1839	1695	1708	1820	2063	2732	2776	1961	3098	2583	1945	3004	1959	1822	2482	2118	1696	1974	3387	1698	2442	1686	1693	2116	2565	2373	1812	1961	2757	2203	2095	2696	2779	2631	1949	1943	1825	2443	2962	2386	1948	2060	2237	2100	2381	1844	2075	1824	1853	2697	2242	2603	3237	2631	2373	1844	2486	2187	2861	3109	1977	2956	3414	4840	3098	3794	3509	1689	2077	2855	2845	2960	2072	2351	2233	1833	3094	2445	3123	2382	2451	2203	2092	2065	1955	2363	3007	2577	3116	1830	2215	2957	1685	2648	2318	1702	1701	1822	2194	1967	1823	2759	2843	2913	2371	2754	2204	1707	2856	2329	3163	2956	2448	2578	2650	2368	2058	2185	2602	2726	2086	2185
3002	2566	2469	2577	2234	2640	4052	2507	1838	2908	1829	1818	1700	2445	2828	2911	3133	1838	2635	2341	2965	2512	2206	2105	3390	2116	1851	2328	3660	2475	2242	2333	2080	2088	1846	2821	2620	2076	2768	2363	1978	1962	2603	1814	2215	1697	3005	2380	2881	3036	4268	3381	2207	2758	2192	2310	2082	1947	2499	2830	2359	2896	2701	2449	2226	2578	3136	2467	2438	2488	2613	3137	2877	3014	2320	2748	2228	1704	2868	2465	4390	2504	2453	2235	2838	2626	2235	2863	2092	2067	3268	3372	2092	2899	2896	2846	2622	2241	2236	2966	2458	2204	3032	2228	3091	2456	2780	3229	2508	2346	2886	2194	1842	2778	2578	2103	2598	1951	3162	2202	2072	2641	3336	2879	2868	2881	2517	2244	2220	2441	2640	1972	3085	2214	2478	2614	2871	2516	1933	2440	2185	1939	2379	4184	2377	1937	3021	1987	2736	2596	3642	2852	2441	2219	3381	2362	3391	2609	2770	2722	2190	3424	1826	1986	2729	2241	2229	2214	2858	3159	2072	2500	2230	2698	2375	3350	3544	2117	2471	2634	2367	2087	2201	2835	2856	2316	3347	2588	2062	3089	2081	2439	3028	2460	3090	2382	3628	2082	3847	2103	3537	2209	2958	2700	2355	2351	2990	2437	2907	2744	3345	2835	2369	2731	1974	2507	3676	2884	2590	2901	2314	2185	2473	2635	2217	2191	3224	2699	2697	3660	3997	3266	3866	2628	4098	2754	3124	3397	2097	3036	3539	6728	3598	4270	3741	2247	2213	3413	2956	3132	2386	2468	3219	2200	3989	4212	3431	4551	2510	2218	2199	2489	3026	2459	3354	3244	3473	3148	2373	3045	1935	2827	2369	2750	1815	1971	2206	2062	2502	3402	3043	3380	2822	2839	2629	1836	2880	3272	3556	3121	2501	4007	2722	3173	2063	2992	3039	3164	2113	2580
3126	4534	2829	2701	2440	2773	4083	2571	2096	3035	2085	1842	2074	2628	2910	3014	3144	2070	2995	2964	3044	3034	2453	2222	3525	2444	1972	2509	3674	2750	2593	2510	2486	2331	1946	3095	3251	2098	2873	2474	2440	2384	2605	2102	2483	1982	3466	2446	2973	3371	4408	3426	2329	3595	2361	2505	2208	2344	2911	2953	2450	3109	3136	2892	2465	2647	3338	2578	2726	2582	2970	3234	4668	3019	2362	3176	2326	2756	2875	2570	4708	2596	2576	2339	3253	4056	2322	2989	3296	2083	3524	3424	2582	2950	3013	3386	3083	3038	2490	3349	3396	2327	3039	2946	3762	3225	2890	3231	3273	2610	4185	2344	2370	3288	2772	2705	2616	2101	3238	2730	2350	2722	3764	3541	3299	3563	2857	2331	2515	2820	3161	3499	3152	4241	2850	2735	2898	2866	2324	2606	3073	2078	2501	4621	2700	1943	3399	3298	3083	2753	4162	3857	2593	3329	3431	2949	3654	3479	2970	2899	2377	3562	2692	2967	2840	2316	2233	2480	2908	5025	2107	3074	2347	2769	2727	3633	3676	2960	2478	2904	2624	3011	2871	2856	3520	2470	3396	2693	3286	3167	3121	2736	3254	3738	3338	3121	3643	2232	4483	2442	3561	3356	3137	3585	2845	2371	4755	3154	3344	3692	3727	2909	2461	2775	2351	3126	4183	3392	2745	4888	2948	2489	3243	3222	2230	2319	4508	2949	3092	5370	5377	4483	3888	2776	4325	2890	3950	5123	3688	3980	3609	7728	3660	5737	3997	2384	2383	3685	3386	4571	3002	2742	3260	2209	4031	4310	3638	6293	2770	2497	2702	2579	3092	2492	3412	3862	3881	3362	2517	3531	2317	2896	2862	3016	2076	2202	2501	2226	3082	3750	3125	3512	2840	2968	3015	2190	3332	3651	5509	4181	2760	4326	3089	3216	2085	3496	3522	4132	2612	2758
3160	5505	3463	3084	3131	2873	4239	2698	2585	3212	2098	1951	2459	2851	3079	3282	3174	2197	3159	3395	3202	3344	2586	2375	3814	2456	2955	2717	3765	2829	2772	2715	3344	2498	1950	4812	3292	2318	3073	2873	2443	2843	3291	2241	2904	2440	3658	2463	3094	4716	4637	4020	2355	3937	2438	2823	2458	2463	3280	3431	2480	3489	3619	3041	2576	2952	3478	2579	3379	2776	3201	3412	4742	3115	2744	3789	2997	2824	3041	2577	4870	3207	2577	2359	3291	4177	2474	3520	3593	2217	3652	3516	2717	3008	3754	3741	3335	3400	2622	4018	4229	2364	3204	3021	4310	3421	3304	3527	3468	2639	4402	2852	2603	3628	2948	2884	3122	2776	3689	3475	2715	3018	3858	3769	3403	3693	2875	2640	2780	2901	3733	4134	4131	4623	3639	2745	2947	3242	2445	2874	3851	2442	2572	4924	2759	2310	3534	3359	3153	3230	4164	4485	2704	4273	3463	3490	3952	3639	3005	3027	2581	4710	3375	3489	2890	2644	2883	2603	2974	5424	2470	3640	2440	2850	2754	3775	4415	3082	3917	3009	3125	3354	3467	2981	3720	2493	3402	2840	3797	3603	3750	2970	4113	4080	4394	5251	3919	2582	4678	2642	3687	4866	3489	4180	2866	3338	6732	4008	3734	3876	4417	3264	2643	2853	2363	3161	4497	3756	3127	5265	3163	2710	3251	3274	3519	2892	4626	3125	3935	5763	5656	6044	4925	3483	4762	3124	5548	6529	5159	5164	3633	7745	3868	7533	4599	3177	4229	4032	3481	4609	3550	2857	3924	2564	4190	5955	4643	6520	3539	3114	2869	2611	3539	2726	3472	4300	4587	3764	2980	3763	2894	3131	3041	4910	2507	2704	2848	2384	3170	4458	3457	4022	3278	3255	3042	2741	3414	4013	6514	4397	3234	4878	3120	3531	2229	3525	4310	4326	3943	2869
4102	5609	5150	3088	3390	3248	4320	2844	2602	3216	2344	2083	2838	2991	3121	3635	3526	2604	3596	3418	3472	3541	2865	2768	3817	2589	3038	2747	3877	2957	3239	3012	3411	2516	2346	5161	3374	2758	3283	3434	2472	3155	4239	2316	2954	2586	3766	2564	3292	4803	4739	4840	2888	4246	2971	2877	2506	2585	3655	3586	2961	3491	3862	3150	2621	3153	3539	2849	3464	3268	4970	4117	4870	3201	2826	3979	3124	2949	3330	2855	5154	3360	3212	2948	3345	4242	2730	3731	3772	2701	3909	3662	2955	3203	3768	4235	3532	3464	3330	4148	4282	2443	3508	3217	4414	3743	3600	3622	3552	2728	4414	3128	2765	3931	3154	2890	3147	3042	3714	3485	2729	3752	4081	5975	4417	3721	2905	2897	3141	3610	4124	4233	4295	5390	3734	2779	3221	3296	3367	3166	3902	2586	3081	4929	3151	2509	3622	3516	3284	3380	4260	4544	3006	4385	3528	3633	4266	3663	3714	3413	2750	4963	3659	3662	3169	2729	3235	2852	2993	5486	2820	3695	2581	3021	3334	3992	4844	3464	4311	3032	4276	3657	3561	3140	3746	2703	3747	2846	4014	3695	3851	3491	4234	4200	4871	6304	4700	2902	4766	2777	3793	5360	3519	4832	3121	3545	7247	4015	4415	4791	4750	3776	2715	3099	2737	3461	4617	3948	3177	5700	3421	2988	3644	3559	4021	3545	4809	3137	5175	5980	5798	7576	5471	3779	5207	3359	6262	7927	5311	6378	4207	8226	4754	7717	4979	3272	4609	4044	5280	4677	3911	4166	5077	2725	4687	6167	4650	6663	3922	3394	2961	3457	3634	2897	3766	4536	4829	4133	3087	4061	3172	3684	3220	5267	4108	2763	3507	2564	3236	5421	3727	4755	4102	3283	4681	3434	3608	4267	6701	4799	3460	4892	3873	3862	2378	3606	4362	4337	4420	2982
4185	5707	5606	3173	4036	3371	4646	3644	2618	3272	2448	2207	2890	3303	3256	3716	3693	2765	3820	3612	3553	4162	2906	3011	3871	2618	3514	2840	4082	3136	3291	3167	3545	2568	4304	5301	3728	2769	3307	4210	2620	3236	4263	2693	3228	3005	3783	2631	3427	4884	4811	4938	3097	4289	3407	3305	2648	2862	4006	3588	3001	3773	3947	3256	2633	3899	3607	3006	3487	4000	5176	4145	4963	3650	3349	4119	4533	2973	3431	3239	5621	3586	3373	4550	3359	4313	2763	3782	3788	3146	4042	3895	3300	3218	3808	4963	4500	3513	4299	4560	6163	3614	3804	3358	4461	3762	3683	4123	3590	2768	4443	3492	3105	4315	3558	3300	3336	4365	3756	3519	2771	3857	4238	6882	5349	3742	3004	2914	3411	3774	4255	4575	4394	5543	3820	2892	3262	3383	3492	3850	3947	2974	3635	4953	3159	2583	3648	3662	3299	3766	4433	4761	3424	4587	4698	4612	4357	3695	3944	3629	3594	5774	3790	4105	3304	3614	3789	2868	3606	6171	3412	3758	2589	3177	3644	4568	4875	4358	4487	3085	4397	3789	3635	3252	3889	2842	3926	3222	4509	5040	4065	3601	4414	4561	5349	6605	5786	2903	4911	3633	3846	5489	3891	5233	3610	3817	7436	4098	4558	4994	4827	3818	3728	4428	2745	4201	5399	4562	3418	6231	3555	3086	3655	3664	4114	3685	5264	3286	5688	6080	6023	8886	5808	3809	5290	3690	7408	7988	5692	7085	4537	11271	5240	7976	5447	3482	5022	5674	5418	5622	5166	4277	6788	2840	4765	7115	6300	6875	4500	3716	3613	3931	4144	2908	4461	4873	4900	4899	3177	4100	3296	3795	3432	5664	5193	3423	3661	2642	3368	5470	4203	6498	4484	4134	5435	3493	4056	4814	6928	5636	4232	4921	4098	4169	2502	3613	4558	4723	4639	3301
4421	5746	5787	3348	4365	3552	4912	3688	2844	3360	2481	2240	3020	3610	3664	3884	3816	2832	3927	3782	3599	4274	2967	3102	4235	2964	3719	2963	4739	3284	3524	3596	3885	2615	4436	5313	4390	2887	4197	4469	2822	3248	4508	2704	3367	3477	3860	4018	3934	5438	4865	5000	4424	4293	3462	3540	2697	3241	4209	3742	3147	4004	4271	3389	2949	3903	4074	3632	3593	4137	5255	4202	5002	3793	3417	4703	4658	3158	3467	4303	5845	3988	3430	4655	3407	4818	2913	3994	4024	3664	4098	3925	3972	3479	3947	5285	4565	3737	4491	5315	6449	3801	3848	3382	4839	4317	4178	4431	3634	3004	4455	5073	3495	4432	3953	3417	3987	4487	4014	3656	4061	4311	4260	7205	5614	3848	3344	3018	3477	5093	4304	5035	4560	5677	3989	3231	3765	4104	3912	4008	4003	3235	3649	5604	3269	2644	3773	3789	3332	3802	4447	5238	3505	4832	4973	5012	4422	3885	4018	4142	3630	6335	3923	4367	3306	3626	3885	3221	3689	6219	3538	4123	2637	4593	3874	4845	5196	4572	5018	3820	4507	4056	4026	3874	3988	3637	4212	4190	4776	5180	4203	3684	4715	5071	5397	6915	6031	3150	6022	3994	4583	5899	4067	5359	3782	4244	7575	4819	4718	5129	5140	3947	5272	4750	3152	4460	5478	4588	3856	6920	3745	3225	3880	4007	4211	4270	6333	4664	6087	6468	6037	8896	5952	3941	5765	4039	8836	8027	5908	8180	4810	11471	6494	8581	6508	4320	8503	5702	6074	6107	5170	5066	7558	3300	5858	7993	6493	7061	4550	3803	3780	5071	4275	3469	4790	5354	5127	5203	3744	4174	3506	4073	3587	5909	5389	3768	4058	3667	3531	6058	4678	6593	5523	4203	6172	5359	4274	4984	6938	5916	5065	5101	4309	4514	2583	3648	4619	4756	4766	3853
4667	5754	5884	3467	4485	3811	5768	3782	2884	3770	2751	2321	3105	3613	3799	4038	3823	3460	4142	3787	3748	4833	3235	3207	4509	3249	3811	2978	4815	3626	3687	3794	4244	2628	4694	5609	4934	2948	4230	4565	2825	3384	4556	2903	3524	4230	3870	4080	4777	5456	4884	5065	4785	4333	3521	3559	2778	3259	4459	3767	3416	4007	4355	3715	3029	3904	4664	3802	3733	4146	5704	4203	5028	4188	3740	4812	4943	3382	3816	4435	6142	5209	4382	5229	3645	4980	3118	4076	4231	3792	4596	4144	4506	3497	3983	5934	4689	4189	4998	6565	6653	4362	4071	3681	5566	4379	4298	4853	3823	3253	4657	5080	3631	4670	4028	3657	4003	5098	4023	3734	4238	4668	4376	7351	5913	4331	3566	3076	3731	5419	4849	5161	4830	5713	4045	4556	3881	4106	4240	4200	5101	3344	3661	5762	3650	2911	3893	3945	3749	3911	4462	5537	3942	4973	5644	5295	4852	4311	4424	4252	4456	6622	4040	4977	3642	3658	3980	3355	3904	7057	3692	5103	2827	4628	3915	4881	5344	5141	5265	4045	4588	4134	4176	4723	4098	3913	4637	4387	5219	5249	4494	3927	4950	5338	5837	7451	6179	4189	6210	4275	4698	6640	4651	5681	3933	4278	8022	4938	5285	5325	5170	4057	5612	4816	3343	4629	5697	4758	3864	7398	4254	3371	4046	4321	4234	4459	6768	5314	9284	7624	6974	9101	6635	5301	6066	4284	9288	8408	5946	9180	4840	12435	7765	13793	6584	4676	10443	6063	7000	6133	6298	5098	7563	3510	6623	8276	6579	7391	4656	4284	3817	5491	4795	3991	4977	5780	5834	5393	4059	4752	4161	4294	3729	6039	5577	4328	4201	4267	3860	6474	4878	8119	5843	4510	6275	5370	4315	5020	6960	6006	5086	5220	4824	4520	3672	3984	4749	5296	5379	4071
4887	6410	5963	3513	4928	4145	5962	3907	2956	3796	2820	2356	3510	3645	3939	4055	3873	3781	4176	3802	3990	4964	3284	3247	4528	3490	3901	3105	4922	3734	4040	4199	4248	2693	4724	5790	4966	3125	4285	4623	3433	3646	4639	3350	3604	4273	4235	4129	4914	5487	5755	5154	5277	4362	3668	3714	2889	3331	4543	4017	3429	4208	4397	4268	3412	4063	4782	3808	3771	4301	5820	4573	5161	4253	4185	5661	5586	3466	4291	4886	6258	5472	4563	5561	4566	5080	3926	4185	4424	3868	4623	4194	4977	3523	4645	6304	4894	4235	5281	6635	7082	4451	4325	3901	5612	4512	4453	5274	4006	3540	4741	6736	3638	4791	4201	3881	4109	5851	4197	3818	4272	4757	4395	7444	6119	4501	3782	3649	3850	5420	5508	5235	4917	5970	4300	4885	4658	4148	4440	4430	5186	3385	3782	6137	3721	3301	4155	4135	4521	4147	4539	5618	4051	5023	5840	5377	4956	5170	4432	4457	5071	6793	4577	5180	3690	3784	4439	3814	4302	7135	3726	5437	2830	4633	3938	5567	5421	5262	5468	4411	5070	4753	4397	5587	4281	4260	4653	4562	5316	5411	4609	4293	5314	5615	6453	7639	6190	4228	6661	4550	4892	6767	4897	5787	4026	4405	8299	5532	5348	5459	5207	4127	6009	4849	3502	4948	5883	4882	4240	7451	4307	3479	4185	4690	4634	4890	7674	5661	10228	8505	7389	11423	6731	5580	6231	4822	9538	8696	7232	10722	5867	12834	8728	14112	6702	5738	10549	6947	7237	6461	6474	5162	7765	3866	6708	8543	7554	8645	5316	5054	5252	5969	5090	4845	5086	5950	6926	5397	4181	4780	4692	4632	3739	6293	5589	4562	4292	4273	4157	6799	6019	8203	5898	4540	6688	5440	4404	5872	6982	6252	6100	5464	4947	4698	4596	4110	4944	5394	5786	4286
4897	6411	6151	3538	5173	4370	6148	3909	3111	3893	2831	2627	3659	3660	4116	4099	5832	3916	4518	3972	4226	5045	4009	3280	4590	3534	3910	3354	5498	4320	4521	4242	4336	3103	4737	5908	5319	3163	4417	4647	3810	3666	4795	3651	3841	4578	5010	4383	5627	5645	6078	5481	5298	4527	3799	3721	3004	3340	4910	4070	3560	4436	4585	4573	3460	4097	4910	3855	3776	4337	5990	4922	5294	4567	4740	6028	6005	3520	4629	5023	6386	5725	4697	5640	5176	5345	3984	4433	4432	3969	4681	4249	5079	4554	4845	7001	5126	4599	5475	6852	7911	4662	4354	4525	5615	4539	4494	5363	4050	3979	4775	6778	4190	5059	4436	4303	4510	5908	4399	4975	4443	5272	4568	7554	6122	4640	3909	3777	4044	6418	5697	5251	5457	5971	4314	4908	4868	4522	4541	4791	5493	3633	3937	6315	4003	3969	4559	4377	4584	4157	4867	5691	4112	5541	5848	6156	5022	5224	4441	4868	5185	7146	5330	5524	3948	4594	4647	3892	4353	7155	3789	5513	3212	4897	4555	5794	6318	5276	5593	4427	5318	4892	4436	6030	4903	4449	4779	4664	5359	5859	5408	4894	5354	5707	6846	8221	6211	4463	7170	4818	5135	6860	5812	5881	4202	4542	8468	5911	5899	5702	5254	4516	6115	5100	3818	6155	6175	4905	4359	7765	4549	3649	4306	4695	4661	4912	7877	5790	10708	8862	8622	11704	7524	5722	7956	4890	10559	8700	8028	10958	7202	0	9981	0	7408	5854	10817	7722	7449	6707	6916	5293	7784	4538	7180	9096	7614	9504	5762	5499	5325	6248	5800	5073	5367	6267	6957	5753	4206	5423	5026	4924	3914	6408	6133	4582	4809	4275	4170	7489	6196	8206	5951	4575	6987	6228	4738	6416	7206	6849	6368	5649	4950	4924	4837	4260	5081	5830	6298	4412
