Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	92	105	1	21	0	120	1.90411261000554	1	0	0
2	0	76	37	0	18	0	120	0.519067114000791	1	0	0
3	0	133	99	0	16	0	122	0.691809269002988	0	0	0
4	0	148	64	1	24	0	120	0.91491646799841	1	0	0
5	1	40	17	0	21	0	122	2.21894035799778	1	0	0
6	0	91	108	0	19	0	120	0.647787523004808	1	0	0
7	0	47	73	0	17	0	120	0.642243683003471	1	0	0
8	0	118	52	1	14	0	122	1.2060738250002	0	0	0
9	1	95	117	1	21	0	122	0.732170297997072	1	0	0
10	1	27	128	1	19	0	120	2.09130392699444	0	0	0
11	1	26	122	1	26	0	122	3.01358228801109	1	0	0
12	1	73	9	0	24	0	122	1.2580601219961	1	0	0
13	1	75	126	0	22	0	122	1.68486250999558	1	0	0
14	1	139	70	0	20	0	120	1.56658987000992	0	0	0
15	0	129	117	0	26	0	120	0.573293455992825	1	0	0
16	1	10	4	0	24	0	120	1.24402808099694	0	0	0
17	1	84	90	1	30	0	122	1.11899565800559	1	0	0
18	1	107	37	1	28	0	122	0.624087431991939	1	0	0
19	1	38	61	0	26	0	122	0.772556575000635	1	0	0
20	1	131	116	1	25	0	120	1.55328897599247	0	0	0
21	1	41	24	0	30	0	120	1.07314657499956	0	0	0
22	1	13	113	0	35	0	120	0.835097800998483	0	0	0
23	1	120	106	1	40	0	120	4.78259091298969	0	0	0
24	0	61	125	0	45	0	120	0.772888323001098	1	0	0
25	1	7	47	1	43	0	122	0.811250573999132	1	0	0
26	0	70	127	1	42	0	120	1.55282483900373	1	0	0
27	0	113	14	1	40	0	120	0.959787263011094	1	0	0
28	0	27	28	1	39	0	122	0.75881553599902	0	0	0
29	0	68	43	0	43	0	120	1.4372592199943	1	0	0
30	1	13	68	0	42	0	122	1.25642303000495	1	0	0
31	1	125	17	0	40	0	120	1.06877725799859	0	0	0
32	1	43	68	0	44	0	120	1.36642785799631	0	0	0
33	0	147	35	1	49	0	120	0.669399364007404	1	0	0
34	1	85	39	1	47	0	120	1.58357638400048	0	0	0
35	1	67	50	1	52	0	122	1.47798305199831	1	0	0
36	0	135	13	1	50	0	122	2.75919616900501	0	0	0
37	1	116	79	0	54	0	120	1.15817811799934	0	0	0
38	0	22	119	0	58	0	120	1.10238588599896	1	0	0
39	0	36	8	1	57	0	120	1.09498699699179	1	0	0
40	1	90	96	0	56	0	122	0.863854217997869	1	0	0
41	1	63	18	0	54	0	122	2.21135279499867	1	0	0
42	1	46	111	0	53	0	120	0.895694245991763	0	0	0
43	0	68	7	1	57	0	120	1.21013478700479	1	0	0
44	0	66	121	0	56	0	120	2.03061356300896	1	0	0
45	0	122	5	0	55	0	120	2.36192181099614	1	0	0
46	1	144	139	1	53	0	120	1.80104384700826	0	0	0
47	0	81	98	0	57	0	120	0.990300099001615	1	0	0
48	1	5	126	0	56	0	122	0.572477676993003	1	0	0
49	0	89	36	1	55	0	120	0.666688657991472	1	0	0
50	1	51	129	0	54	0	122	0.613035791000584	1	0	0
51	0	95	7	0	53	0	122	0.777589625999099	0	0	0
52	0	98	36	0	56	0	120	0.608149238003534	1	0	0
53	0	10	39	1	55	0	122	0.757033139991108	0	0	0
54	0	139	95	1	58	0	120	1.11596358499082	1	0	0
55	1	53	100	0	57	0	122	1.6124624570075	1	0	0
56	1	29	133	1	56	0	120	1.03341310299584	0	0	0
57	1	117	109	0	59	0	122	1.39713636900706	1	0	0
58	1	147	76	0	58	0	122	1.01869360500132	1	0	0
59	0	39	59	0	57	0	120	0.655654746995424	1	0	0
60	0	66	88	0	56	0	120	0.675292045008973	1	0	0
61	0	1	91	0	55	0	120	0.749281066993717	1	0	0
62	1	17	65	1	54	0	120	0.892678115007584	0	0	0
63	1	60	79	1	57	0	122	0.605750016009551	1	0	0
64	0	82	65	0	56	0	120	0.635345581991714	1	0	0
65	1	109	127	1	55	0	120	0.839193143998273	0	0	0
66	1	138	96	1	58	0	122	0.858242671994958	1	0	0
67	1	62	69	1	57	0	122	0.558451909993892	1	0	0
68	0	150	44	1	56	0	120	0.774549198002205	1	0	0
69	0	48	2	1	55	0	120	1.14767941999889	1	0	0
70	1	49	126	0	54	0	122	0.755878894997295	1	0	0
71	0	139	90	1	53	0	122	0.679593198001385	0	0	0
72	0	44	99	0	56	0	120	0.644928517009248	1	0	0
73	1	39	15	1	55	0	120	0.728001059003873	0	0	0
74	1	92	80	0	58	0	122	0.671810151994578	1	0	0
75	0	67	5	0	57	0	120	0.939184828006546	1	0	0
76	0	17	58	0	56	0	120	0.623701320000691	1	0	0
77	0	59	119	0	55	0	120	0.997561847005272	1	0	0
78	1	78	54	0	54	0	122	0.651194410005701	1	0	0
79	1	140	31	0	53	0	122	0.543516913006897	1	0	0
80	1	115	9	1	53	0	120	0.734913060994586	0	0	0
81	1	119	40	0	55	0	122	0.870426267996663	1	0	0
82	0	37	91	0	54	0	122	2.56956645099854	0	0	0
83	0	97	127	0	57	0	120	0.558830865993514	1	0	0
84	0	78	4	0	56	0	120	0.758375381003134	1	0	0
85	1	125	68	0	55	0	122	1.18116939300671	1	0	0
86	0	21	28	0	54	0	120	0.707892570993863	1	0	0
87	1	128	65	1	54	0	122	0.572733632987365	1	0	0
88	1	11	64	0	53	0	122	0.682851040008245	1	0	0
89	1	49	56	1	52	0	122	0.653215817990713	1	0	0
90	1	140	127	1	51	0	122	0.719984634008142	1	0	0
91	0	112	144	0	50	0	120	1.33659472200088	1	0	0
92	1	115	67	0	50	0	122	1.04793372300628	1	0	0
93	1	129	139	0	49	0	122	1.252008734009	1	0	0
94	0	127	58	0	48	0	122	0.958334023001953	0	0	0
95	0	1	96	1	50	0	120	0.566031619004207	1	0	0
96	0	15	4	0	50	0	120	0.628164706999087	1	0	0
97	1	17	111	0	49	0	122	0.631637375990977	1	0	0
98	0	62	119	0	48	0	120	0.636374084002455	1	0	0
99	1	131	119	1	47	0	122	2.49565172099392	1	0	0
100	0	148	52	1	47	0	120	2.91312781699526	1	0	0
101	1	93	100	0	46	0	122	0.791927735990612	1	0	0
102	1	116	40	0	43	0	122	0.769460673996946	1	0	0
103	0	21	5	0	41	0	120	0.598120316994027	1	0	0
104	1	41	59	1	38	0	122	1.13631515399902	1	0	0
105	0	66	97	1	36	0	120	0.816453252991778	1	0	0
106	0	105	148	1	33	0	120	1.19757443098933	1	0	0
107	0	104	122	0	31	0	122	0.619087598999613	0	0	0
108	1	8	47	0	38	0	122	0.879115492003621	1	0	0
109	0	145	101	1	36	0	122	0.974803858989617	0	0	0
110	0	19	44	1	43	0	122	1.50254972200491	0	0	0
111	0	68	135	0	49	0	120	0.599487252999097	1	0	0
112	1	121	116	0	47	0	122	0.749225434003165	1	0	0
113	0	102	78	1	45	0	120	0.753678911001771	1	0	0
114	0	51	136	1	43	0	120	0.650722887003212	1	0	0
115	1	130	25	1	41	0	122	0.678017903992441	1	0	0
116	0	110	149	1	39	0	120	4.94470546099183	1	0	0
117	1	14	54	1	37	0	120	0.727743241004646	0	0	0
118	0	127	13	0	43	0	122	2.16661865101196	0	0	0
119	1	62	76	0	48	0	122	0.895521219004877	1	0	0
120	1	119	58	0	47	0	122	1.19277736901131	1	0	0
121	1	20	125	0	45	0	122	1.02260219000163	1	0	0
122	1	119	137	0	43	0	120	2.46569005299534	0	0	0
123	1	119	122	1	48	0	122	4.65296807300183	1	0	0
124	1	71	22	1	46	0	120	3.55956782599969	0	0	0
125	0	114	37	1	51	0	122	1.17422143599833	0	0	0
126	1	20	110	1	56	0	122	1.23723029700341	1	0	0
127	1	67	58	1	55	0	122	0.832745705993148	1	0	0
128	1	42	13	0	53	0	122	1.77154454799893	1	0	0
129	0	44	3	1	52	0	120	5.58658337799716	1	0	0
130	1	118	14	0	50	0	122	1.9429897749942	1	0	0
131	1	1	47	1	49	0	122	1.27970188600011	1	0	0
132	1	74	78	1	47	0	122	2.88838808100263	1	0	0
133	1	56	8	0	46	0	120	0.898771436986863	0	0	0
134	0	17	64	1	50	0	122	2.61210892700183	0	0	0
135	1	73	96	0	55	0	122	3.48828942200635	1	0	0
136	0	145	71	1	53	0	120	2.15385880299436	1	0	0
137	0	94	116	0	52	0	120	1.00123611598974	1	0	0
138	0	126	122	1	50	0	120	1.09343585000897	1	0	0
139	1	78	109	1	49	0	122	0.840448468996328	1	0	0
140	0	65	66	1	48	0	120	0.947027868998703	1	0	0
141	1	14	68	1	46	0	120	6.28249793199939	0	0	0
142	1	100	120	0	50	0	122	1.27701972900832	1	0	0
143	0	29	135	1	49	0	120	1.23939514100493	1	0	0
144	1	56	25	0	48	0	120	1.40318357400247	0	0	0
145	0	96	138	0	51	0	120	2.31904685200425	1	0	0
146	1	111	112	0	50	0	122	2.97588242100028	1	0	0
147	1	134	22	0	49	0	122	2.88602518600237	1	0	0
148	1	104	46	1	48	0	122	1.39921104400128	1	0	0
