Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
3131	2512	2727	2226	2900	1966	2206	2488	2329	1701	2087	2323	2975	2716	3694	3010	3588	3376	4684	3473	3972	2079	5306	2371	2463	2079	3161	2827	1693	3292	1935	3906	2451	2452	1980	2741	2107	3258	4450	2609	2239	2234	3009	2611	2843	1972	3731	2831	2967	3303	5460	2215	3346	2699	1829	1850	3331	1984	2223	1938	2120	3531	2366	2371	2756	3209	2913	3165	1685	2365	2826	3601	2636	1937	2381	3228	2769	2863	1702	2310	2337	2594	2115	2376	2645	2323	2082	2896	2251	2202	3681	2314	3851	3687	2101	3427	1853	2193	2366	2449	2212	1827	1704	1940	1817	2326	1713	2974	1816	2385	2089	4484	2717	2982	2322	1703	3377	1816	2211	3203	2771	2228	2323	1702	2090	1842	1817	2074	2831	2188	2083	2956	2347	2573	2065	2645	2505	2986	2696	2957	2593	1934	1689	3105	3408	2954	1968	2195	3628	1960	3083	2082	2582	1838	1703	2063	2240	1848	2611	2506	1816	2462	2190	1972	2317	3379	2770	2193	2212	2357	2901	2223	1966	2444	2338	2512	2113	3335	2575	2469	2566	3082	2819	2574	2587	2384	1831	2060	2061	3924	2613	1815	2622	2911	4588	2628	2372	3033	2100	3009	1852	1694	2731	3231	4301	2851	1836	2900	3429	4038	3856	2340	2761	2381	2085	2190	3400	2337	2758	2340	2898	2383	2226	2058	4457	2738	2085	2113	2591	1814	3537	1980	3135	1938	1987	1703	1708	2106	1815	1937	1964	2496	2212	2972	6312	3343	3535	2207	2200	3533	4597	2368	3511	1813	1845	2903	3658	4759	3757	3391	3798	2605	3103	4208	3393	3168	3723	2449	2694	2776	2326	2621	3759	2461	2781	1828	2338	2361	2319	2092	2868	3112	2095	2208	2471	2111	2455	2201	2225	1955	2374	2896	1693	1968	2094	1935	2193	1848	1828	2724
5677	2988	2842	2650	3514	3805	2648	4006	2902	2508	2573	3543	2987	3942	4040	5263	4187	4757	5254	4241	4359	3529	5395	3486	3483	2863	3363	3737	1695	5418	3240	4946	2614	4925	2494	3019	3654	3795	4885	5390	3201	2634	5511	2949	3307	4687	5699	2833	4394	3887	6316	3286	3347	3112	2446	3031	3399	4299	2967	2090	2248	4299	2566	2602	2848	3228	2991	3479	2325	2445	3095	3656	2911	1976	2438	3253	3234	2970	2317	2467	2955	2968	3098	2490	2832	2762	2567	3228	3998	3366	3716	2614	4536	3985	2314	4534	2643	2242	4360	3099	3655	2083	2248	2589	2089	2843	2212	3021	1950	2979	2363	4953	4757	3233	3467	1707	5179	2363	2507	3226	4001	2355	2458	2059	3362	1959	2704	2087	3040	2877	2196	3333	4313	2720	2203	3272	3399	7568	3470	3077	2854	2363	2833	3432	3974	3136	2497	2443	3663	3133	3348	2476	2763	2568	2241	3244	3144	2882	2950	2736	2455	2759	2249	2323	2324	4334	2870	2701	3116	2437	3733	2456	2058	2483	2383	2749	2195	4873	3087	2858	3085	3100	3203	2713	2594	2775	3273	3239	2334	4200	2836	2747	3818	4167	7138	3125	2585	3749	3292	3083	2086	2218	2888	3246	4928	3334	2830	3459	3600	4248	3924	3432	5030	3125	2205	4703	3585	3222	3006	3021	3901	2980	4159	2726	4825	3459	2575	2454	3232	1938	3600	2207	3678	3245	2344	2972	2453	2775	2908	3024	2087	2697	2348	4045	10974	4878	3874	3372	4668	3644	4976	3723	3935	3864	2204	3980	4297	5239	4685	4083	4755	3107	3672	4711	4851	4308	6864	4180	3281	2960	4107	3040	3885	4881	3126	2321	2618	2869	3367	2184	3412	3632	2440	2894	2742	2518	3640	2895	3126	2187	3040	3011	2194	2730	3675	2110	2744	2097	2373	2776
6404	3029	3039	4724	3627	4134	2967	4032	3159	3483	3613	4539	3120	4136	6637	5730	5690	6335	6212	4885	8329	5361	5446	3547	4772	3018	4714	3753	2215	5491	3254	5290	3497	7484	2853	6226	4978	3889	5948	5879	3753	2762	7418	4114	4023	8119	6882	3203	5025	7372	6385	4660	5241	5424	3031	3624	4829	5815	3742	2311	2978	4697	3272	2909	3225	3495	3545	4581	2486	3131	4011	3790	3368	2373	2456	4109	4170	3149	2487	3601	3148	3247	3344	3980	4646	2844	3854	5256	4182	3646	3976	2623	4651	5201	3637	4659	4492	3138	5193	4503	4043	3077	2457	6625	2829	3000	2700	3221	2117	3889	2506	5186	5167	3474	3666	1947	5310	2831	3925	5554	4372	3028	2504	3292	3620	2468	4298	3458	4381	3356	2355	4047	4354	3099	2584	4316	4559	7947	3767	3493	2971	4508	3044	4077	4171	3990	3236	2612	3819	3511	3856	2636	2911	3522	2588	4616	4300	2907	3463	4100	2465	2950	2718	3030	2589	4452	2966	3128	3338	3126	4049	2778	2089	2878	2771	2904	3027	5183	3163	3485	3305	4184	4653	3233	2763	3127	4192	3629	2444	4270	3418	2879	4184	5830	7908	3423	5316	3979	4617	5165	2200	3513	3766	3393	5459	4316	4551	4425	5664	4648	4974	3971	5612	3789	3393	5235	4291	3563	3655	3331	5729	3229	4997	3622	5462	7039	2592	3168	3348	3505	3774	2363	4074	3306	2477	3473	3045	3171	4028	4139	2949	2703	2516	4339	11269	7166	4160	4372	4888	3991	5574	3800	4655	3890	2207	4875	4566	5474	5212	4883	5087	3654	3936	4793	5007	4790	6920	4303	3789	4794	4280	3213	4852	5009	3555	3142	3167	3589	3656	3520	3427	4776	3779	3437	2953	2875	3663	3280	3482	2955	3209	3359	2466	3590	4436	2188	2850	2201	2581	3487
7226	3514	3690	5005	3732	4227	3140	4553	3775	4522	3880	5946	3240	4242	6942	5746	9345	6646	6486	7007	8559	5646	5961	4576	5727	3868	5597	4760	2910	7333	3524	7595	6923	11746	5746	6247	6044	4019	6027	6661	4824	3659	8090	5183	6501	8130	9642	3221	5660	7442	6455	4916	8107	5674	3791	3746	5779	6001	4125	2770	3664	4870	3562	3342	3600	3633	3686	4766	3081	3293	4052	4054	3635	2632	2723	5181	4290	3207	2580	3624	3766	3257	4181	4135	5205	3849	4033	5766	4208	4333	4171	2731	4758	5776	4249	5613	4636	4008	5239	4868	4689	3084	3478	6800	3486	3275	3360	3623	2188	4227	3621	5359	5334	3660	4398	2756	6417	4517	4498	6029	4439	3732	2848	3931	3926	2708	4693	5066	4461	3472	2368	4157	5169	3378	2708	4639	4767	8177	5041	3787	3539	6021	3422	4648	4302	4447	3429	3388	4437	3542	4128	2978	3256	3556	3737	4653	4425	3225	3670	4183	3817	3291	2752	3478	2966	4678	2979	4141	3598	3921	4832	3302	2341	4357	2957	3087	3042	5238	3360	6090	3594	4677	4817	3533	3268	5036	4270	3856	3948	6456	5408	4029	5199	6123	7965	3795	5507	4147	4720	5524	3895	3602	4236	4001	7291	5107	5070	5000	6896	4777	5103	4337	6045	5614	3484	5470	4563	3910	3847	3566	7174	3458	5274	4580	6133	7748	3589	3487	4677	4105	4365	3291	4191	3585	2610	3622	3353	3433	4315	4324	3238	3974	3281	4499	12242	9112	4826	4561	6490	5130	6101	4030	4684	4134	2327	5280	5072	6212	5290	6940	5305	4110	4931	5989	5487	5204	7892	4332	5312	4870	4334	3248	4919	5433	3880	3517	4051	4145	4167	3638	3527	4801	4261	3678	2997	3135	3770	3302	3714	2976	3806	3516	2631	3758	4562	2317	3019	2324	2709	3547
7281	3953	3780	5241	3988	5479	3260	5385	3970	4617	4444	6284	3684	4487	7205	6162	10272	7316	7087	10774	8868	7469	6483	4710	5845	4468	5658	5049	3269	9319	3601	7689	7169	12430	6364	6397	6430	6649	6709	6747	4895	3993	8819	5333	7322	9622	11210	3563	5897	7851	6820	5412	8797	7234	4053	3818	5908	6534	4335	3165	4611	4874	5216	4210	3815	3638	4705	5207	3135	3546	4547	4329	5261	3914	3259	5435	4322	4715	2845	4918	4249	3349	4254	5059	5263	3876	4228	5923	4270	4360	4435	2759	4791	5864	4759	5622	4669	4827	5392	5125	4933	3176	3528	6919	3896	3598	3496	4023	3100	4450	3799	5360	5430	3737	4934	3161	6806	4684	4631	6394	5857	5090	3991	4137	6118	2954	4917	5299	4751	3805	2911	4631	5479	4668	3785	5129	4981	9545	5552	4521	3663	7111	3746	4770	4458	4701	3882	3586	4661	4378	4254	3147	4028	3784	4321	4681	5125	3898	4235	4392	3882	3847	2755	3655	2991	5556	3228	4256	3728	5176	5237	3982	2365	4708	3748	3147	3425	5606	3521	7598	3684	5006	5029	3850	3585	5172	4396	4121	4519	6543	5470	4077	5453	6522	8012	3842	5843	5815	4805	5883	4171	3973	4289	5223	9338	5265	5199	5549	7007	6595	6270	5430	6152	6139	4119	6035	4589	4197	4068	4258	8607	5180	6468	5542	6756	8437	4063	3998	4726	4819	5108	3400	4313	3661	2955	3672	3405	3692	5082	5301	3649	4843	3726	4848	0	9708	5791	4761	6685	10788	7118	4720	5058	4235	3995	5637	5784	6427	6310	8960	5654	4830	5263	6823	5623	7431	9020	4431	5627	5663	4362	3775	5206	6636	4076	4389	4315	4292	4866	3640	3634	4944	4369	4042	3005	3240	3850	3489	4082	2986	3982	3766	2736	4022	4672	3044	3305	2470	2781	3561
7342	4040	4151	5295	4465	5535	3916	5625	4045	4882	5459	6315	3980	5074	7845	6193	11385	10018	7370	11052	9256	8658	7307	5004	6138	4880	6344	6388	6495	10657	3793	9169	7400	13531	6365	6480	11227	7475	7120	6863	5986	4831	10380	5803	8713	10281	11294	3842	5999	7890	6884	5778	8893	7934	4365	4445	6270	7449	4457	3169	5846	4910	5425	4246	4232	3653	5140	5220	3333	4507	4875	5142	6540	4147	3552	6185	4358	5173	3686	4994	4507	3756	5478	5112	5433	5104	4299	6257	4455	4430	4575	3374	5335	6678	4920	6074	4810	5145	6142	6053	5581	3225	3543	7215	4185	3938	3629	4035	3405	4571	3874	5698	6094	3936	5683	3471	7239	5752	6427	7070	6040	6257	5178	4679	6471	4252	5693	6044	4908	4630	3076	4722	6530	5004	5573	5881	5003	9597	7674	6010	4253	7538	4518	5217	4508	5010	4431	4579	4789	4572	4385	3208	4866	3981	4959	5110	5261	4040	4405	4555	3899	4410	2837	4519	3147	5592	4040	4353	4126	5297	5590	4134	3043	5463	3900	4078	3531	6907	4273	8439	4761	5276	5690	4946	3987	5329	4498	4323	6117	7101	6131	4817	5740	6679	8168	4619	6001	6000	4876	6377	4454	5493	4809	5254	9721	5895	5566	5560	7581	6844	6920	5861	6846	9883	5278	7351	4777	4206	4363	6354	10373	5989	6502	6604	7509	9011	4927	4103	5218	5648	5660	3802	5795	4258	2968	4014	3545	4270	6403	5673	4847	5667	4578	5216	0	10043	6043	5142	8233	11840	10948	5908	6710	5063	4115	5800	5837	6566	9175	9098	7886	5074	5525	8328	6300	7488	9408	5228	7869	5943	5009	4462	7219	7037	4312	5505	4994	4375	5034	3660	4977	5333	5710	5104	4574	3652	4690	3739	4097	3207	4182	3949	2986	4039	4844	3159	3591	3019	3373	3848
7704	7153	4239	6466	4555	5714	4316	5865	6647	5075	5534	6769	4410	5900	8712	6851	13260	10215	9070	12218	10468	8740	8374	5255	6666	4964	7062	7199	7340	11689	4062	9740	9254	0	8982	7114	12062	7742	7292	6998	7630	5511	10532	7272	10420	10566	11377	4681	7068	8213	7793	6189	8955	8332	4505	4522	6979	8039	5343	3256	6055	5472	5576	4306	4365	3856	6344	5942	3625	4519	4978	6312	6980	4196	4559	7492	4632	5549	3979	5540	4652	4514	6032	5638	5582	6012	4871	6328	4943	5371	5096	3409	6433	6693	5459	6344	5049	5595	7440	6207	5982	3342	3785	7741	4310	4052	3760	4245	3770	4659	4211	6965	6146	4237	5792	3659	7803	5844	6857	7167	6247	6380	5251	5860	6539	4908	6161	6160	5002	4794	4611	5160	6629	6129	5610	7245	5015	9807	7720	6409	4418	7616	4739	5943	4718	5125	4689	4597	5445	4897	5390	3248	4880	4112	5517	5127	5524	5031	4431	4706	4769	4697	3008	4865	4826	5713	4361	5219	4689	5452	5656	4914	4680	5580	4067	4628	4260	7039	4494	8564	5371	6935	5956	5190	5196	5367	5192	5058	6350	7361	6516	5598	6716	6799	8456	4914	6534	6117	5039	6545	4617	6745	5010	5370	9753	7391	5764	6921	7587	7014	7442	6560	6980	10144	6570	7975	5229	5173	5868	8356	10525	6722	9239	8800	7556	10941	5330	5489	6476	5841	5972	3912	6495	4299	4558	4161	5856	4325	7111	5849	6017	7828	5740	5507	0	10318	7968	8214	8317	11938	0	8669	7168	5123	4463	9174	9626	7560	10465	9522	9670	5111	5921	8796	7348	7872	10691	5931	12063	5999	5190	7212	7290	7299	4924	5692	5429	5354	5153	3932	5512	7234	6570	6311	4629	3824	5345	3943	4109	3239	4430	4184	3036	4628	5189	3307	3731	3211	3411	4436
8761	7193	5737	6845	4747	5763	5139	6275	6798	5314	6018	6839	4832	6179	8770	7576	13636	10256	9438	13232	11493	9155	8985	5597	8644	5447	7384	7674	9286	11863	4266	13622	0	0	10006	7434	12365	7808	9068	7154	7952	6300	10769	8089	10468	10973	12497	4801	7974	9659	9576	7072	9016	9820	4649	6252	7690	9000	5603	3303	6219	6478	5994	4318	4945	4012	6575	5966	4553	4838	5255	6325	7494	4549	4742	7611	4661	5680	4158	5892	4740	5283	6327	6322	6395	6023	5101	7665	4976	5674	5287	4014	6651	6733	5551	6763	5067	5897	7762	6535	6235	4012	4100	8398	4337	4570	4437	4498	3810	4790	4690	7604	6246	4453	7884	3690	8518	6295	7183	7406	6312	6613	6668	5986	6903	5055	6582	6959	5987	6306	4645	5855	6675	6736	6266	7979	5627	9930	7863	6481	4749	9359	5014	6304	4865	5138	4703	4622	5488	5206	5541	3249	5360	4159	5521	5423	5800	5196	4440	5226	5052	4955	3305	5121	4933	5908	5025	5558	4785	5465	5893	6069	5626	5851	4438	5460	5370	7089	4847	8628	5681	7215	6622	5295	5363	5695	5991	5417	6653	7546	6573	7056	6778	7212	9195	7295	6872	6971	5065	6852	4949	6959	5105	6049	10559	7607	5840	7475	7860	7065	8581	7227	7333	12323	6914	8990	5651	7670	7656	9774	10678	7926	10785	9262	7841	11456	5825	5657	6700	6436	6507	3938	6925	4443	4804	4244	6455	5385	7874	5953	9032	8334	6200	6204	0	10591	8273	8845	9949	12180	0	8776	7954	6807	5499	9252	11156	7731	11304	9614	10260	6056	6154	8800	8506	9089	12760	6326	13746	6192	5767	7709	8286	8015	5021	6070	6516	5604	5913	4327	5967	7905	7641	6336	4770	3998	6861	3999	4452	3349	6073	4230	3812	4757	5652	3585	3850	3265	3640	4487
11472	7667	6074	7410	5124	6101	5612	6507	6950	5550	6460	6943	4836	6418	10299	8919	14228	11097	10009	13588	13186	10391	9310	6073	8855	6427	10065	7859	13702	14041	4438	0	0	0	10719	7808	12766	7837	10921	9384	9572	6848	11529	12388	11809	10978	0	5567	8631	9748	9700	8617	9060	10241	5323	8105	7927	9260	5695	4064	6313	6652	6445	5231	4947	4581	7541	6176	5487	5659	5369	7094	7812	4669	5856	8921	4901	6934	5628	6689	4821	5483	6386	7092	6731	6531	5325	7872	5543	5974	6088	4998	6664	7121	5709	7133	5653	6867	9586	7170	6606	4105	4142	8816	4554	4574	4722	4613	4021	4929	5085	8341	6617	4529	8026	4392	8771	7074	7365	7719	7055	7141	6918	7060	6942	5809	7002	7205	6502	6711	4677	5966	6951	6799	6834	9040	6037	10392	7989	6615	4873	9697	5263	7214	4942	5837	5346	4760	5580	5479	6420	3523	5940	4187	6527	5919	6212	5219	4828	5333	5262	5268	3368	5508	4950	6060	5269	5756	5155	5899	6392	6108	5706	6532	4451	5832	5788	7318	5492	9359	6648	7350	6814	5662	5966	5772	6700	7007	6851	7667	6738	7662	7094	7412	9619	7471	6896	7801	5475	6990	6688	7012	6792	6916	12825	10028	6097	7708	7877	8724	9480	7246	8936	12338	7907	9030	5744	7713	7974	10688	10757	7934	10859	12941	8492	11987	6116	6164	7068	6834	8104	3942	7205	4777	4994	4398	7711	5739	7897	6645	9623	12097	6901	6715	0	10799	9329	9969	10640	12311	0	9665	8088	7379	6017	9324	11233	10484	0	10637	10705	6209	7858	9201	8627	9888	12966	9280	0	6514	6609	7987	9099	8369	5125	6227	7668	6226	6081	4770	6165	8255	9860	6413	4872	4459	7102	4324	4543	3364	6587	4250	4876	4820	6531	3989	4901	3391	3999	4870
11682	7821	6451	7578	5279	6465	5704	8774	7079	6707	7566	7722	5466	6533	10795	9242	14259	11618	10518	0	13347	11838	11623	6739	11703	6824	10959	8892	0	0	5345	0	0	0	10819	9700	0	8440	12064	9492	9855	7246	11683	13998	12048	11401	0	6077	9481	10042	9859	8819	9083	10655	5618	8637	8728	9419	5923	4122	6650	6848	6912	5330	5341	5462	8558	6641	5996	5757	5455	7223	8043	4741	6193	8964	5353	7832	7187	6889	5087	5486	7413	8219	6848	6563	5335	8122	5767	5979	6104	5093	7318	7339	6317	7230	5720	6964	9765	8117	6762	4263	4590	8908	5324	5085	4892	6637	4109	5521	5303	8427	7206	4599	8554	5521	8905	7329	12106	7871	7322	7285	6978	7272	7688	7170	7194	7270	7855	6723	5590	6193	7388	8638	7199	10294	6703	11359	8156	7372	4955	9803	6966	7610	5515	6467	5601	4794	6796	6104	6672	3560	6103	4760	6552	6209	6267	5370	5194	5382	5322	5312	3793	5727	5274	6114	5664	6179	6363	6071	8354	6259	6319	7249	4829	6420	5832	7396	5810	9962	6836	7527	7031	6142	7200	5903	6998	7191	6870	8058	6750	8415	7546	7434	9813	8173	7004	7839	5618	9290	7855	7380	7991	8544	13205	10726	6744	7960	8320	9101	10656	8188	9080	12496	8025	9095	6171	8149	8875	13022	11251	7967	12390	13126	8596	12982	6602	6398	7134	7141	8378	4023	7261	4979	5066	4535	7836	5911	9469	7247	10037	12238	7223	7404	0	10815	13197	10021	14101	13034	0	10057	8839	8305	6441	9427	13908	10675	0	10873	11052	8312	9156	9294	9257	10708	14534	9375	0	6526	6779	8506	9152	8755	5240	7180	8544	8001	6237	5582	7201	8535	9897	7072	6206	4641	7128	5463	5020	3394	7253	4558	5291	5833	6573	4200	4960	3647	4677	5035
