Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	13	58	0	44	0	120	0.734300740994513	0	0	0
2	0	97	127	1	53	0	120	0.590028164995601	0	0	0
3	1	130	13	1	61	0	120	0.492823702006717	1	0	0
4	0	67	44	1	58	0	122	0.599045949013089	1	0	0
5	0	26	128	0	56	0	122	0.572383853999781	1	0	0
6	0	44	12	1	53	0	120	0.698450113006402	0	0	0
7	0	93	56	1	60	0	120	0.506966262997594	0	0	0
8	1	7	40	1	67	0	120	0.64309929398587	1	0	0
9	0	90	43	0	65	0	122	0.454269413006841	1	0	0
10	0	23	149	1	63	0	122	0.585166057004244	1	0	0
11	0	85	118	1	61	0	122	0.51028353899892	1	0	0
12	1	35	40	0	59	0	122	0.550339631998213	0	0	0
13	0	125	35	0	65	0	120	0.588975798003958	0	0	0
14	0	24	27	0	71	0	122	0.481568872011849	1	0	0
15	1	133	75	0	69	0	120	0.556671853002626	1	0	0
16	0	18	89	0	67	0	120	0.843385685991962	0	0	0
17	0	46	3	1	72	0	122	0.639039900997886	1	0	0
18	1	36	141	1	71	0	120	0.641051229002187	1	0	0
19	0	12	17	1	69	0	122	0.724749467990478	1	0	0
20	0	53	2	0	67	0	122	0.515850580995902	1	0	0
21	0	41	127	0	65	0	122	0.66012514999602	1	0	0
22	0	146	45	1	63	0	120	0.622465894994093	0	0	0
23	0	91	119	1	69	0	122	0.61030410300009	1	0	0
24	1	138	21	1	67	0	120	0.590857239993056	1	0	0
25	0	55	139	0	65	0	122	0.86021210400213	1	0	0
26	0	8	126	0	64	0	120	0.70989590199315	0	0	0
27	0	100	47	1	69	0	120	1.02281925099669	0	0	0
28	0	89	143	0	74	0	122	0.442722677995334	1	0	0
29	0	56	70	0	72	0	120	0.733618009995553	0	0	0
30	0	66	65	0	77	0	122	0.836557653005002	1	0	0
31	1	109	144	1	75	0	122	0.575108083998202	0	0	0
32	0	26	37	1	80	0	122	0.573767620997387	1	0	0
33	1	78	80	1	78	0	120	0.66810727500706	1	0	0
34	1	95	141	0	77	0	120	0.781429965005373	1	0	0
35	0	134	67	0	75	0	122	0.843155906011816	1	0	0
36	0	29	102	1	74	0	122	1.07856975299364	1	0	0
37	0	19	51	1	73	0	122	0.599925006987178	1	0	0
38	0	117	38	1	71	0	120	0.660891475999961	0	0	0
39	1	87	144	1	75	0	120	0.654890748002799	1	0	0
40	0	68	57	1	74	0	122	0.561801734991604	1	0	0
41	0	67	40	0	73	0	122	0.656107949005673	1	0	0
42	0	132	36	1	71	0	122	0.889658592001069	1	0	0
43	1	88	146	1	70	0	122	0.563260046998039	0	0	0
44	1	91	33	1	74	0	122	0.585573988995748	0	0	0
45	1	131	32	0	78	0	120	1.11874698000611	1	0	0
46	1	112	86	1	77	0	120	1.04669868201017	1	0	0
47	1	33	58	0	75	0	120	0.625678388008964	1	0	0
48	0	114	133	0	74	0	122	0.63656326700584	1	0	0
49	0	103	106	1	73	0	122	0.592488655995112	1	0	0
50	0	128	34	1	72	0	122	0.621068100997945	1	0	0
51	1	17	81	1	70	0	120	0.672931558990967	1	0	0
52	1	1	142	1	69	0	120	0.522223849009606	1	0	0
53	1	33	52	1	68	0	120	0.56225782900583	1	0	0
54	1	140	95	1	67	0	120	0.53675952499907	1	0	0
55	1	114	12	0	66	0	120	0.615531071991427	1	0	0
56	1	57	80	0	65	0	120	0.627603586995974	1	0	0
57	1	73	122	1	63	0	120	0.559733945003245	1	0	0
58	1	15	30	1	62	0	120	0.654199891985627	1	0	0
59	1	101	37	1	61	0	120	0.721455703998799	1	0	0
60	0	150	35	1	60	0	122	0.799275213998044	1	0	0
61	0	143	87	0	59	0	122	0.942182165992563	1	0	0
62	1	62	113	1	58	0	120	0.892387079991749	1	0	0
63	0	103	107	0	57	0	120	1.34160238600452	0	0	0
64	0	80	49	0	60	0	122	0.548680077990866	1	0	0
65	0	87	35	1	59	0	122	1.01885162100371	1	0	0
66	0	77	126	0	58	0	122	0.607273877991247	1	0	0
67	0	64	141	0	57	0	120	0.826735427006497	0	0	0
68	1	30	143	0	60	0	120	0.973955694993492	1	0	0
69	1	122	85	1	59	0	120	0.636410637001973	1	0	0
70	0	45	42	0	58	0	122	0.92681877000723	1	0	0
71	1	2	4	0	57	0	120	0.630856720992597	1	0	0
72	1	10	142	1	56	0	120	0.746260287007317	1	0	0
73	0	149	18	1	55	0	122	0.601405205001356	1	0	0
74	0	22	32	1	54	0	122	0.981910793998395	1	0	0
75	0	21	88	1	53	0	122	0.810972275998211	1	0	0
76	0	51	66	0	52	0	122	0.647995755003649	1	0	0
77	0	87	11	1	51	0	122	0.834803584992187	1	0	0
78	0	87	59	0	50	0	120	0.910538830008591	0	0	0
79	1	69	26	1	53	0	120	0.629831241996726	1	0	0
80	1	138	12	1	52	0	120	0.730494850009563	1	0	0
81	1	47	83	0	51	0	120	0.69785706399125	1	0	0
82	1	142	61	1	50	0	120	0.619016272001318	1	0	0
83	0	112	73	1	50	0	122	0.861883573990781	1	0	0
84	1	114	25	1	49	0	120	0.584735226992052	1	0	0
85	1	103	112	0	48	0	120	0.478789345012046	1	0	0
86	0	22	108	1	47	0	122	0.615422008006135	1	0	0
87	1	66	138	1	46	0	122	0.636556601006305	0	0	0
88	0	84	68	1	49	0	122	0.704263443010859	1	0	0
89	0	141	57	0	48	0	122	1.05662196601043	1	0	0
90	1	127	81	0	47	0	120	0.77110374699987	1	0	0
91	0	73	133	1	46	0	120	0.744637390991556	0	0	0
