Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	52	103	1	40	0	120	2.76518053503241	1	0	0
2	0	27	1	1	37	0	122	2.17798231099732	0	0	0
3	1	104	53	0	45	0	122	1.67072873690631	1	0	0
4	0	42	2	0	43	0	120	1.24265002203174	1	0	0
5	1	125	119	1	41	0	122	1.80611126299482	1	0	0
6	0	3	113	0	39	0	120	2.5138091170229	1	0	0
7	0	27	97	0	36	0	122	1.21802040108014	0	0	0
8	0	48	41	1	43	0	122	0.878426822950132	0	0	0
9	0	7	48	1	50	0	120	0.783796363975853	1	0	0
10	0	115	70	0	48	0	120	0.98830669594463	1	0	0
11	0	39	95	1	46	0	122	0.937799272942357	0	0	0
12	1	127	75	1	52	0	122	1.01701693295036	1	0	0
13	0	13	89	0	50	0	120	0.813024114002474	1	0	0
14	1	112	47	0	48	0	122	1.5933137559332	1	0	0
15	1	121	63	1	46	0	122	0.877213662024587	1	0	0
16	0	119	50	1	44	0	122	0.687387673999183	0	0	0
17	0	34	53	0	50	0	120	0.577214717981406	1	0	0
18	0	150	20	0	48	0	120	1.03858204896096	1	0	0
19	0	50	43	0	46	0	120	0.961989638977684	1	0	0
20	0	78	60	0	45	0	122	1.27152440301143	0	0	0
21	1	94	140	0	50	0	120	1.05705162603408	0	0	0
22	0	99	45	1	55	0	120	1.03650433500297	1	0	0
23	0	101	82	0	53	0	122	0.88693359203171	0	0	0
24	0	25	74	1	58	0	120	0.736701440997422	1	0	0
25	1	108	100	1	57	0	122	1.03965153708123	1	0	0
26	1	74	18	0	55	0	122	0.706778836902231	1	0	0
27	0	40	110	1	54	0	120	0.907079149968922	1	0	0
28	0	24	131	0	52	0	120	1.0995794639457	1	0	0
29	0	5	52	0	51	0	120	1.18704472703394	1	0	0
30	1	17	115	1	49	0	122	0.793016065028496	1	0	0
31	1	35	47	1	48	0	120	0.83068861591164	0	0	0
32	1	23	127	1	52	0	120	0.742385295918211	0	0	0
33	1	140	39	1	56	0	120	0.929596294066869	0	0	0
34	1	71	97	1	60	0	122	0.929393606958911	1	0	0
35	1	129	81	1	59	0	122	0.680205921991728	1	0	0
36	0	34	3	1	58	0	120	0.914286591927521	1	0	0
37	0	125	45	0	56	0	120	0.713502387981862	1	0	0
38	1	76	93	1	55	0	122	0.562191335018724	1	0	0
39	1	101	5	1	54	0	122	1.04959015094209	1	0	0
40	0	14	87	1	52	0	122	0.596057467977516	0	0	0
41	0	63	150	0	56	0	120	0.744654726004228	1	0	0
42	1	72	38	0	55	0	120	0.615848895045929	0	0	0
43	1	112	19	1	59	0	120	1.02009030699264	0	0	0
44	0	1	36	0	63	0	120	1.00035665906034	1	0	0
45	0	113	31	1	61	0	120	1.06907746207435	1	0	0
46	0	134	51	0	60	0	122	0.654763768077828	0	0	0
47	1	143	33	0	64	0	122	0.857178826001473	1	0	0
48	0	124	34	1	62	0	120	1.23568967706524	1	0	0
49	0	74	80	1	61	0	120	0.694602745003067	1	0	0
50	1	7	147	0	60	0	122	1.3598136859946	1	0	0
51	1	53	119	0	59	0	122	1.06943751801737	1	0	0
52	1	70	49	0	58	0	122	0.776314454036765	1	0	0
53	1	37	98	1	57	0	120	1.42182534292806	0	0	0
54	0	114	138	0	60	0	122	0.921227946993895	0	0	0
55	0	43	135	1	63	0	120	0.888735149987042	1	0	0
56	0	86	142	1	62	0	120	0.730301567004062	1	0	0
57	0	142	57	1	61	0	120	0.496761246933602	1	0	0
58	0	77	103	1	60	0	120	1.13843254500534	1	0	0
59	1	57	146	1	59	0	122	1.04087011096999	1	0	0
60	1	10	130	1	58	0	122	1.2202594060218	1	0	0
61	0	18	27	1	57	0	122	1.27193190401886	0	0	0
62	1	122	9	1	60	0	122	0.737661545048468	1	0	0
63	0	43	142	0	59	0	120	0.552931386046112	1	0	0
64	0	64	141	1	58	0	120	0.655983070959337	1	0	0
65	0	30	31	0	57	0	120	0.521588361007161	1	0	0
66	1	58	120	0	56	0	120	0.84909194696229	0	0	0
67	0	42	110	1	59	0	120	0.916068949969485	1	0	0
68	1	115	4	1	58	0	120	1.34809880307876	0	0	0
69	1	21	127	1	61	0	122	0.795602934085764	1	0	0
70	1	30	89	1	60	0	122	0.92838561499957	1	0	0
71	1	71	55	0	59	0	122	1.17581781896297	1	0	0
