Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	132	79	1	40	0	120	15.0134989980143	1	0	0
2	0	73	48	1	37	0	122	2.05937276000623	1	0	0
3	0	38	7	1	35	0	122	1.23003585496917	1	0	0
4	0	43	63	0	32	0	122	1.52939767198404	1	0	0
5	1	39	48	1	30	0	122	0.801184009993449	0	0	0
6	1	102	18	0	37	0	120	1.18996443698416	1	0	0
7	0	62	98	1	35	0	122	2.73833675403148	1	0	0
8	0	3	61	1	33	0	122	1.04042551701423	1	0	0
9	0	13	9	0	31	0	122	0.796262386022136	1	0	0
10	0	83	18	1	28	0	120	3.03232733398909	0	0	0
11	0	96	113	0	35	0	122	1.11446283897385	1	0	0
12	0	121	76	0	33	0	122	1.09114365500864	1	0	0
13	1	78	43	0	31	0	122	1.06002631701995	0	0	0
14	0	121	33	0	37	0	122	3.43790082901251	1	0	0
15	1	97	126	0	35	0	120	0.896774478023872	1	0	0
16	0	19	77	1	33	0	122	4.45641065697419	1	0	0
17	1	39	32	1	31	0	120	1.71545702102594	1	0	0
18	1	75	103	1	29	0	120	0.95512071903795	1	0	0
19	1	105	121	0	27	0	122	2.37746948096901	0	0	0
20	1	132	130	1	33	0	120	1.52630242303712	1	0	0
21	1	106	35	0	31	0	120	1.44665518600959	1	0	0
22	1	126	125	0	30	0	120	5.79289796203375	1	0	0
23	0	126	85	0	28	0	122	1.02169724501437	1	0	0
24	0	87	95	0	26	0	120	2.40141350502381	0	0	0
25	1	82	124	0	31	0	120	5.55702778301202	1	0	0
26	1	10	69	1	30	0	120	1.47531122498913	1	0	0
27	0	37	38	0	28	0	120	2.18132234102814	0	0	0
28	0	114	7	0	33	0	120	1.54275868600234	0	0	0
29	0	15	113	0	38	0	122	1.06420779402833	1	0	0
30	1	28	107	1	37	0	120	1.55364841298433	1	0	0
31	0	57	28	0	35	0	122	0.831947416008916	1	0	0
32	1	29	134	1	33	0	122	3.6992434579879	0	0	0
33	1	75	13	0	38	0	122	0.867334084992763	0	0	0
34	1	15	1	1	43	0	122	0.87565318599809	0	0	0
35	0	150	76	1	47	0	122	1.20692494604737	1	0	0
36	0	95	125	0	46	0	122	0.626934919971973	1	0	0
37	0	111	114	1	44	0	122	0.900865092000458	1	0	0
38	0	42	107	0	43	0	120	0.957990486989729	0	0	0
39	0	69	49	1	47	0	120	3.22791859699646	0	0	0
40	1	106	134	1	51	0	120	1.399174080987	1	0	0
41	1	62	85	1	50	0	120	1.01983432599809	1	0	0
42	1	110	118	0	48	0	120	0.951969531015493	1	0	0
43	0	63	96	1	47	0	120	1.20444356295047	0	0	0
44	0	84	55	0	51	0	122	1.44241805601632	1	0	0
45	1	101	54	0	50	0	122	0.892753827036358	0	0	0
46	0	55	47	0	54	0	122	0.718545599025674	1	0	0
47	1	56	98	1	52	0	122	1.01283165696077	0	0	0
48	1	150	91	0	56	0	120	1.06515476398636	1	0	0
49	0	20	128	0	55	0	122	1.1471357679693	1	0	0
50	1	107	129	1	54	0	120	1.28223761299159	1	0	0
51	0	85	45	1	52	0	122	0.995795488997828	1	0	0
52	0	24	2	0	51	0	120	1.48020483698929	0	0	0
53	0	47	20	0	55	0	122	1.45776320196455	1	0	0
54	1	51	131	0	54	0	120	2.15550922101829	1	0	0
55	1	140	86	1	53	0	120	1.08108042698586	1	0	0
56	0	84	114	0	51	0	122	3.0110239009955	1	0	0
57	0	101	150	1	50	0	120	2.35068072302965	0	0	0
58	1	125	15	1	54	0	120	1.04564574902179	1	0	0
59	1	34	23	1	53	0	122	0.863954281958286	0	0	0
60	1	71	126	0	56	0	120	0.88961453398224	1	0	0
61	0	11	115	1	55	0	122	0.83464333001757	1	0	0
62	0	114	15	0	54	0	120	2.8702391369734	0	0	0
63	0	20	131	0	57	0	120	2.69531439500861	0	0	0
64	0	44	70	1	60	0	120	1.54408409103053	0	0	0
65	0	134	94	1	63	0	120	1.45440417400096	0	0	0
66	0	2	72	0	67	0	122	1.68064763699658	1	0	0
67	1	5	87	1	66	0	120	0.930333015043288	1	0	0
68	0	32	95	1	65	0	120	2.04902537900489	0	0	0
69	0	85	145	0	68	0	122	0.851098109968007	1	0	0
70	1	127	44	0	67	0	120	1.54984132299433	1	0	0
71	1	39	150	0	66	0	120	3.03508800303098	1	0	0
72	0	89	50	1	65	0	122	1.846756441053	1	0	0
73	0	115	143	1	64	0	122	5.5367047250038	1	0	0
74	1	43	74	0	63	0	120	1.30332140100654	1	0	0
75	1	102	99	0	62	0	120	0.543020091019571	1	0	0
76	0	51	118	1	61	0	122	0.646476494031958	1	0	0
77	0	60	104	1	60	0	122	1.15271435899194	1	0	0
78	0	21	126	1	59	0	120	1.16617862001294	0	0	0
79	0	78	150	1	61	0	122	1.1888249689946	1	0	0
80	1	105	95	1	60	0	120	1.46602213400183	1	0	0
81	1	111	28	1	60	0	120	17.0186151230009	1	0	0
82	1	139	124	1	59	0	122	5.15903024200816	0	0	0
83	0	98	69	0	61	0	120	8.04514241899597	0	0	0
84	1	130	128	0	64	0	120	1.37492998800008	1	0	0
85	1	122	119	1	63	0	122	1.06054018804571	0	0	0
86	1	37	18	1	66	0	120	1.11780685302801	1	0	0
87	1	47	36	0	65	0	120	0.989738900039811	1	0	0
88	1	21	91	1	64	0	120	0.843311921984423	1	0	0
89	0	134	102	1	63	0	122	2.29347481997684	1	0	0
90	1	6	45	0	62	0	120	1.04683043301338	1	0	0
91	0	58	48	1	62	0	122	0.985282726003788	1	0	0
92	1	112	37	1	61	0	120	1.48609810700873	1	0	0
93	0	98	94	1	60	0	122	3.63907866895897	1	0	0
94	0	109	4	1	59	0	122	0.785450971045066	1	0	0
95	0	72	66	0	58	0	122	0.767087495012674	1	0	0
96	1	127	131	0	57	0	120	2.26804387400625	1	0	0
97	0	128	15	0	57	0	122	2.65431337297196	1	0	0
98	0	89	29	0	56	0	122	0.768498277990147	1	0	0
99	1	91	80	1	55	0	120	0.861729204014409	1	0	0
100	0	121	101	0	54	0	122	1.17500684800325	1	0	0
101	0	84	38	0	53	0	122	2.77976479701465	1	0	0
102	1	14	97	1	50	0	120	1.17759091500193	1	0	0
103	1	147	71	0	48	0	122	4.30926761601586	0	0	0
104	0	28	93	1	56	0	122	2.79833600204438	1	0	0
105	0	89	87	1	53	0	122	1.11300594900968	1	0	0
106	0	18	114	0	51	0	120	4.55429600394564	0	0	0
107	0	66	100	0	58	0	122	1.33650146098807	1	0	0
108	0	144	49	0	56	0	122	1.00797205598792	1	0	0
109	1	6	78	0	54	0	120	0.787103964015841	1	0	0
110	1	8	109	0	52	0	120	3.30539757199585	1	0	0
111	0	143	75	1	50	0	122	1.08149024704471	1	0	0
112	0	71	103	1	48	0	120	5.61001310398569	0	0	0
113	1	75	5	0	54	0	120	0.926477635046467	1	0	0
114	1	149	7	0	52	0	122	4.25422757398337	0	0	0
115	0	12	13	0	58	0	122	1.83220704802079	1	0	0
116	1	147	149	1	56	0	120	1.02689395903144	1	0	0
117	1	107	147	0	54	0	120	0.894317661994137	1	0	0
118	1	16	64	0	52	0	120	1.12724536302267	1	0	0
119	0	149	137	0	51	0	120	1.18246999400435	0	0	0
120	1	34	136	0	56	0	120	3.79490540997358	1	0	0
121	0	91	44	1	54	0	120	2.38354995899135	0	0	0
122	0	21	8	0	60	0	122	0.772547995031346	1	0	0
123	0	94	107	0	58	0	122	3.5535922999843	1	0	0
124	1	41	78	0	56	0	120	1.68699398904573	1	0	0
125	1	131	115	1	55	0	120	2.04087941901525	1	0	0
126	1	14	136	0	53	0	120	1.14009651495144	1	0	0
127	0	3	144	0	51	0	122	0.907114528992679	1	0	0
128	0	137	58	0	50	0	122	0.907269457995426	1	0	0
129	0	118	15	1	48	0	122	1.9317588720005	1	0	0
130	1	22	7	1	47	0	120	0.771271720004734	1	0	0
131	1	138	3	1	45	0	120	0.687763096007984	1	0	0
132	0	120	89	0	44	0	122	2.63231252500555	1	0	0
133	1	144	96	0	42	0	120	0.962806086987257	1	0	0
134	1	97	74	1	41	0	120	1.40964760194765	1	0	0
135	1	78	42	1	40	0	120	0.749449280032422	1	0	0
136	1	47	86	0	38	0	120	1.85983969201334	1	0	0
137	0	79	112	0	37	0	122	1.07759375398746	1	0	0
138	1	69	72	0	35	0	120	1.71924709499581	1	0	0
139	1	80	26	0	34	0	120	0.725896265008487	1	0	0
140	0	61	73	0	33	0	120	1.49343219801085	0	0	0
141	0	150	5	0	37	0	122	1.59026496001752	1	0	0
142	1	11	82	1	35	0	122	0.938995074015111	0	0	0
143	0	34	44	0	39	0	120	11.9379958469654	0	0	0
144	0	120	27	0	43	0	122	1.66513931500958	1	0	0
145	0	84	49	0	42	0	122	1.24225906998618	1	0	0
146	1	110	110	0	41	0	120	0.940824642020743	1	0	0
147	0	56	96	1	39	0	120	2.98921054898528	0	0	0
148	1	107	87	0	43	0	120	1.07375504198717	1	0	0
149	0	73	100	0	42	0	120	2.60276866302593	0	0	0
150	1	104	96	1	46	0	120	1.39964843902271	1	0	0
151	0	75	107	1	44	0	122	0.75643798103556	1	0	0
152	0	84	139	0	43	0	122	1.40154059999622	1	0	0
153	0	121	57	0	42	0	122	1.79799279797589	1	0	0
154	0	16	21	0	41	0	122	0.921126334986184	1	0	0
155	1	49	16	1	40	0	120	2.38623647199711	1	0	0
156	0	74	33	1	39	0	122	7.27146845898824	1	0	0
157	0	57	47	0	37	0	122	9.13704235502519	1	0	0
158	1	2	88	1	36	0	120	1.65433162200497	1	0	0
159	0	122	104	0	35	0	120	3.65736083302181	0	0	0
160	1	131	115	1	39	0	120	4.58063628501259	1	0	0
161	0	149	67	0	37	0	120	1.1695931070135	0	0	0
162	1	75	60	0	41	0	120	3.22372768295463	1	0	0
163	0	92	123	1	40	0	120	3.52300720801577	0	0	0
164	0	26	101	0	43	0	122	1.99404158798279	1	0	0
165	1	21	112	0	42	0	120	1.06245616200613	1	0	0
166	1	47	2	0	41	0	120	0.752990089007653	1	0	0
167	1	19	130	1	40	0	120	0.655400283983909	1	0	0
168	1	111	24	0	39	0	120	1.11337001400534	1	0	0
169	1	47	57	1	38	0	120	1.15297190099955	1	0	0
170	1	84	71	0	37	0	120	0.704202634980902	1	0	0
171	1	86	51	1	36	0	120	1.08840259397402	1	0	0
172	0	50	57	1	35	0	122	1.00945275201229	1	0	0
173	1	150	123	1	34	0	120	2.97294877900276	1	0	0
174	1	112	133	0	33	0	120	0.609938300971407	1	0	0
175	1	69	34	0	32	0	120	0.647112327045761	1	0	0
176	0	147	131	0	31	0	122	1.64878036204027	1	0	0
177	0	61	64	0	30	0	122	0.986718408006709	1	0	0
178	0	9	45	0	29	0	122	1.17603608500212	1	0	0
179	0	50	6	0	29	0	122	1.00557075400138	1	0	0
180	0	37	84	0	28	0	122	1.32991865399526	1	0	0
181	0	26	30	0	27	0	120	1.61729019199265	0	0	0
182	1	39	23	0	29	0	120	1.66119773301762	1	0	0
