Subject	PreInduction1	PreInduction2	PreInduction3	Induction1	Induction2	Induction3	Induction4	Induction5	PostInduction1	PostInduction2	PostInduction3
1	207279	211860	208961	209449	213437	215764	206184	206644	209578	209831	207244
2	208728	212368	212172	212067	208466	208653	209439	211346	209882	207853	210051
3	208526	210199	213525	208254	209642	211409	207870	210080	213360	206551	207974
4	214564	212250	215056	211185	207142	208249	212380	211538	214321	210953	212663
5	207636	212780	212044	212868	213529	208734	210532	207937	212426	211314	211940
6	210561	213148	213839	211288	209744	214115	216592	211289	213990	211643	214723
7	209299	211386	207432	210154	207514	209207	214743	211782	212853	209070	207750
8	210600	212240	211534	211254	206076	208670	207652	213456	212807	212188	214976
9	207225	209777	212935	212324	210204	211829	209988	209899	212721	213026	208618
10	216287	207701	210427	210588	207585	208458	211663	210513	211848	212001	209741
11	212702	207799	208556	213400	215259	211114	209329	211981	212337	215054	209658
12	213467	212177	211976	210699	212140	212233	214567	216000	206721	208409	209666
13	217061	209142	213752	214118	214277	216977	208980	211360	213812	208842	213500
14	213936	211335	216416	214665	210150	207699	213730	210662	211837	213017	215786
15	214530	205375	210514	208082	211075	211096	210539	209576	210474	207339	208995
16	211769	211323	214288	208869	210030	211487	212748	213471	205411	206647	206129
17	214173	209793	209886	213096	214949	208650	210335	214756	215664	210456	212461
18	210100	210373	213103	210313	216109	207116	211402	211575	210790	212863	211237
19	210383	210852	207939	206174	212570	209680	210571	213420	213372	211011	212572
20	210101	208034	210585	209849	209201	213634	210828	215111	207833	208452	207652
21	208156	208511	208741	208767	212780	213641	214629	213075	211425	210048	208033
22	211607	213276	208984	205238	208031	211309	210134	212013	213852	213077	213527
23	205585	208095	208668	209612	211944	211655	205734	209525	210848	212729	211063
24	209568	210597	208940	211538	209635	207854	209124	210263	207911	210078	213094
25	209364	209825	211359	207731	211046	210070	209867	210858	208275	209708	213183
26	205972	205473	206760	206600	208106	207506	208032	207516	207260	211252	213920
27	210945	210733	211545	212346	214304	216477	212937	215739	213364	212315	215795
28	209062	212973	213519	211413	211150	211540	211305	208336	212707	213661	212606
29	209265	209478	211993	215664	207474	208642	212774	212815	214597	215779	211700
30	212072	210089	210531	213922	209573	212796	212605	212235	211790	212672	211529
31	213655	207625	211828	210704	212163	211922	212618	210804	211267	214794	215349
32	211878	212490	211093	215302	215533	209034	209970	212077	212396	211107	214371
33	207793	208870	210025	212645	214204	210254	214449	211153	207791	209497	210850
34	209328	210685	208226	212793	211083	211072	212171	208119	210366	206599	208935
35	209106	211060	213467	208681	212911	209164	207753	209379	212191	207803	210175
36	212297	210630	214607	208401	209997	207872	207684	210409	214862	209415	208222
37	209945	211747	209876	212580	209907	210069	207570	213212	208410	211312	212526
38	208754	210570	212639	207702	209563	209453	212636	210423	210932	212786	209486
39	208157	208282	209968	212523	209685	206341	208427	209923	213114	208531	207602
40	210347	209785	208945	213111	210018	207826	212039	213113	213316	209712	210561
41	206973	206141	206742	209761	209699	210813	210710	211901	210585	210600	206455
42	209895	206962	211290	209520	209155	209547	213741	213142	212051	207407	209350
43	204682	209418	209322	209128	209317	213623	211665	209512	209473	205172	209059
44	212441	206216	208388	206557	206972	211654	211756	211090	209449	214003	215043
45	211893	208752	212024	209369	215210	215281	215227	208223	209384	208215	210001
46	206327	210036	208923	207374	212477	208890	209147	214941	207353	205959	206631
47	209733	211004	211532	212945	213235	215758	215080	207093	207672	209117	210069
48	210032	212691	212216	209400	212503	212045	210446	207517	212167	211436	213138
49	210059	212031	211916	209758	215456	208481	209126	211883	213037	215725	207797
50	207647	212473	207726	210599	210962	215110	210786	208073	212990	212283	214682
51	211843	208383	211919	211670	210455	213206	208990	209551	208163	213357	212406
52	214518	210173	211354	211683	213585	213999	212043	214323	216413	211381	214800
53	215380	209221	208789	209779	208733	214377	211425	212784	210882	215258	216568
54	208738	209154	214287	214433	213313	214907	212676	208873	211156	210380	214071
55	206490	209414	211637	207236	212129	213558	213418	209134	213015	207910	208747
56	207793	212897	209983	210510	210240	205915	206050	206649	210454	209686	214214
57	212926	208849	211719	210910	212438	212158	216348	217373	207384	212116	210467
58	208772	208546	212356	207941	209023	212628	210703	209851	210086	212281	213653
59	208067	208687	209930	211661	208915	212583	208227	206249	207043	208801	213780
60	210033	209953	214028	213754	211094	206552	209584	206837	207990	211491	211807
61	207038	207619	210194	212683	212831	213719	210509	208465	209666	208730	211593
62	210876	213632	210595	212393	210300	210705	212375	211705	210777	212690	212416
63	209546	209613	209167	210603	209431	211462	209796	204996	207867	206718	208790
64	210132	210434	210904	206372	205418	208723	205687	209961	207101	209891	211523
65	213132	208879	209263	209916	207867	207374	211850	212180	211793	210740	210881
66	211680	213339	214534	214039	208503	207891	208166	206936	208018	211955	210324
67	213426	208698	210245	210103	210469	210443	208600	210400	210535	209696	212036
68	215530	212704	207539	211283	210135	213524	211133	213379	209080	210924	214889
69	213160	213039	211156	210778	207347	206500	211045	207173	208256	211252	212800
70	215920	210565	206301	208680	214720	211021	212883	215721	216036	208675	207392
71	212344	208798	212146	209953	210008	209929	212898	213046	210276	211076	210351
72	209790	210464	214172	213362	213740	212761	208268	210196	208708	208369	208186
73	213380	211268	209368	209112	211317	211492	214979	212683	209454	211321	208773
74	210704	210534	215439	207785	207280	206924	211241	210377	209026	213994	214609
75	214231	213466	216383	0	0	0	0	0	0	0	0
76	210718	213668	212901	208752	211439	206747	207767	207904	213324	213079	213598
77	213681	209626	212107	211473	208473	212424	209573	215566	210474	210881	214902
78	216534	209458	210106	211468	209883	211699	213765	210367	210928	215902	212532
79	210654	208375	207854	208518	212063	216031	214070	208996	209684	208897	210024
80	210804	211890	210184	211901	211725	212369	212184	210900	214012	212146	215963
81	214959	213802	215260	216499	206914	213406	211129	214703	210988	211399	215011
82	208622	209046	208229	210107	211712	209041	209416	213725	210129	215183	212845
83	212010	213976	210241	206330	208028	210794	207216	213141	211366	208695	212572
84	211895	213246	212505	206529	210384	211338	211627	211305	212270	211022	205060
85	212387	206873	205153	209218	207219	212061	212499	209895	208640	213485	204797
86	212429	214125	208606	206047	211029	208887	207266	208426	212587	212425	208392
87	211838	208645	209769	207411	209756	211248	210818	209398	212576	210511	210594
88	213274	210983	212404	216269	210394	207883	206873	211526	208157	211578	212267
89	208732	212517	210534	207664	207273	211492	209258	212657	211109	214071	206324
90	211735	212368	211579	215655	207336	208371	210758	212136	213058	213900	214446
91	213788	214807	212647	211310	206545	210619	207740	210898	214062	213485	212537
92	208299	208295	212601	214077	212586	211333	213852	209181	206001	206853	209742
93	207199	208954	211496	208438	209228	207986	213240	212410	211280	213230	212204
94	214646	214744	215962	207784	207629	208177	209336	210069	210369	210092	209413
95	204903	208427	210614	210160	207515	210568	211812	213532	211112	214559	212570
96	210399	210460	212195	213531	214028	213599	212309	210723	214511	208710	208255
97	215545	210880	211785	210000	207075	210053	211072	210322	215129	213424	212227
98	214620	211980	213017	208010	209696	212829	207869	209214	211012	209914	214785
99	214501	215188	211174	213403	215589	208644	211068	208705	210615	211820	212959
100	208498	207859	209295	209540	213617	212148	214635	214061	209187	207179	205461
101	209357	211554	214306	212323	214732	211693	213736	208432	212935	210368	213427
102	214620	216413	215107	212968	208859	211873	210071	213339	215343	211859	214226
103	212429	214125	208606	206047	211029	208887	207266	208426	212587	212425	208392
104	215447	215703	215307	216186	210566	208148	209649	210642	211548	210397	215142
105	214683	212834	207951	211421	212439	211326	209189	210882	211106	210254	215754
106	211320	214815	213395	212405	212199	208404	212254	210379	210276	215255	214504
107	215414	210610	208828	208988	214271	213867	210935	213432	216263	213627	213824
108	207214	206576	206260	206530	208407	211313	212733	209717	209728	213383	204899
109	213931	214648	206378	207175	208036	211173	214331	214860	213418	207029	208080
110	209399	210679	209643	210118	212647	209265	209580	209846	206850	210459	212383
111	212862	209923	206651	206218	208159	211507	212389	208832	207236	205310	209869
112	207119	206714	209057	210416	210577	212838	211227	210178	213019	209758	210015
113	208979	213468	214526	206248	208875	208347	208889	210714	214384	210954	204614
114	209061	208858	208508	210755	213790	212177	209438	208353	209961	210029	210554
115	215132	214237	209677	206897	210418	208401	209019	209567	208365	206710	207232
116	212123	212750	205803	208189	210357	209836	209860	212262	215188	207411	208653
117	205636	210131	210829	209890	213824	213919	207129	208988	208271	209891	213338
118	209752	209125	210502	212984	212562	210379	211754	210214	211610	212041	210472
119	210511	212722	210917	213656	213363	212081	214919	206140	207148	206932	206861
120	204288	209708	210030	208664	208002	207307	212046	210236	210595	211882	210403
121	209161	209700	212204	213744	214835	209561	208995	206539	208407	210678	208271
122	209919	206793	208344	207643	206929	211393	209526	209814	209140	208764	206301
123	207473	207839	208700	211171	208966	210248	215127	213888	212157	205775	210074
124	211993	210174	210346	215838	213555	211070	208704	211771	208424	211700	208303
125	213546	213261	214576	217713	211220	213310	210160	214116	215399	215331	216077
126	209549	207211	210102	211583	212607	210135	214502	213235	213721	211864	215153
127	216515	211508	210905	208447	208683	211848	212636	213522	213796	212221	215924
128	211171	211659	207081	209878	210982	207573	213599	214424	214011	212150	209377
129	208140	207585	211910	207878	210829	213215	213645	213824	212903	209260	210235
130	209728	214132	213662	212593	209195	209936	206459	209352	210692	213574	209527
131	209554	209572	207101	208749	213277	210755	214396	207885	210119	208875	208911
132	212117	209801	206246	212563	208151	209825	208818	214220	212949	209226	207106
133	211109	214141	206069	206968	209887	212839	214651	207394	207575	209414	209480
134	207055	213591	214386	214119	207792	211709	208026	208309	211649	211935	211652
135	213835	209632	214191	215378	211279	212048	209687	210267	210848	210429	210725
136	212349	211165	211578	215277	216867	208487	209414	212265	214500	211223	215118
137	212627	216331	217392	206877	209846	207519	213277	212366	212969	214282	213982
138	207552	211863	210907	212468	214778	215339	216908	214857	206845	213001	212181
