Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	96	110	0	60	0	122	0.76153886999964	1	0	0
2	0	52	90	0	57	0	122	0.848609319000388	1	0	0
3	0	129	123	0	55	0	122	0.648780104000252	1	0	0
4	1	131	8	1	52	0	122	2.34933783800079	0	0	0
5	0	105	148	1	60	0	122	1.29038997699899	1	0	0
6	0	100	100	0	58	0	122	0.595512703999702	1	0	0
7	1	137	148	0	56	0	120	2.57464081499893	1	0	0
8	0	27	74	0	53	0	122	0.519201275001251	1	0	0
9	0	30	83	0	51	0	122	0.632192691000455	1	0	0
10	1	29	130	1	49	0	122	1.57235359100014	0	0	0
11	0	25	129	0	56	0	122	1.05029729800117	1	0	0
12	1	122	45	1	54	0	120	0.941944397000043	1	0	0
13	1	71	20	0	51	0	122	1.21417754100003	0	0	0
14	0	135	108	1	58	0	122	1.54640160199961	1	0	0
15	1	50	143	0	56	0	120	0.69925533300011	1	0	0
16	0	104	142	1	54	0	122	0.78786111699992	1	0	0
17	0	142	114	1	52	0	122	1.12260376499944	1	0	0
18	0	21	45	1	50	0	122	1.86746882199986	1	0	0
19	1	84	129	0	48	0	120	0.782393993000369	1	0	0
20	0	110	85	1	46	0	120	2.27610821100097	0	0	0
21	1	29	60	0	52	0	122	9.50267349200112	0	0	0
22	0	68	38	1	58	0	122	1.37650881700029	1	0	0
23	0	140	94	0	56	0	122	2.07033411299926	1	0	0
24	0	86	88	0	54	0	122	1.52189909799927	1	0	0
25	0	27	134	1	53	0	122	3.70667751499968	1	0	0
26	1	38	29	0	51	0	120	3.3074306769995	1	0	0
27	0	94	1	1	49	0	122	0.732757895000759	1	0	0
28	0	84	63	1	48	0	122	0.893436672000462	1	0	0
29	1	100	139	1	46	0	120	2.28739823900105	1	0	0
30	0	42	98	1	45	0	120	2.40038665700013	0	0	0
31	0	33	103	1	49	0	122	0.837877603000379	1	0	0
32	1	145	89	1	48	0	120	1.1698558879998	1	0	0
33	1	56	97	1	46	0	122	0.752384192999671	0	0	0
34	0	59	109	1	51	0	122	1.62375685599909	1	0	0
35	1	143	68	1	49	0	120	1.14898978400015	1	0	0
36	1	77	31	0	48	0	120	1.03572357800113	1	0	0
37	1	12	3	0	46	0	120	0.847850840000319	1	0	0
38	0	20	70	0	45	0	122	2.49931475800076	1	0	0
39	0	14	132	0	44	0	122	0.844639334998647	1	0	0
40	1	111	24	0	42	0	122	0.928917588000331	0	0	0
41	1	132	103	0	46	0	122	0.880514582000615	0	0	0
42	0	149	140	0	51	0	122	0.955844780000916	1	0	0
43	1	39	150	1	49	0	120	1.57079606700063	1	0	0
44	1	29	17	0	48	0	120	1.23417087300004	1	0	0
45	0	27	31	1	47	0	122	1.56571210699985	1	0	0
46	1	93	112	0	45	0	120	0.725172464000934	1	0	0
47	0	32	115	0	44	0	122	3.83773779200055	1	0	0
48	1	118	97	1	43	0	120	0.945055279000371	1	0	0
49	0	104	96	0	42	0	122	1.8812524169989	1	0	0
50	1	68	124	1	40	0	120	2.87560091399973	1	0	0
51	0	21	101	1	39	0	122	1.30168396199952	1	0	0
52	0	41	43	1	38	0	122	1.03498473599939	1	0	0
53	0	32	81	1	37	0	122	0.79517655500058	1	0	0
54	1	30	91	1	36	0	122	1.56810111900086	0	0	0
55	0	116	62	0	39	0	122	1.27932998100005	1	0	0
56	1	138	32	0	38	0	122	0.768993140998646	0	0	0
57	0	130	111	0	41	0	122	1.74376662600116	1	0	0
58	1	55	111	1	40	0	120	1.88726984400091	1	0	0
59	0	21	27	0	39	0	122	0.977055973000461	1	0	0
60	0	36	31	0	38	0	122	1.66373532600119	1	0	0
61	1	49	131	0	37	0	120	1.38652170200112	1	0	0
62	0	129	139	1	36	0	122	1.04824111299968	1	0	0
63	0	70	101	1	35	0	122	0.915390373000264	1	0	0
64	1	67	65	0	34	0	120	0.780721054999958	1	0	0
65	0	4	56	1	33	0	122	1.02667977500096	1	0	0
66	0	2	33	1	32	0	122	1.88696185000117	1	0	0
67	1	96	54	1	31	0	120	1.73743878299865	1	0	0
68	0	121	25	0	30	0	122	0.978163507999852	1	0	0
69	0	96	128	1	29	0	122	0.688538746999257	1	0	0
70	1	1	14	1	28	0	120	0.986391403001107	1	0	0
71	1	8	15	0	27	0	122	1.06438369699936	0	0	0
72	1	135	9	0	30	0	120	0.81221894599912	1	0	0
73	0	103	13	1	29	0	122	1.08851547999984	1	0	0
74	1	93	76	1	28	0	120	1.11494562199914	1	0	0
75	0	90	98	1	27	0	122	1.40349165900079	1	0	0
76	1	150	119	0	26	0	120	2.99255788700066	1	0	0
77	0	118	74	1	25	0	120	0.83814682800039	0	0	0
78	0	146	102	0	28	0	122	0.815444347999801	1	0	0
79	0	119	106	0	27	0	122	0.686667433999901	1	0	0
80	1	82	45	0	26	0	120	1.07281359899935	1	0	0
81	0	125	82	1	25	0	120	1.04331899700082	0	0	0
82	1	44	140	1	28	0	122	1.05478414899881	0	0	0
83	1	69	94	1	30	0	120	0.857464263999645	1	0	0
84	0	4	51	0	29	0	122	1.10873041999912	1	0	0
85	1	48	11	0	29	0	120	1.029669775	1	0	0
86	1	62	109	1	28	0	120	1.1273004020004	1	0	0
87	0	81	113	0	27	0	120	1.1867148780002	0	0	0
88	1	59	108	1	29	0	120	1.48056109400022	1	0	0
89	1	14	137	1	29	0	120	1.13097559299968	1	0	0
90	1	39	100	1	28	0	120	1.21924651799964	1	0	0
91	1	61	124	0	27	0	120	0.984469475000878	1	0	0
92	1	125	7	1	26	0	120	1.47800787199958	1	0	0
93	1	110	54	0	25	0	120	1.92928583499997	1	0	0
94	0	50	50	1	25	0	122	1.00103232900074	1	0	0
95	1	43	116	1	24	0	122	2.24604712899963	0	0	0
96	0	12	145	0	26	0	120	3.17080219099989	0	0	0
97	1	48	6	0	28	0	122	1.1687616579984	0	0	0
98	0	54	95	0	31	0	122	1.04771354299919	1	0	0
99	1	103	45	0	30	0	120	2.0006786619997	1	0	0
100	0	94	100	1	29	0	122	1.12000284200076	1	0	0
101	1	116	69	1	28	0	122	1.53311840400056	0	0	0
102	1	24	136	0	36	0	120	0.885343268000724	1	0	0
103	1	101	16	0	33	0	120	2.86657001700041	1	0	0
104	0	14	116	0	31	0	122	0.903657095001108	1	0	0
105	1	83	17	0	29	0	120	1.24074687299981	1	0	0
106	1	44	8	0	27	0	122	0.924231967999731	0	0	0
107	1	10	51	0	34	0	120	3.97378232700066	1	0	0
108	0	150	122	0	32	0	122	1.34838360300091	1	0	0
109	0	18	20	0	29	0	122	2.14847520399962	1	0	0
110	0	27	137	1	27	0	122	1.23544306400072	1	0	0
111	1	94	98	0	25	0	122	1.10341636300109	0	0	0
112	0	25	49	0	32	0	120	1.48592878900308	0	0	0
113	1	114	121	1	38	0	120	0.658907167002326	1	0	0
114	1	86	14	0	36	0	120	2.5981143550016	1	0	0
115	1	127	116	0	34	0	120	2.99525623899899	1	0	0
116	0	29	33	1	32	0	122	3.79289215899917	1	0	0
117	0	136	86	1	30	0	122	1.45398144099818	1	0	0
118	1	132	84	0	29	0	120	2.91353558099945	1	0	0
119	0	47	17	1	27	0	122	3.64166511900112	1	0	0
120	0	127	28	0	25	0	122	1.14199944700158	1	0	0
121	0	43	86	0	23	0	122	1.04540092099705	1	0	0
122	1	126	53	0	22	0	120	0.896780702998512	1	0	0
123	1	59	27	0	20	0	120	1.71503366700199	1	0	0
124	1	56	18	1	18	0	122	1.11539982799877	0	0	0
125	0	112	124	1	23	0	122	2.31424947499909	1	0	0
126	1	72	61	0	22	0	122	0.686129944999266	0	0	0
127	1	56	118	1	27	0	122	0.99231253799735	0	0	0
128	0	76	86	0	31	0	122	1.5494239389991	1	0	0
129	0	54	1	1	30	0	122	1.86119273000077	1	0	0
130	0	3	91	1	28	0	122	1.09568076099822	1	0	0
