Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
2088	1948	2115	2356	2504	1966	2596	1686	1933	2076	3411	2083	3894	8137	2383	7386	0	6795	7815	3518	3639	6249	1984	2586	2633	2316	2781	4810	3098	1836	2332	1830	1833	2192	1711	2368	3026	2311	2854	1701	1841	2227	2386	2355	2712	2482	2058	2233	1827	2979	2326	3434	2248	1841	2741	2348	2727	3408	2068	1705	4899	1950	1850	2771	2379	2830	1685	3282	2312	2381	1943	2858	4628	2508	4158	3112	2645	2098	2235	3537	1945	4541	2332	4397	2970	2248	3517	2610	3148	1983	2991	4136	2843	2565	3225	2964	2565	4194	2096	3112	2232	1935	2740	1975	2320	1942	3356	3396	2348	2112	2597	2377	2843	2385	3366	1951	2110	1825	3088	2480	4197	3486	2863	3240	1698	2482	1686	3637	2315	3600	1958	2336	1953	2120	3236	1696	2466	3897	2951	2479	1835	2692	2386	2093	1953	2494	1965	2060	2354	1945	1966	2950	1962	2637	1944	2889	2226	1830	1976	1940	2352	1819	2236	2479	1840	2088	3116	1811	1814	2216	2462	2232	2632	2195	1985	1825	1713	3380	2601	3206	2469	1979	2696	2723	3075	1688	2565	2204	1845	1934	3272	1821	2339	1710	3138	2729	3596	3003	2208	1962	3202	1934	1700	2327	2065	1979	2213	5330	2981	2570	3847	1948	3416	1850	2381	4230	2497	2481	2071	1704	2064	1811	2316	2370	2517	2855	2317	2243	1946	2198	2888	2596	3693	1712	1969	2441	2368	2075	1823	1964	2370	2184	2636	1970	1704	2985	2085	2823	2581	1844	2851	2473	3038	1821	2191	1977	2609	2621	2063	1842	1692	1841	1704	1712	2366	2222	1709	3223	1707	2759	2383	3013	2080	1816	3588	2512	3022	2336	2836	1835	1980	1693	2100	2103	2110	1814	2755	3168	1983	1954	1827	4057	2188	1690	3090	2111	3140	1832	2186	2110
2896	2059	2368	2460	2900	3651	3108	2763	2992	2249	6425	4074	7185	9936	2835	0	0	6879	11765	3663	3779	6511	3385	2613	3518	2845	2823	5349	3900	2707	2981	3598	2909	2345	1846	3013	3260	2349	2963	2383	2843	2585	2594	3603	3727	3176	2615	2352	2084	3598	2888	3798	2590	2749	3903	2719	3163	3489	3112	1828	6349	1975	1950	3654	3595	3682	3564	3615	2868	2516	3732	2966	5049	3643	4457	3662	3341	2819	4114	4290	3152	4592	2597	5612	3871	2318	4245	3253	3586	2110	3870	4664	2861	2842	4241	2989	4432	4590	2101	3474	2443	2723	3547	2857	2912	2341	3738	3463	2697	3368	2770	3475	3270	2494	4118	2726	2836	2618	3386	2502	4944	3672	3645	3805	3113	3265	3163	3788	2324	4629	2480	3893	2321	3294	3539	1828	2473	3992	3137	2735	2059	3150	2580	2252	2769	2597	2110	2635	2635	2695	2865	3112	1987	2748	2238	3344	2336	2085	2697	2828	2714	2233	2465	2871	2060	2098	3932	2093	2241	3642	2961	2474	3639	3471	2370	2599	2484	3972	2855	3337	3802	2108	3560	3424	3086	1824	2622	2726	1846	2225	3643	2330	2367	2060	3329	3204	3763	3369	2579	3410	3278	2096	3088	3856	3336	3274	2330	10853	3653	3226	4268	2314	3873	3496	3078	4531	2638	4011	2595	1851	2068	2196	2328	2906	2749	3005	2504	3004	2701	2454	2971	2762	4817	2749	2107	3240	2991	3163	2647	2108	2480	2724	2741	1984	2081	4725	2628	3136	3163	2455	3293	2583	3428	2365	3844	2115	2822	2862	2376	2186	2629	2879	2233	1833	4197	3482	2244	3670	3258	2882	2495	3090	2096	3953	3730	3011	3157	3889	3169	1945	2231	3097	2460	2191	2449	2616	2833	3278	2832	2704	1831	4335	2221	2252	3265	2235	3951	2192	2199	2324
3026	2359	3265	2737	3005	3822	3240	3305	3140	4906	6985	4683	7928	0	3294	0	0	7721	12723	4694	4976	7044	4340	5228	3716	3244	2884	5846	3942	4050	4516	5064	3652	3748	2708	3098	4865	2843	3025	3524	3016	3015	2957	4359	4405	3351	2733	2515	2484	3739	3276	3810	2592	2857	4186	3425	4011	3652	3663	2354	6616	2095	3602	3689	6976	5761	5087	3944	3381	2565	5812	4609	5176	5813	4539	5560	5048	4034	4689	6717	5169	4782	5572	8032	3944	6559	4711	4872	6020	2869	4036	8519	4697	3609	5353	3483	4462	4677	4081	4384	2486	2887	4528	3594	3114	3079	4819	3637	3153	4066	2848	3609	3458	3276	4179	3128	2889	2691	3844	5044	5186	3753	3663	4374	3260	3782	3908	3934	3678	4645	2715	4081	2609	4517	3764	2110	2505	4328	4587	2846	2507	3938	3533	3168	3230	3665	3512	2864	2819	3122	3034	3392	2489	3414	2458	3404	2468	2439	2894	3221	3153	2335	2482	3177	2235	2965	3940	2614	2696	4580	3002	3274	3664	3684	2886	2768	2828	5235	3732	3542	3812	2707	4241	3519	3112	2857	2827	3136	2987	2321	4521	2781	2758	2701	4318	3259	3814	3942	3216	3777	3560	3163	5361	3907	5100	3467	5127	11552	5190	4038	4555	3752	3875	3559	3146	5050	2964	4392	2878	2369	2602	2201	2874	3251	3093	3148	2900	3940	4280	3402	4240	3074	5814	2983	2350	3991	3127	3233	3139	2351	2693	3147	2962	2718	2976	4789	3024	3542	3357	2475	3636	2825	3662	2372	4288	2231	3138	3261	2853	3628	2946	2983	2728	1935	4326	3537	3228	3685	3526	2893	3150	3114	2342	4638	3976	3461	3772	4450	3275	2437	3020	3202	4042	2355	2507	2976	2873	3492	3745	2824	2252	4674	2718	3122	3340	2715	4027	2607	2242	3043
4552	2865	4127	3082	4444	4035	4061	4204	3254	5124	7822	8166	9151	0	4180	0	0	8224	13107	4715	5410	7094	4469	6917	5977	3370	5663	6106	4336	4522	6042	5265	4136	4279	3772	3476	6017	3239	3644	3897	4945	3926	3607	4418	4422	3538	2855	2617	2494	3870	3526	4243	3262	4032	4777	4338	4786	3969	3984	4661	7336	2825	3662	3901	7219	6037	10485	4134	3410	4583	5904	5165	5493	6147	6238	6684	5257	7898	5781	6787	6368	6620	6163	12686	8640	7751	5694	5025	7156	2900	4856	11191	4833	4646	6651	3948	4664	5762	4692	4651	4172	2903	5018	3771	3463	3329	4890	4720	4161	4656	3299	4028	3468	3403	5083	3267	3162	3474	3971	5644	5768	3969	4926	5537	5535	5038	4120	4558	4869	5260	2912	4174	2911	5209	3843	3242	2827	4439	5121	3087	2829	4097	5172	3549	3557	3906	3892	3350	2968	3333	3174	3730	3259	4787	3464	4029	2613	2440	3521	3812	3682	2444	2487	4129	2977	3082	3985	2624	3023	5555	3034	3461	3876	4252	3139	2969	3225	5658	4035	3771	4017	3008	4390	3649	3934	4530	2862	3250	3363	2475	4667	3611	3647	3272	4651	3430	4133	4361	3253	3858	3658	3363	5772	5908	6179	3552	5874	11638	6406	4800	5746	3783	3882	4711	3384	5686	3519	6459	3793	2622	3469	2353	3109	3949	3361	4375	3040	4102	4441	3682	6032	3166	6482	3297	3094	4035	3585	3661	3669	3215	2719	3210	3421	2886	3239	5644	3305	4207	3900	2848	4849	2843	4290	3002	4529	2440	3223	3297	2894	4304	3508	3004	2741	2324	4572	3560	3286	4912	4066	3796	3213	3545	2454	5478	4622	3586	3802	4468	4024	2988	3163	3974	5135	2457	2826	3896	3038	3901	3803	3001	2696	4877	3346	3357	3601	2755	4149	2871	2601	3135
4802	3029	4428	3422	5768	4185	4837	4940	3477	5487	8849	8868	9606	0	5173	0	0	8844	0	4743	6009	8264	4783	7013	6825	3423	6115	6328	4564	5082	6089	5711	5695	4481	3819	3619	6052	3372	3732	4101	4971	4354	3806	4548	4561	3989	3221	3114	2753	4494	3555	4533	3610	4818	4936	4445	4919	5217	5092	4771	7593	2965	3902	4530	8559	6274	11003	5544	4143	6788	6096	5506	7678	7694	6362	7472	7889	8163	7155	8557	7176	6699	6327	13648	8674	7846	6009	5945	8682	3594	5343	11418	5366	4841	6885	4190	4667	7887	4855	4807	5300	3140	5107	3785	4152	3364	4955	4894	4240	6263	3633	4360	4026	3861	5616	3274	3425	3549	4197	7183	7958	4421	5094	6259	5573	5121	5275	4594	4952	5513	3943	4305	2948	5361	3852	3625	3415	4599	5169	3241	3207	4246	5699	4044	3663	4037	5010	3435	3378	3493	3432	4196	3655	5221	3907	4044	3090	2845	3526	3918	4226	3110	3257	4178	3253	4237	4355	2713	4137	5610	3554	3532	3984	4703	3147	3208	3506	6072	4139	3775	4919	3745	4391	3977	4170	5067	3152	3266	3473	2600	4940	3780	4194	3615	4682	3742	4636	4432	3605	3874	4100	3770	5854	6211	6517	3742	6457	13759	6434	6041	5997	4453	3928	5049	3403	5901	4250	6656	3860	2969	3776	3209	3490	6010	4339	5401	3427	4174	4817	3717	6211	3900	6550	3373	3095	5092	3608	4327	3911	3752	3125	3769	3800	3165	3301	5820	3364	4254	4104	2953	5103	3127	4338	3787	4821	2608	3744	3398	2967	4309	4466	3146	2877	3501	4598	3661	3491	5319	4440	3909	3225	4198	3646	5556	4902	4168	3985	4612	4131	3390	3525	4001	5329	3023	3435	4108	3157	4116	5278	3431	3155	5727	3365	3749	4468	4033	4767	4028	4576	3503
4870	3715	5028	4255	7034	4614	5052	5359	3505	7333	9041	10716	10042	0	5406	0	0	9447	0	5608	6140	9666	7822	7590	7417	4103	7418	7078	4789	5154	6171	5812	5755	5413	3908	3691	6864	3405	3853	4517	5293	4413	3976	4777	4784	4338	3421	4585	3224	4748	3900	4790	4131	5413	5101	5031	4925	5347	5480	4942	7941	3268	4629	5056	8638	6288	11731	6103	4173	7148	7340	5735	7895	7736	6553	10195	8860	8234	7580	9431	7832	7181	6334	0	8900	8277	6659	5976	9172	3759	5718	11496	5467	5360	8010	4236	4905	9476	5573	7963	5637	3855	5609	4048	5147	3589	5382	5113	4426	7084	3775	4672	4063	3938	6820	3419	3484	3558	4647	7327	8163	4594	5861	6672	5792	5649	5653	5901	5293	5644	3982	4520	3935	6286	4382	3892	3501	6024	5353	3759	3414	4323	6483	5107	4410	4209	5044	5439	3403	4956	4268	4205	3775	5473	4844	4150	3103	2892	4255	3976	4621	3596	3374	4251	4754	4492	4525	2839	4609	5736	4181	4287	4140	4723	3264	3330	3977	6157	4461	3985	5572	4147	4453	4151	4181	5096	3375	3563	4052	4005	5136	3993	4463	3842	5361	4403	4800	4756	3855	4006	4169	4056	7261	7167	6830	5009	6509	0	7033	7239	6645	4498	4067	5291	4458	5931	5042	6902	4053	3035	3848	4580	3780	6097	5429	5424	3988	4551	4845	4076	6476	3976	7106	4341	3386	5943	4112	4329	4819	4063	3264	4260	4164	4791	4044	6110	3417	4780	4598	3240	5299	3206	4526	4493	5213	2885	4271	3552	3472	4364	5406	3159	3763	3512	5555	3726	3778	5454	4721	3982	3387	4322	3936	5802	5804	4506	4395	5292	4178	3520	3625	4431	5421	4375	3716	4610	4144	4498	5431	3490	3167	5748	3877	4252	4952	4437	6219	4069	4617	4129
5089	3791	5388	4489	7184	4921	6147	5733	4649	7975	10783	10743	10764	0	0	0	0	10918	0	7705	7772	10106	10025	7775	7932	4231	7705	7501	6430	6661	6301	6122	5800	6157	4030	4250	7527	3474	4190	5138	5339	4466	4004	5529	4805	4586	3842	4834	3464	5351	4654	4820	5103	5546	5166	6237	5074	5422	6689	5339	8613	4135	5280	5345	8969	6555	11972	6861	6086	7204	7437	6023	8426	8118	8068	10464	9217	8564	8015	9497	9162	7183	7868	0	10336	8553	6828	7687	10336	4236	6694	12502	6422	6481	8103	4769	6007	9522	5704	8215	5902	3904	5615	4716	5417	3813	5391	5219	5171	7242	4440	5038	4674	4028	8047	3622	4193	4515	4928	8169	8341	6762	6516	6776	6801	6671	5664	6518	5521	5755	4296	4652	3951	6357	6185	4169	4015	6205	5402	4052	4625	6345	6903	5178	4495	4560	5144	5613	4133	5670	4328	4515	4465	6180	5051	4449	3603	2980	4318	4370	4781	4162	3380	4403	4944	4937	4616	3132	4816	5960	4443	4589	4401	5736	3652	3611	4205	6633	5527	4254	5648	4243	4670	4182	4275	5228	4514	3776	4447	4568	5151	4874	5519	5004	6364	4569	5300	5340	4853	4127	4815	4899	7602	7466	6951	5637	9072	0	7649	7269	8279	5213	4511	5557	4892	6313	6228	6963	4124	4175	4037	4657	3980	6269	6620	6415	4445	6509	5305	4189	7301	4117	7302	4717	3800	6995	4183	4788	4878	4565	3491	4271	4191	5511	4486	6114	3811	4926	4766	3380	5320	3458	4561	4775	5444	2997	4755	3721	3718	4812	5783	4022	4032	4868	5571	4143	3925	5591	4985	4876	3658	4558	4333	6131	6064	5227	4592	5352	4369	4005	3663	4619	5870	4889	3772	4702	4354	4817	5537	3851	3212	5829	4108	4259	5074	4641	6588	4257	5040	4981
5533	4194	7111	5474	7639	5202	6543	5966	6156	8128	11154	13204	12822	0	0	0	0	11181	0	7946	8571	10207	10595	8450	10456	4313	7901	9111	8199	6964	6416	6169	5921	6770	4789	4641	7535	3765	4376	5383	5608	4469	4047	5533	4940	4644	3979	4867	3750	5739	5465	4959	6023	5826	5713	7720	6346	5458	6840	5803	9590	4265	5945	6018	10337	6569	13118	7269	7309	8278	7833	6441	10224	8539	8680	10649	9890	9309	8361	12460	9544	7679	10522	0	10988	11229	6878	7890	10929	5683	7402	13403	6818	6784	8268	6155	6132	9840	5818	8598	6260	4973	6131	4828	7126	3909	5931	5335	5184	7566	4559	5443	8530	4793	8397	4541	4494	4671	5513	8623	8431	7180	7985	8229	7249	6845	5804	6651	6024	5840	5301	4927	4589	6895	6634	4810	5080	6247	5413	4999	5123	6964	6904	5723	5460	4778	5535	6054	4192	5672	4359	4742	5016	6323	5467	5426	4053	3471	4643	4433	4808	4176	3482	4752	5848	4968	4622	3667	5085	6137	4557	4647	4490	6104	3859	3645	4469	6663	5700	4677	5711	4506	5269	5100	5014	5395	4800	3987	4541	4657	5414	5189	5543	5301	7015	4722	5644	5442	5952	4315	4875	5252	7676	7678	7206	6322	9122	0	9224	7814	8423	6455	5048	5900	5231	6663	6317	7037	4659	5201	4209	5572	4433	6418	6924	6589	5089	6511	5348	4500	7553	4284	7602	4786	4416	7252	4360	5283	5747	5778	3739	4570	4656	5835	4510	7124	4365	6039	5253	3477	5367	3675	4665	6567	5784	3946	4828	4157	3871	5978	6187	5161	4121	4939	5967	4269	3943	5960	5029	5112	4424	4775	4713	6687	6498	5974	4700	5382	5185	4238	4057	5263	6241	5604	4315	4805	4573	4852	6062	3864	3291	5973	4116	4308	5101	5185	6694	4293	5356	5091
6090	4718	8709	5592	9020	5499	6630	7004	7024	8314	11371	14289	12878	0	0	0	0	11760	0	7974	8621	10924	11635	8572	11314	4796	9175	9384	8906	7056	6520	6387	6075	7079	4876	5096	8136	3920	4799	5486	6802	4588	4144	5770	5047	4845	4019	5577	4028	6199	5642	5042	6027	6063	5774	8351	6641	5535	8094	6439	9970	4289	5989	6300	10820	7081	13260	7320	8416	11080	8248	9145	10735	8806	9326	12303	11713	9319	8732	0	10436	7779	10524	0	11186	13032	7568	8071	12124	6733	7689	14402	6944	8414	8336	6180	6733	10087	6299	8711	6801	5051	6139	4921	7130	4302	6675	6149	5386	7753	5179	5476	8961	5081	9739	5520	4671	4795	6667	10663	8446	9692	8536	8249	7498	7263	5852	6800	6159	6341	5466	5569	4646	7251	6707	5287	5337	6426	5814	5701	5786	7561	7366	5768	5909	5641	5815	6473	4619	5755	4515	5464	5683	6577	5476	5584	4154	4301	5337	4813	5084	5155	3559	4871	6549	5023	4727	3824	5114	6172	4812	4754	4638	6684	5687	4331	4496	6950	5837	5154	5936	4996	5634	5153	5215	6056	5524	4005	4590	4695	5520	5192	5577	5912	7355	4820	5699	6166	6049	5256	4912	5709	8122	8208	7724	8620	10069	0	9679	9845	10894	7191	5597	6353	6753	6746	6579	7051	4694	5492	4338	6485	4533	6436	7432	8045	5108	6557	5437	4611	7716	5613	7659	5172	4958	7378	4535	5530	5923	6012	3745	4747	4757	5890	4960	7369	4412	6155	5429	3922	5691	3694	5130	6615	5812	3981	5236	4829	4083	6019	7529	5522	4282	6114	6304	4644	4147	6058	5334	5438	5689	5162	5153	7105	6634	6799	5108	6651	5437	4798	4162	5356	6417	6900	4525	4888	4665	5300	6138	4427	3302	6054	4496	4454	5384	5215	7516	4812	5713	5144
6299	4976	9302	5926	9169	7102	6631	7066	7770	8387	11567	14394	0	0	0	0	0	13597	0	10683	9406	11057	12432	8909	13252	5226	9470	9403	9341	7369	6850	6391	7563	7115	4976	5260	8340	4097	6201	5542	6831	4872	4581	5995	6663	6470	4712	5765	4196	6695	6344	5057	7030	6521	6203	8668	7026	7281	8253	6659	12527	4619	6766	6786	10967	7245	14123	7997	9177	11744	8280	9831	11009	9736	9667	14228	12103	9327	9507	0	11023	8273	14407	0	12161	0	7942	11273	12317	6990	8233	0	7073	8812	8354	6787	6774	11299	6522	8886	8203	5344	6687	5037	7173	5264	7624	6595	5791	7805	5472	5755	9204	6036	10863	6599	5582	4938	6713	12629	9209	10915	8673	8521	7653	7675	5978	7491	6235	6444	5535	5816	5179	7598	6780	5345	5510	6780	6020	5995	6533	7783	7757	6207	6245	6191	6127	7411	4924	5940	4659	5724	6547	6589	5496	5687	4174	4355	5359	4820	5810	5211	3616	5304	7143	5949	5163	3995	5126	6755	5153	5821	5046	6990	5794	4654	4778	7396	6564	5783	6423	5482	5754	5450	5370	6118	5633	4242	5727	4968	5646	6440	6697	6249	7379	4851	6083	6764	6471	5296	6424	5732	8290	8398	8389	8692	10892	0	10085	11382	13206	8466	5767	6589	6764	7011	6642	8447	5838	6052	4408	7404	4664	6483	7478	8572	5516	7245	5518	4720	8175	5854	7748	5208	5251	8628	5348	6292	5979	6596	3850	5122	6386	7397	5050	7388	4840	6391	6159	3932	5811	3904	5289	7248	6095	4174	5547	5020	4110	6263	8643	6545	5355	6424	6377	4756	4708	6817	5564	5641	6195	5313	5585	7121	6635	7155	5327	7668	5663	5673	4205	5779	6444	6923	4548	4948	4958	5417	6801	4609	3387	8731	4641	4494	5663	5936	8136	5521	6141	5427
