Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	30	8	0	66	0	122	3.40980525000487	1	0	0
2	1	68	112	0	62	0	120	0.978990021016216	0	0	0
3	1	89	41	1	75	0	122	0.628423432994168	1	0	0
4	1	48	61	1	71	0	122	1.04897861799691	1	0	0
5	0	102	119	1	67	0	122	1.1480994290032	0	0	0
6	0	137	5	1	79	0	120	0.699347474001115	1	0	0
7	0	1	94	1	75	0	120	0.740464453003369	1	0	0
8	1	127	107	1	72	0	122	0.916135836014291	1	0	0
9	0	126	128	1	68	0	120	2.66124741401291	1	0	0
10	1	100	42	0	65	0	122	5.09566286599147	1	0	0
11	0	48	21	1	61	0	120	3.67388319101883	1	0	0
12	0	87	33	1	58	0	120	1.06766086898278	1	0	0
13	1	50	104	1	54	0	122	5.26169354998274	1	0	0
14	1	41	69	1	51	0	120	1.00849300998379	0	0	0
15	0	122	22	1	61	0	120	4.15781261099619	1	0	0
16	0	58	49	1	58	0	120	0.97190014901571	1	0	0
17	1	1	4	0	55	0	120	1.09059497099952	0	0	0
18	1	125	22	0	64	0	122	1.48460618799436	1	0	0
19	0	51	61	1	61	0	122	1.4149217660015	0	0	0
20	0	142	53	1	71	0	120	0.883154109993484	1	0	0
21	0	91	103	0	68	0	120	2.70102504797978	1	0	0
22	1	101	13	1	65	0	122	0.821897059009643	1	0	0
23	0	47	60	1	62	0	120	0.530576891003875	1	0	0
24	0	122	150	0	59	0	120	0.890264574991306	1	0	0
25	1	139	32	1	57	0	122	0.851801277021877	1	0	0
26	0	124	102	0	54	0	120	0.910978393018013	1	0	0
27	0	30	125	0	51	0	120	0.920373569999356	1	0	0
28	0	47	73	0	48	0	120	1.29656829900341	1	0	0
29	1	136	70	1	46	0	122	1.60988952801563	1	0	0
30	1	105	110	1	43	0	122	2.63090797499171	1	0	0
31	1	140	118	0	41	0	120	0.938137190998532	0	0	0
32	1	10	144	0	48	0	122	1.14680224700714	1	0	0
33	0	81	87	0	46	0	120	1.5463745839952	1	0	0
34	1	109	21	1	43	0	122	11.8580967810121	1	0	0
35	0	133	110	0	41	0	120	2.97245473100338	1	0	0
36	1	99	92	0	38	0	120	1.10579957099981	0	0	0
37	0	95	117	1	45	0	120	0.603957974002697	1	0	0
38	0	10	78	0	43	0	122	0.888675522990525	0	0	0
39	1	118	67	1	50	0	122	0.690587416000199	1	0	0
40	1	140	112	1	48	0	120	0.988417078013299	0	0	0
41	0	53	21	0	55	0	120	1.25803557000472	1	0	0
42	0	22	81	0	52	0	120	0.893289419007488	1	0	0
43	0	110	64	1	50	0	122	1.46293183500529	0	0	0
44	0	12	120	0	57	0	122	0.569237757008523	0	0	0
45	0	42	71	1	63	0	122	2.4876215000113	0	0	0
46	1	70	82	1	70	0	122	0.896821230009664	1	0	0
47	0	142	63	0	68	0	120	4.74687950499356	1	0	0
48	1	8	50	0	66	0	120	0.95444267700077	0	0	0
49	0	93	118	1	72	0	120	0.801196946995333	1	0	0
50	0	77	45	0	70	0	120	0.74221252699499	1	0	0
51	1	19	120	1	68	0	122	2.07729049498448	1	0	0
52	1	22	43	1	66	0	122	2.22327161897556	1	0	0
53	1	149	55	0	64	0	120	0.747356097999727	0	0	0
54	0	106	11	1	70	0	120	1.09952914499445	1	0	0
55	1	23	10	0	68	0	120	0.776991170976544	0	0	0
56	1	45	6	0	74	0	122	2.13447270100005	1	0	0
57	1	103	78	0	72	0	122	0.878591266024159	1	0	0
58	0	63	83	0	70	0	120	1.38507393599139	1	0	0
59	0	129	90	1	68	0	120	2.16623066598549	1	0	0
60	0	10	140	0	66	0	120	1.3736366610101	1	0	0
61	1	11	77	0	64	0	122	0.748078419012018	1	0	0
62	1	91	127	0	62	0	122	0.827195110003231	1	0	0
63	1	47	85	0	61	0	120	5.58384745800868	0	0	0
64	0	44	86	0	66	0	122	4.42124922500807	0	0	0
65	0	142	107	1	71	0	120	0.977275887998985	1	0	0
66	0	52	144	0	69	0	120	0.912054323009215	1	0	0
67	0	47	108	1	68	0	120	1.07319364900468	1	0	0
68	0	17	122	1	66	0	122	1.17614214599598	0	0	0
69	0	57	106	0	71	0	120	0.785182698979042	1	0	0
70	1	114	115	1	69	0	122	1.44619487901218	1	0	0
71	1	86	55	1	68	0	120	4.23380627398728	0	0	0
72	0	121	52	0	73	0	120	1.10958877697703	1	0	0
73	1	88	137	0	71	0	122	0.943181315000402	1	0	0
74	1	10	67	0	69	0	122	0.820105816004798	1	0	0
75	0	67	47	0	68	0	120	1.73931393999374	1	0	0
76	1	48	102	0	66	0	120	1.01939492498059	0	0	0
77	0	14	64	1	71	0	120	1.51890021900181	1	0	0
78	0	35	29	1	69	0	120	0.935910141008208	1	0	0
79	0	35	18	1	68	0	120	6.45581308298279	1	0	0
80	1	71	139	0	66	0	120	1.37812966300407	0	0	0
81	0	60	139	1	71	0	120	0.82918471400626	1	0	0
