Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	142	39	0	40	0	122	2.3918802831322	1	0	0
2	0	2	135	0	37	0	122	3.58085070410743	1	0	0
3	1	78	143	1	35	0	120	3.17404618603177	1	0	0
4	1	115	106	0	32	0	122	4.06920267292298	0	0	0
5	0	40	63	0	40	0	122	3.88700513588265	1	0	0
6	1	5	129	0	38	0	120	2.76131856185384	1	0	0
7	0	40	76	1	36	0	122	1.05511475191452	1	0	0
8	0	23	68	0	33	0	122	0.954155747080222	1	0	0
9	0	103	101	1	31	0	122	1.08180484594777	1	0	0
10	1	50	24	0	29	0	120	1.44401988992468	1	0	0
11	1	33	11	1	27	0	120	1.99906638101675	1	0	0
12	0	42	101	0	24	0	122	0.780438175890595	1	0	0
13	1	87	18	1	22	0	120	0.831237050937489	1	0	0
14	0	132	50	1	20	0	122	2.19048697617836	1	0	0
15	1	108	16	1	18	0	120	1.38750340696424	1	0	0
16	1	24	76	0	16	0	122	0.898607992799953	0	0	0
17	1	30	47	1	22	0	122	1.01838757214136	0	0	0
18	1	94	13	1	28	0	122	0.752057106001303	0	0	0
19	0	57	90	1	34	0	122	0.662399722961709	1	0	0
20	1	117	3	1	33	0	122	1.57690804614685	0	0	0
21	0	111	100	1	38	0	122	0.845318215899169	1	0	0
22	0	95	99	0	37	0	122	0.618478904943913	1	0	0
23	0	41	88	1	35	0	122	0.630344666074961	1	0	0
24	0	73	18	1	33	0	122	0.858985045924783	1	0	0
25	1	82	23	0	31	0	120	2.26176072587259	1	0	0
26	0	18	36	1	30	0	120	1.04794445098378	0	0	0
27	1	116	72	0	35	0	120	0.930952748982236	1	0	0
28	1	84	44	1	33	0	120	0.787557650124654	1	0	0
29	1	34	84	0	31	0	122	0.71325011504814	0	0	0
30	1	85	29	1	36	0	120	0.641805937048048	1	0	0
31	1	56	127	1	35	0	122	0.749450240982696	0	0	0
32	0	29	81	1	40	0	122	1.5090962969698	1	0	0
33	1	148	102	0	38	0	122	0.67715741484426	0	0	0
34	1	129	100	0	43	0	120	1.13612069585361	1	0	0
35	1	35	67	1	41	0	122	0.711429238086566	0	0	0
36	0	88	137	0	46	0	122	0.66423876513727	1	0	0
37	1	41	110	1	44	0	122	0.771172665990889	0	0	0
38	1	108	9	1	49	0	120	0.728858683025464	1	0	0
39	0	12	87	0	47	0	122	0.641373514896259	1	0	0
40	1	101	73	0	46	0	120	1.94816889287904	1	0	0
41	0	112	24	0	44	0	122	0.875478263013065	1	0	0
42	1	75	14	0	43	0	120	0.677819306030869	1	0	0
43	0	27	16	1	42	0	122	1.05540600395761	1	0	0
44	0	142	106	1	40	0	122	1.72238151985221	1	0	0
45	0	140	83	1	39	0	122	0.811044489964843	1	0	0
46	0	36	8	0	38	0	122	0.575850003864616	1	0	0
47	0	88	71	0	37	0	122	0.734218458877876	1	0	0
48	1	125	109	0	35	0	122	0.708303609862924	0	0	0
49	1	87	30	1	39	0	122	0.886460694018751	0	0	0
50	0	52	72	0	43	0	122	0.65749082993716	1	0	0
51	1	137	106	0	42	0	120	0.602014763047919	1	0	0
52	1	84	37	1	40	0	120	0.631152896909043	1	0	0
53	0	55	2	1	39	0	122	0.858144515892491	1	0	0
54	0	147	78	1	38	0	122	1.05282312887721	1	0	0
55	1	95	115	1	37	0	120	0.807657427154481	1	0	0
56	1	109	133	1	36	0	120	0.756849579978734	1	0	0
57	0	4	138	1	34	0	122	1.08362123998813	1	0	0
58	1	97	18	1	33	0	122	1.14917332399637	0	0	0
59	0	53	133	1	37	0	122	0.899400800000876	1	0	0
60	1	1	120	1	36	0	120	0.813362431945279	1	0	0
61	1	15	50	0	35	0	122	0.79401513398625	0	0	0
62	0	26	120	0	38	0	122	0.623053249903023	1	0	0
63	1	9	6	0	37	0	122	0.811899176100269	0	0	0
64	1	56	55	0	40	0	122	2.05648590694182	0	0	0
65	0	126	132	1	43	0	122	0.587111048866063	1	0	0
66	1	134	19	0	42	0	120	0.679837587988004	1	0	0
67	1	8	37	1	41	0	122	0.754384421976283	0	0	0
68	0	35	143	0	44	0	122	0.72887045214884	1	0	0
69	1	133	141	1	43	0	120	0.744965616846457	1	0	0
70	1	144	93	0	42	0	120	0.816800453932956	1	0	0
71	1	57	36	1	41	0	120	0.589009814197198	1	0	0
72	1	11	8	0	40	0	120	0.498655318981037	1	0	0
73	0	85	39	1	39	0	122	0.636126199970022	1	0	0
74	1	137	55	0	38	0	120	1.01499313511886	1	0	0
75	0	70	31	1	37	0	122	1.17165241693147	1	0	0
76	0	129	16	1	36	0	122	0.611065538832918	1	0	0
77	0	30	108	1	35	0	122	1.2634231550619	1	0	0
78	0	13	122	0	34	0	120	1.57850553817116	0	0	0
79	0	36	89	1	37	0	122	0.704329129075631	1	0	0
80	0	123	86	1	36	0	120	0.768763097934425	0	0	0
81	0	81	147	0	39	0	122	0.711115022888407	1	0	0
82	0	103	52	0	38	0	120	0.743215607944876	0	0	0
83	1	101	30	1	41	0	122	1.10259758401662	0	0	0
84	0	15	60	0	43	0	122	1.60843205498531	1	0	0
85	1	33	28	0	42	0	120	0.789254294941202	1	0	0
86	1	48	105	1	41	0	122	0.875063666142523	0	0	0
87	0	53	61	1	44	0	120	0.916689530946314	0	0	0
88	0	147	96	0	47	0	120	1.41317509510554	0	0	0
89	1	2	114	0	50	0	120	0.570015851873904	1	0	0
90	0	1	60	1	49	0	120	0.736038252012804	0	0	0
91	0	95	79	0	51	0	122	0.615569612011313	1	0	0
92	1	7	146	1	50	0	120	0.739880977198482	1	0	0
93	1	41	127	1	49	0	122	0.990763074951246	0	0	0
94	0	90	23	0	52	0	122	0.864432506961748	1	0	0
95	1	81	65	1	51	0	120	0.691315963864326	1	0	0
96	1	45	118	0	50	0	120	0.685000478057191	1	0	0
97	1	150	23	0	50	0	120	0.790996355935931	1	0	0
98	0	109	118	0	49	0	122	0.723868711851537	1	0	0
99	1	29	33	1	48	0	122	0.868549121078104	0	0	0
100	0	126	49	1	50	0	122	0.630837592994794	1	0	0
101	1	61	101	1	49	0	122	1.14428678783588	0	0	0
102	0	33	71	0	57	0	122	0.760818158043548	1	0	0
103	1	145	6	0	54	0	120	0.569622962968424	1	0	0
104	0	89	96	1	52	0	122	0.594105895841494	1	0	0
105	1	31	104	1	50	0	120	0.535025418037549	1	0	0
106	0	44	39	0	48	0	122	0.630497828125954	1	0	0
107	0	60	107	1	45	0	122	0.562227172078565	1	0	0
108	0	70	17	1	43	0	122	0.601038732100278	1	0	0
109	1	43	115	1	41	0	120	0.573522372171283	1	0	0
110	1	149	143	1	39	0	122	0.586507235188037	0	0	0
111	0	134	54	1	45	0	122	0.52122337417677	1	0	0
112	0	60	125	1	43	0	122	0.537765915971249	1	0	0
113	0	20	53	0	41	0	122	0.577235582051799	1	0	0
114	1	46	125	0	39	0	122	0.58273126417771	0	0	0
115	0	67	66	0	45	0	122	0.532701253192499	1	0	0
116	1	90	135	1	43	0	120	0.580467800842598	1	0	0
117	1	78	139	0	41	0	120	0.59433915396221	1	0	0
118	0	148	75	1	39	0	122	0.575717589817941	1	0	0
