Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
2488	2089	2386	2251	2114	2515	2496	3033	3145	2948	1936	2695	2226	1842	1691	2350	1694	2730	2731	2448	2345	3399	2244	3175	2186	2117	1956	2191	2465	2222	3497	2231	2207	2468	2080	2385	1845	2380	2225	2219	2327	4160	2097	2863	1955	3890	1808	1949	3538	2365	2348	2367	2201	3535	2087	2120	1713	2776	2227	2215	1687	3217	2844	1975	1945	1711	2067	2995	2759	3129	2366	4039	2947	2210	5395	1845	2475	2201	2487	4200	2566	3005	3727	1849	3160	2455	2376	4018	2114	3028	2508	1852	3719	1977	2743	4501	4424	2966	2193	2565	1973	2445	2120	2751	2326	1986	2117	2885	2332	2208	1849	3537	4368	4239	3076	3778	2110	2736	2893	2862	2105	3020	3216	2196	2691	3030	3230	2728	5045	1978	2209	3212	1850	3021	2206	1711	2452	2873	5478	2630	2446	2734	2194	2695	2212	1812	2114	3127	2758	1836	2060	2438	1850	2361	1959	2710	1691	3987	3685	3217	2245	2226	2457	2646	1941	2235	1978	2189	1700	2514	2060	2063	2104	2078	2506	1979	1809	2229	2747	2619	1946	1702	2079	2841	2706	2369	2514	1827	2633	2379	1842	2972	2075	2070	1692	2839	1942	2827	2699	2360	2766	2239	1937	2315	2187	1685	2187	3975	1704	3370	4410	2732	4268	3258	2439	2098	3459	3761	2223	2331	5236	2847	3735	4196	2450	2198	2633	3649	1831	2591	2239	2903	1842	3399	2973	4245	1845	2070	2327	2470	3883	2980	2635	2468	1852	2249	1962	1846	2475	1934	2497	2328	2980	2215	3260	1815	2092	2629	2214	3081	4609	2241	3395	3119	2383	2833	1981	2323	2909	2108	3974	2478	1845	2064	2474	1842	2355	2455	2228	1945	3271	2339	2373	2313	2952	1966	3534	2349	2203	3262	2095	2481	2245	2979	2460	1701	2984	2115	2229	3525
2993	2481	2581	2697	2887	2580	2506	4595	3152	2956	2184	3177	2461	2316	3001	2957	1851	2838	4883	3262	2721	3534	2749	3220	2367	3035	2343	2990	2624	2504	3523	3008	2602	3357	2216	2848	3370	3035	3042	3299	4065	4936	2337	3028	3023	3943	3521	2184	3643	2634	2477	2612	3223	3688	2906	2213	2723	2861	2590	2747	2329	3424	3970	2356	2106	3375	2867	3134	2831	3301	2383	4328	3154	3609	6023	2200	3430	2202	3254	5682	2636	3589	5416	2078	4071	2914	2866	4409	2877	3102	3624	2887	4362	2193	3404	4580	4840	3262	3532	2725	2478	3162	3674	3296	2328	2344	2693	3735	3604	4324	2322	5813	4397	4287	3949	5431	2470	4164	4701	4779	3412	3104	3585	2578	3340	4070	3585	2985	5544	2117	2981	4031	2089	3228	2365	2570	3351	2971	6550	2735	2601	2828	2445	3158	2999	2184	2228	3367	2887	2456	2358	3615	2330	2625	2348	2989	2237	4013	4866	3282	3015	2600	3558	3251	2493	2848	2232	3035	2310	2904	3161	2836	3166	2200	2894	2578	1935	3227	3598	2853	2973	2515	2819	4002	2864	2382	2565	3356	3014	3155	2324	3148	3676	2620	2117	2950	2726	2849	2755	2862	3077	2243	2821	2453	3299	1974	3560	4418	3684	4826	4424	2990	5354	3553	2848	3734	4556	3931	4977	5729	6773	3341	3932	6764	3556	2736	5461	3946	2452	2840	2597	3398	2354	3631	3018	4691	1964	2949	2379	2770	4708	4134	2700	3247	2569	2861	2442	4031	3336	2504	3294	3671	3121	2343	3345	1959	2239	2903	2843	3101	4647	2881	3425	3498	4055	3028	3287	2735	3007	3407	4251	3507	2758	3090	3909	3612	3281	3522	2618	2066	3980	5091	2631	2979	3227	2770	4454	2765	4613	3972	3430	3040	2367	3384	4310	2772	3287	3537	2755	3729
3075	2708	2834	2711	3080	3107	2698	4768	3877	3273	3496	3435	2617	2383	3113	3022	2199	3413	5329	3354	3113	4470	3014	3608	2379	3350	2848	3020	2996	2514	3798	3163	2843	3855	2615	3856	3732	3787	3481	4012	5465	5656	2877	3243	3289	5033	4032	2603	4130	2966	2583	3147	3353	3902	3433	2695	3094	3093	3290	3470	2820	4099	4075	3424	2344	4422	3983	3550	2967	4071	3092	5213	3377	4157	6581	3340	4119	3333	4505	6067	2898	3921	6450	3493	5608	3904	4727	5708	2970	3797	3897	3939	4482	2487	3816	5469	5002	3294	3607	2973	2762	3251	3727	3491	2830	3043	3011	3896	3720	4557	2758	6954	4806	4406	4519	5588	2512	5220	7475	5389	3474	3635	3842	2732	4135	4494	3768	3922	6766	3085	3758	4037	2441	4244	2769	2712	3559	3029	6671	2961	3107	3819	2757	4658	4267	2476	2490	3620	3414	2879	6054	3802	3503	2869	4335	3680	2985	4111	4888	3491	3291	2910	6680	3545	2597	3754	2516	3176	3083	3471	4000	2978	3523	2733	3379	2612	2574	3499	3948	3106	3434	2871	2963	5207	3161	3995	2585	3655	3644	3172	3550	3484	3737	2838	3019	4030	2760	3146	4170	3086	3243	2367	3501	2518	4160	3103	4165	4932	6063	5082	4460	5307	5462	3680	4125	4357	5076	4041	6291	9233	0	5082	4022	6862	3915	3036	5930	4156	3211	3560	2980	3606	2357	3731	3457	4693	3286	5114	2867	3216	4737	4704	2745	6074	3474	4533	2700	4160	3474	2845	3790	3931	3259	3348	3504	2641	2454	3677	2877	3262	4749	2904	3432	3868	4296	3134	3416	2958	3218	4117	4389	3557	2768	3586	4125	4330	4318	4571	2953	3784	4284	5933	3002	4016	3803	3474	4635	2947	4644	4211	3585	6599	3207	4054	4545	4041	5026	3602	3169	4178
3889	2845	2862	3716	4135	3904	2764	5307	3943	4019	3511	3896	2825	3006	3267	3302	4370	3639	5771	4320	3234	4874	3849	4917	2602	3655	3020	3095	3153	2613	4080	3989	3524	4257	2698	3933	3862	3807	4782	4180	5721	6009	3355	4724	3332	5323	4399	2716	5170	3426	3212	3523	3420	4340	4437	3282	3520	3416	4692	3751	2972	4200	4981	3768	2444	4506	4669	3849	3040	4103	4236	5610	3867	4265	7228	4390	4132	4060	5320	6085	5514	5341	6929	3861	6092	5176	5031	6775	3006	3940	4699	3997	4582	2629	5299	5544	5313	3488	4003	3732	2862	4188	3986	4524	4948	3625	3133	4445	3735	5095	4718	7183	5381	4822	4886	5900	4305	5299	9359	6266	4415	4387	3876	3177	4493	4579	3788	4062	7497	3884	4192	4414	3132	5130	3367	3137	3973	3345	7404	3226	3277	3930	3144	4870	4872	2630	2732	3784	4171	3737	6150	4029	3649	3176	4501	4196	3479	4556	5342	3898	3295	3287	7793	4846	2718	3761	2649	4161	3355	3890	5707	3422	3550	2860	3719	2987	2822	3529	4110	3478	4455	3144	3010	5626	3241	4575	3109	3856	3780	3305	4197	3822	4195	3044	3139	4182	3082	3977	4931	4077	4078	3928	3987	4046	4209	3386	4741	6756	6969	5584	4525	5532	6511	4542	4425	4561	7955	4489	9196	9256	0	6227	5275	8713	4105	3139	6000	4791	3881	3645	3431	3939	2692	4794	3921	5007	3331	5584	3218	3329	4741	5194	3434	6294	4036	5956	2860	6351	4432	2888	3849	4452	3270	4362	4125	3792	3671	4274	3391	3278	4851	3262	4230	4929	4306	3591	4099	3091	3369	4494	4749	3585	3347	3903	4336	5170	4409	5225	4430	5021	4694	5939	3004	4463	4996	5052	5139	3299	4883	5901	3741	6728	3359	4144	4852	4532	5674	3621	3647	5820
4425	3117	3609	3942	4300	3920	3496	5368	4042	4489	3675	4140	3942	3392	3599	3512	4379	4653	6322	4466	3902	5060	5064	5935	2729	3775	3127	3656	4484	2873	4140	4180	3782	4767	2874	4137	3886	5462	6529	4264	6545	6105	3502	5081	3343	5571	4639	2749	5227	3672	3426	3687	4616	4585	4664	3479	4576	3663	4843	4110	4108	4496	5146	3949	2454	4512	4902	3899	3204	4851	5549	5685	4878	4957	7596	4510	4281	4401	6939	6586	5675	6139	7339	6181	6151	5688	5706	7915	3891	3977	6539	4711	4692	3392	5436	5969	5540	3931	5377	4129	3257	5307	4405	4965	5226	3884	3807	4562	4007	5595	5250	9890	5580	4884	4959	6398	5956	7396	9700	6893	4538	4904	3885	3285	4935	5251	3907	4386	8050	4799	4208	5517	3717	5612	4416	3754	4307	4679	8658	3285	3623	3990	3409	5225	6497	3110	3344	3907	4194	3997	6692	4654	3906	4320	5295	4537	3927	6948	5377	4521	3522	6044	7885	6225	4304	4008	3139	4233	3994	4284	5900	3430	3562	3379	3922	3162	3759	3907	4585	3871	4756	3296	3040	7016	3518	4633	3122	3988	4519	3394	4774	4896	4308	4592	3421	4659	3100	4455	5285	4541	4762	5409	4675	4611	4315	4017	4910	6883	7189	5628	5217	6108	7083	5121	5529	4580	9419	7665	9262	10799	0	6504	6012	10503	4458	4673	6191	6239	4182	3684	3985	4082	3096	5794	5135	5415	3419	5621	3891	3822	4935	5741	3761	7142	4970	7382	3469	6780	4461	5337	4140	5145	4334	4442	4341	3932	3745	4434	3472	3376	5565	3526	4915	5865	4572	3631	4230	3165	3388	4655	5803	3589	3507	4962	4386	5355	4506	5518	4483	5727	5240	5974	4485	5438	5159	5231	6617	5094	4998	6141	3765	6881	3614	4290	4928	4579	5703	3783	4665	5938
5176	3260	3639	4042	4542	4023	3884	5510	4227	5623	3724	4330	3951	3525	3685	3931	4638	5060	7020	5781	4427	5568	6594	6282	2754	4512	3466	3973	4495	4558	4836	4592	3861	4824	2876	4261	4366	5567	6747	4661	6634	6336	4255	5580	3799	6246	4915	3164	5748	3718	3489	4449	4998	4683	4697	3647	4748	3811	4898	5153	4116	4566	5411	3977	2834	4634	5679	4028	3610	5312	7498	6174	5959	6167	8215	4889	5187	4617	7207	8209	5739	6360	7762	6529	7119	6029	6663	8351	3991	4643	6620	5226	4841	6234	5574	7258	6862	4337	5755	4238	5011	8215	6689	5190	5553	3913	4247	5655	4114	8364	5351	10341	6287	5826	5201	7417	9746	7597	10024	7152	5084	4934	4038	4212	5170	5818	3912	4958	8407	4818	5039	6556	5187	5743	4706	4158	4400	5201	9387	4190	3816	4020	3688	6610	6510	4133	3845	4378	4282	4354	6810	5333	5958	4403	5600	5020	6435	7703	5710	5930	4824	7030	8108	6478	4827	4684	3291	4385	5000	5158	6476	3727	4082	3396	4017	3806	3814	4690	4897	4308	5148	3415	3349	7257	4171	4689	3642	4097	4710	5139	6307	5440	4555	5255	5008	5092	3428	5359	5349	4817	5527	5577	4825	5380	4421	4206	5070	7068	7232	6352	6255	6109	7289	6852	6326	5460	12366	8637	11910	13454	0	0	7378	10976	4532	4927	6510	7253	4823	5418	4194	4301	3520	6045	5558	6182	3919	5934	5070	4031	6209	6180	5150	7307	5650	7986	3618	7593	6199	5651	4673	5185	4425	4807	5704	6195	4106	4626	3640	3413	5753	3656	5228	6295	4749	3919	4270	3282	3886	4699	5968	3658	4581	4971	4521	5672	4613	5947	5151	5925	7104	6038	5055	5757	5178	5334	6868	5803	5788	7224	3970	6958	3981	4979	5368	4875	5821	5390	4855	8943
5396	4171	3656	4132	4758	4058	4063	6371	4421	5665	4211	4668	4441	4168	4184	5093	4755	5185	7152	6588	4670	6102	6742	7184	2970	4648	3808	4414	5611	4954	5076	5432	3970	5236	2962	4512	4414	5863	7855	4854	6645	6354	4794	5654	4501	6291	4927	3229	5947	3794	3607	4518	5001	4710	4821	3740	4814	4028	5404	5652	6212	5470	5722	4331	2879	4894	6759	4233	3846	5340	7928	7020	6908	7070	9462	8232	5213	5158	7709	8281	6078	6613	9673	7903	7326	6461	6918	8809	4463	5457	7103	6047	5151	7472	5917	8002	6979	5340	6379	4546	7304	9410	6942	5681	5584	4306	4448	6985	4676	9728	5609	12060	8863	6726	5514	8125	9903	8379	10431	7891	5172	5034	4419	4853	7093	6471	4488	5167	8731	5015	5190	6558	5200	7283	5937	4711	4740	5577	9979	5435	3858	4033	3789	7926	6725	4181	4358	4891	4628	4458	7934	6182	6175	6667	5831	5144	6502	8001	6631	6205	5430	7131	8505	6728	5065	4916	3679	4628	5578	5622	6590	3855	5394	4338	4202	4552	3823	5102	5274	6726	5464	3777	3975	7302	4632	4826	3904	4099	4764	5396	6590	6650	4588	5449	5736	5497	3526	6307	5671	5199	5645	5902	4827	5954	4904	4363	6289	7210	7738	7897	6649	6336	7444	8444	7780	5676	13142	11402	14351	14624	0	0	7382	0	5537	5842	7572	8934	5125	6023	4823	4960	3737	6186	5592	7974	4070	6479	5661	4209	6731	6933	5742	7722	5652	7988	3660	7749	6340	6761	6317	6061	4495	5006	6968	6489	4381	5028	4199	3692	5975	3769	5643	6558	4966	3933	4638	3788	4141	5297	6159	4823	5474	5083	4627	6494	5159	6103	6288	6514	7541	6118	5378	7162	5965	5984	7090	6430	6300	7277	4140	7423	4013	5197	5736	5510	6455	5399	5230	9513
5912	4483	3735	4204	5540	4252	4148	6374	5258	5905	4297	4928	4525	4324	4530	5445	4939	6279	7193	6896	5096	6302	7282	7316	3756	4668	4142	4617	5615	5589	5181	5564	4142	5405	3780	4522	4921	5966	7912	4942	8265	6852	5005	5831	4588	6407	5398	3848	6023	4673	3910	4581	5127	5046	5905	4045	5112	4659	5691	5683	6293	6091	5738	7945	3490	5633	6829	5215	4080	5370	8148	7531	7444	7335	14775	8577	6933	5598	7902	9003	7067	6736	10034	8496	7475	7995	6975	9474	4750	6785	7472	6451	5354	7581	6011	9196	7327	5636	6957	5881	7423	9478	7590	8601	6128	4398	4651	7093	5192	10446	6081	12211	9863	7221	5838	8205	9974	8530	12340	8252	6319	5072	5081	5737	7910	6606	5042	5407	9100	5755	6769	6715	6177	9451	5964	5211	4887	5657	10075	5747	4166	4234	4649	8131	7570	4294	4551	5086	4679	4796	8729	6748	6867	6936	5937	5778	6872	8045	6728	6268	5880	7490	9302	6936	5083	5054	4163	4983	6367	5786	6944	4061	5453	4751	4257	4822	4580	5324	6161	7400	5616	4443	5050	7377	4846	5562	4189	6240	5207	5404	7801	7351	5356	5657	6261	6019	4167	6722	6247	5521	5721	6358	5315	6019	5407	4481	7540	8220	8104	8318	7233	7499	7627	8616	7783	6410	13368	11986	0	0	0	0	8928	0	5848	6376	7687	9037	5228	7166	6110	5140	4069	6883	6354	8013	4258	6685	7261	4323	6741	7288	5778	7943	6164	8966	3822	8071	7939	7046	6575	6094	4900	5836	7011	6530	4454	5527	4410	3776	6053	4254	7197	6746	5605	4233	4644	4360	4253	6893	6210	7231	5810	5491	4722	7862	5312	6538	6575	6540	7916	7015	5641	7559	6035	6468	7580	6745	7002	7918	5148	7930	4179	5494	5846	6205	6843	5969	5411	9992
6720	4869	3770	4459	6160	4574	4198	6739	5464	5912	4363	4954	4792	4373	4594	6512	4942	6994	7243	7548	5347	6379	8089	7358	4337	5050	4413	4952	5779	5828	5682	6396	4622	6008	4042	4535	5183	6503	8070	5487	8465	6991	5111	6523	4641	6827	5890	4083	6682	5473	3992	4659	5179	5436	7098	4167	5130	5599	5850	6053	6402	6157	6304	8187	3769	5943	7047	5255	4508	6308	8313	9209	8086	8202	0	8619	8201	5798	8556	9173	9932	6802	10059	8830	7898	9123	7122	9653	4903	8202	8052	6583	5359	8077	6367	9373	7395	5902	7527	6119	7471	10073	10120	8734	7932	4817	5050	7144	5577	11156	6667	12747	11055	7782	6218	9582	10543	8920	13118	9262	6552	5473	6256	5878	7977	7823	5305	5422	10268	6139	7886	6807	6182	9543	6360	5306	6379	6351	10763	6806	4806	5271	5334	8266	7799	4425	4671	5203	4911	4951	8954	7094	7340	7146	6184	6210	6950	8710	7738	6344	6198	7595	10344	7435	5377	5153	4910	5062	6527	6160	7084	4489	5622	5032	4381	5338	4683	5386	8148	7814	5644	5288	5169	7652	4850	6051	4519	6702	5261	5881	8353	7830	5359	6157	6697	6419	4630	6864	6727	5882	5807	6445	5344	6082	5721	4965	7584	8673	9527	9552	7542	7660	9225	8740	7932	6538	0	14279	0	0	0	0	9698	0	6358	6411	8914	9046	5547	7306	6555	6748	5009	7339	7595	8437	4462	7436	7681	4597	8069	7808	6011	9558	6727	9157	5322	8150	8036	7191	7333	6292	6482	6074	7614	6555	5569	5552	4581	4071	6068	4693	8358	6926	5987	4785	5794	6222	5734	9216	6318	7343	5937	5949	4783	7901	5574	7061	6613	7536	8343	8474	5833	7795	6695	6533	7917	6976	7624	8202	6823	8355	4631	6650	6166	6355	7054	6189	6148	11463
6777	4966	4143	4840	6356	5221	4199	6765	5545	6055	5044	4977	4877	5104	4827	7697	5351	7226	7285	7751	5830	6487	8384	7415	4512	5182	4542	5314	5791	5883	6047	6928	4892	6678	4067	4640	7883	6667	8200	5555	9115	7485	5438	6545	4911	6983	6302	4530	6856	5510	4279	5004	5221	5696	7158	4276	5458	6612	6172	6176	6671	6279	6710	8438	3776	6288	7168	7981	4571	6924	8890	9393	9812	8597	0	9295	8388	5925	8612	10962	10008	6938	11183	8863	7981	9171	8196	9674	5443	8601	8364	7772	5472	8436	6619	9668	7531	6488	7764	6520	8669	11053	10319	9166	8112	6115	5093	7279	5883	11551	6836	12897	11790	8164	6908	9976	11181	8956	13585	11324	7582	5899	6395	6874	9065	8383	5377	6368	12388	6323	7971	7597	7751	9662	6612	5555	6964	8103	11117	6874	4843	6028	5414	8507	7850	4816	4846	5643	5341	5457	9125	7271	8480	7147	6619	6875	7174	8766	7850	6431	6989	8490	10440	7773	7154	5398	4962	5067	6984	6171	7115	5858	5670	5752	5128	5781	4698	5536	8803	8239	5741	5343	5994	7709	5974	6566	4651	7136	5437	6165	8591	8624	5914	6311	6834	6986	4697	7433	7016	6841	5906	6594	5879	6123	5800	5044	7721	9418	9685	9585	8312	8701	9408	8949	7958	8916	0	0	0	0	0	0	9735	0	8987	7964	9582	9175	6775	7614	7026	7572	5729	8524	7630	8579	5227	8790	7788	4758	10121	8502	6429	9623	6828	9699	5555	8198	8199	7462	7704	6781	6519	6168	7892	6588	5655	7303	4615	4142	6382	4872	8548	7098	5995	5033	5907	6549	6032	10203	6372	7557	6339	5951	6053	7989	5742	7262	7248	7688	8518	9232	5849	7908	7209	6622	8019	7320	7727	8363	7134	8599	4971	7616	6510	7258	7137	6433	6243	11843
