Trial_1	Trial_2	Trial_3	Trial_4	Trial_5	Trial_6	Trial_7	Trial_8	Trial_9	Trial_10	Trial_11	Trial_12	Trial_13	Trial_14	Trial_15	Trial_16	Trial_17	Trial_18	Trial_19	Trial_20	Trial_21	Trial_22	Trial_23	Trial_24	Trial_25	Trial_26	Trial_27	Trial_28	Trial_29	Trial_30	Trial_31	Trial_32	Trial_33	Trial_34	Trial_35	Trial_36	Trial_37	Trial_38	Trial_39	Trial_40	Trial_41	Trial_42	Trial_43	Trial_44	Trial_45	Trial_46	Trial_47	Trial_48	Trial_49	Trial_50	Trial_51	Trial_52	Trial_53	Trial_54	Trial_55	Trial_56	Trial_57	Trial_58	Trial_59	Trial_60	Trial_61	Trial_62	Trial_63	Trial_64	Trial_65	Trial_66	Trial_67	Trial_68	Trial_69	Trial_70	Trial_71	Trial_72	Trial_73	Trial_74	Trial_75	Trial_76	Trial_77	Trial_78	Trial_79	Trial_80	Trial_81	Trial_82	Trial_83	Trial_84	Trial_85	Trial_86	Trial_87	Trial_88	Trial_89	Trial_90	Trial_91	Trial_92	Trial_93	Trial_94	Trial_95	Trial_96	Trial_97	Trial_98	Trial_99	Trial_100	Trial_101	Trial_102	Trial_103	Trial_104	Trial_105	Trial_106	Trial_107	Trial_108	Trial_109	Trial_110	Trial_111	Trial_112	Trial_113	Trial_114	Trial_115	Trial_116	Trial_117	Trial_118	Trial_119	Trial_120	Trial_121	Trial_122	Trial_123	Trial_124	Trial_125	Trial_126	Trial_127	Trial_128	Trial_129	Trial_130	Trial_131	Trial_132	Trial_133	Trial_134	Trial_135	Trial_136	Trial_137	Trial_138	Trial_139	Trial_140	Trial_141	Trial_142	Trial_143	Trial_144	Trial_145	Trial_146	Trial_147	Trial_148	Trial_149	Trial_150	Trial_151	Trial_152	Trial_153	Trial_154	Trial_155	Trial_156	Trial_157	Trial_158	Trial_159	Trial_160	Trial_161	Trial_162	Trial_163	Trial_164	Trial_165	Trial_166	Trial_167	Trial_168	Trial_169	Trial_170	Trial_171	Trial_172	Trial_173	Trial_174	Trial_175	Trial_176	Trial_177	Trial_178	Trial_179	Trial_180	Trial_181	Trial_182	Trial_183	Trial_184	Trial_185	Trial_186	Trial_187	Trial_188	Trial_189	Trial_190	Trial_191	Trial_192	Trial_193	Trial_194	Trial_195	Trial_196	Trial_197	Trial_198	Trial_199	Trial_200	Trial_201	Trial_202	Trial_203	Trial_204	Trial_205	Trial_206	Trial_207	Trial_208	Trial_209	Trial_210	Trial_211	Trial_212	Trial_213	Trial_214	Trial_215	Trial_216	Trial_217	Trial_218	Trial_219	Trial_220	Trial_221	Trial_222	Trial_223	Trial_224	Trial_225	Trial_226	Trial_227	Trial_228	Trial_229	Trial_230	Trial_231	Trial_232	Trial_233	Trial_234	Trial_235	Trial_236	Trial_237	Trial_238	Trial_239	Trial_240	Trial_241	Trial_242	Trial_243	Trial_244	Trial_245	Trial_246	Trial_247	Trial_248	Trial_249	Trial_250	Trial_251	Trial_252	Trial_253	Trial_254	Trial_255	Trial_256	Trial_257	Trial_258	Trial_259	Trial_260	Trial_261	Trial_262	Trial_263	Trial_264	Trial_265	Trial_266	Trial_267	Trial_268	Trial_269	Trial_270	Trial_271	Trial_272	Trial_273	Trial_274	Trial_275	Trial_276	Trial_277	Trial_278	Trial_279	Trial_280	Trial_281	Trial_282	Trial_283	Trial_284	Trial_285	Trial_286	Trial_287	Trial_288	Trial_289	Trial_290	Trial_291	Trial_292	Trial_293	Trial_294	Trial_295	Trial_296	Trial_297	Trial_298	Trial_299	Trial_300
1838	2324	1713	1703	2104	3249	2097	1840	2060	1848	1689	1824	3007	2450	2908	1702	2574	2097	2196	1712	2627	1849	2240	2229	2065	1710	1699	1844	2248	3206	2067	2076	1976	1695	1709	1985	2187	2566	2374	1957	2065	2071	1839	2376	1937	1710	1687	1842	1977	2109	2239	1701	2101	1690	2120	1808	1827	1700	1697	1713	1832	2246	1702	2314	1817	2368	1689	1713	1699	1853	2237	1839	1690	2321	1709	2107	1702	2383	1983	1823	1701	1935	2203	2076	1705	2204	2064	2079	1837	2095	2184	1808	1838	1810	2071	1941	1938	2594	1839	3557	2074	1975	2321	1987	1837	2715	1825	2120	1708	1846	2074	2776	1978	2075	2628	3142	2380	1964	1823	1947	2370	3167	1833	2574	2367	1700	1811	2503	2455	1820	2346	1851	1972	1986	2891	2247	2755	2594	2583	2102	3507	2209	1941	1937	2895	2500	2572	3346	1816	1813	2626	1983	1843	2620	2058	1696	2762	1688	2517	1964	1689	3628	2094	2244	1848	1934	3590	2493	2363	1687	2071	2997	2353	2607	2219	2440	3017	2737	2224	1833	3390	2726	2249	2742	1945	2226	5389	2351	2738	2867	3846	2329	2193	3126	3432	4148	2480	3206	2109	4612	1947	2741	2222	3606	1812	2484	2773	3427	2240	2489	2986	2584	1962	1852	4823	1692	3896	2077	2385	1940	4033	3139	2506	4751	2827	3428	1933	3381	3528	1967	3040	1959	2583	1977	1824	3044	2198	1970	2094	2363	2236	2846	3600	2206	2778	1846	1977	2084	2461	2627	2573	1979	2513	3009	1833	3384	3126	2515	2246	3022	2485	2358	3163	2342	5078	1818	4001	2848	2350	3673	3980	2876	1704	4139	2098	1827	3655	1838	2106	3675	1810	1699	1691	1829	2339	2079	3496	2211	2324	3230	1956	2442	3248	2069	3218	2193	2463	2078	1933	5776
2063	2899	2113	2235	2239	3302	2244	2252	2333	2107	1933	2224	3176	2608	3034	1821	2703	2853	2479	1955	2896	2116	2699	2344	2446	2499	2334	2880	2910	4235	2074	2103	2477	2220	1950	2748	2339	2576	2913	3666	2910	3028	1952	4103	2310	2207	1943	2088	2099	2236	2871	1825	2108	2066	2984	2354	1976	1942	1823	2058	2386	2728	3085	2455	2581	2457	2373	2605	2226	2338	2644	2354	1709	2369	2771	2496	2609	3006	2373	2102	2116	2059	2368	2210	2116	2244	2241	2116	1951	2450	2908	2599	2069	2253	2831	2370	2438	2957	1843	3680	2456	1981	2483	2193	1841	2986	2834	2832	2210	3105	2442	3075	2065	2190	4400	3484	2861	1972	2248	2073	2702	3274	2319	2864	2884	2570	2953	2574	2707	2253	2376	2636	2311	2353	2892	2703	3146	4306	2613	2826	3509	2478	3226	1939	3099	2908	2824	3970	2209	2342	3331	2058	2605	2730	2487	2064	3633	2984	2586	2092	2962	3716	2778	3212	2321	2698	3742	3338	3678	2495	2338	4057	2997	2643	2488	3369	4083	3214	3278	2115	3945	3389	4310	2987	4057	3032	6265	3991	3017	3762	4121	2503	2242	3721	3779	4237	3212	3513	3093	4893	2610	4209	3928	3622	2116	3694	3210	4528	3008	2956	3434	2589	3352	2445	5603	1836	6101	2887	2891	3218	4189	3537	4433	5832	2988	4118	2977	3595	5292	2772	3529	2468	2774	2205	3477	3291	2711	2471	2207	3084	3540	3421	3941	2466	2872	3125	2114	3899	3230	2878	2640	4226	2979	3794	3437	3421	3599	4083	2963	3074	4488	3096	3272	3098	5822	2861	4336	2950	4649	5023	4703	3506	2078	5489	3657	3167	4178	3216	2624	4740	1823	2764	2967	2190	2358	2696	3615	2473	2352	4007	3207	3471	3940	3208	3810	2463	3210	2198	3259	6132
2360	3757	2756	2249	2250	3520	2382	3208	2367	2318	2379	2331	3233	2698	3553	2091	3076	2968	2895	2316	3643	2235	2836	2743	2744	2501	2648	3033	3031	4373	2829	2334	2576	2365	1974	2778	3092	2826	3536	3916	3395	3130	2349	4262	2508	2369	2212	2647	2455	2513	3162	2066	2738	2206	3264	2723	2064	1975	1937	2103	2484	2888	3159	2606	2749	2580	2516	2851	3042	2601	2745	2757	2194	2459	3232	2852	2717	3244	2830	2635	2188	2199	2510	2567	2768	3171	2343	2621	2226	2608	3005	2609	2339	2470	3283	2565	2600	2991	1941	4043	3221	2461	3021	2766	1844	3130	2858	3491	2241	3172	2569	3135	2097	2204	4463	3738	2879	2497	2504	2185	2719	3547	2379	2986	2955	2636	2970	2609	2767	2627	2987	3138	3402	3089	2974	3647	3263	4714	2645	3292	4243	2735	3496	1949	3472	3100	3160	4179	3397	2727	3369	3159	2648	3121	2572	3275	3817	3460	2607	2448	2985	5082	3280	4365	3230	3522	4399	3526	7269	3244	2713	4189	3858	2853	3280	4041	4519	3527	4376	3017	5053	3421	5086	4923	5146	4115	7405	4150	3513	4130	4615	2607	2750	3991	3975	4775	4466	3534	4590	6332	2744	4652	6379	4367	4073	3793	3730	4543	3845	3006	4445	2644	3507	2582	6156	5676	6755	4638	2946	3468	4192	4131	6179	6303	4585	4373	3880	4498	6161	3247	3734	2606	3607	3786	3864	3458	3238	2595	2896	4738	4498	3642	4004	2988	3132	4667	2605	4519	3239	3116	3371	4616	3946	4099	3485	3496	4795	5173	3675	3589	4999	3275	3928	3273	5936	2875	8474	4064	5811	5346	5315	3919	3334	5739	4368	5150	5674	3462	2650	4814	2506	4582	3237	4439	2603	4037	3910	3637	2912	6316	3741	4230	4148	3304	3980	3430	3226	2332	3426	6769
2515	3983	2947	2773	2971	3591	2824	3301	2865	2569	2599	2376	3767	3223	3883	2496	3218	3414	3363	3271	4004	2692	2886	2839	3112	3098	2711	3087	3101	4398	3804	2781	2632	2512	3544	2819	3282	3028	3547	4764	3406	3248	2355	4407	2616	3367	2353	2776	2755	3268	3499	2903	3002	2336	3469	2726	2066	2107	2210	2482	2722	2948	3226	3339	3207	2716	3397	2900	3651	2640	2850	3120	2202	2621	3510	3288	2735	3537	2834	2753	2195	2860	3007	2750	2878	3633	2355	2913	2632	2629	3094	2856	2459	2960	3415	2819	2714	3248	1958	4542	3279	2509	3335	2834	2316	3211	3223	3717	2332	3433	3231	3301	2229	2250	5126	3933	2951	2876	2781	2319	2738	3665	2443	3295	3075	3074	3392	3894	3368	4500	3150	3419	3654	3989	3043	3922	3659	5519	3638	3407	5275	4273	3914	3382	3624	3261	3358	4185	4205	2866	4567	3866	2914	3610	2984	3590	4269	4321	3894	3209	3029	5424	3565	4748	3866	4409	5736	4668	7919	3491	3978	4360	4811	3118	4118	4500	5225	3623	5201	3602	5933	4361	5491	6715	6303	4401	7951	4266	3665	4780	5145	5149	3377	4011	4234	4966	4494	3651	5382	7401	3376	5217	7494	4451	6319	5061	4021	4626	3864	4490	4447	2732	3819	3281	6861	7286	7158	5472	3018	3714	4616	4393	6192	7513	6038	5057	3927	4697	7309	3648	3969	2729	3678	4658	3928	3659	4000	3106	3612	5053	5253	3717	4429	3526	3803	5443	2725	4651	4023	3490	3381	4967	4289	4689	3779	3654	5849	5452	3689	5734	6233	4550	4006	3416	7143	3264	8501	5123	6618	6114	5346	4160	3871	5752	4385	5278	5874	3606	2701	6027	2590	4651	4292	5169	3212	7096	3983	3985	2992	6619	3814	4945	10606	3796	4147	3641	3685	4143	4661	6780
3216	4014	2960	2886	3262	3623	3118	3930	2914	2856	2898	2477	3855	3239	4617	3330	3546	3436	3536	3790	4283	2726	2990	3121	3385	3261	3011	3099	3461	5044	4292	2851	2951	2991	3611	2836	3661	3383	3931	5318	3765	3597	2361	4807	2908	3857	2470	2968	3228	3347	3508	3232	3085	2848	3721	2766	2599	2744	2225	2575	2850	2979	3263	3600	3219	2994	3420	3042	3765	2832	3160	3299	2460	2773	3715	3544	2951	3658	2848	3080	2444	3149	3031	3391	3547	3764	2369	2962	2970	3432	3304	2946	2721	3406	4257	3044	3121	3298	2212	4556	3301	2834	3350	3039	2384	3250	3616	4362	2887	3624	3295	3816	2615	2590	5667	4141	2980	3268	2857	2375	3253	3942	2908	3364	3462	3157	3490	4363	4024	4594	4187	3670	3689	4046	3106	4101	3951	6561	3737	3953	6372	5592	4206	3552	4884	3651	4154	5339	4298	2909	4701	3989	2968	4392	4205	3894	4911	4494	4061	3645	3271	5487	3667	4953	4016	5108	6009	4997	8278	6230	4033	4547	5487	3671	4320	4558	5617	4827	5607	3950	6078	4826	6643	7976	6515	5556	8918	4916	3777	7866	6118	6112	4591	4178	4794	6635	5742	4985	8935	8872	3626	5514	8022	4687	6322	5579	4042	4666	4059	4524	4489	3107	3927	4696	6863	7346	7446	5796	3120	3926	5060	4542	6885	7980	6088	5104	4793	5421	8257	3854	4315	3902	3818	4723	4147	4328	4426	3376	3878	5441	5422	3751	5138	3622	4408	5800	2971	4865	4866	3540	4185	5180	5257	5065	4760	4557	6245	5598	3942	6119	6422	5900	4617	3791	7366	4264	12573	5963	9809	6493	6091	4898	5802	6172	5835	6602	6251	3803	3364	6429	2992	4896	4437	6203	3302	7211	4210	4232	4814	7873	4204	5124	11431	5083	4993	3920	5547	4841	4814	6838
3692	4278	3485	3855	3362	3690	3381	5059	3552	2990	3088	2970	4125	3355	4799	3384	3805	3713	3559	3921	4954	3879	3159	3563	3419	3542	3468	3130	3772	5205	4418	4011	3400	2999	4110	3001	3762	3398	4246	5574	3916	3780	3129	4822	3251	3876	2622	3304	3378	3931	3541	3282	3161	2907	4244	3479	2649	2819	3926	2722	2851	3096	3809	4172	3633	3148	3433	3351	3875	3090	3361	3362	3306	3407	3853	3878	3405	4187	3255	3122	2462	3162	3288	3550	3625	3911	2446	3778	3348	3478	3380	3587	3043	3459	4273	3398	3135	3388	2242	4819	3302	2979	3750	3041	2474	3347	3760	4496	3002	4147	3640	4234	2726	3405	6222	4288	2997	4176	2862	2890	4568	4044	4123	3427	3722	3910	3937	4407	4047	5277	4371	4043	3723	4120	3812	4128	5789	6837	3856	5436	6557	5992	4246	3607	5072	4525	4510	5438	4336	3639	5723	4379	3416	5113	5513	4168	5355	5832	4191	3887	3363	5614	5112	6001	4232	5980	6061	5024	8487	6851	4151	4561	6164	3681	7147	5297	5698	4959	5973	4209	6165	4831	6891	8243	7295	6093	9353	5155	4261	9087	6135	6134	5233	4929	5452	6686	7427	6597	9160	10205	5060	5571	8134	5168	6575	5863	4620	4811	4141	4568	4906	3265	4252	5220	8305	7753	7554	6650	3390	4970	5661	5565	7926	8197	8522	5427	5528	5638	8877	4160	5030	5865	6052	4837	4850	5519	4434	4638	4264	5624	5575	4112	5139	3755	5127	6068	3103	5269	5007	3786	4552	5387	6019	5950	6369	5417	7085	5812	4829	6261	7445	6445	6034	3877	7394	6050	13109	6114	9943	6732	7269	5275	6001	6497	5892	6951	6617	4304	3533	7432	3093	5034	4759	6496	3368	7234	4571	5228	5871	9120	6156	6741	11624	5326	5164	5827	6240	5087	6463	7111
3976	4401	3656	3898	3674	4068	4113	5150	4115	3239	3268	3517	4452	3659	5233	4275	3987	3923	4250	4616	4977	3921	3855	3592	3914	3544	3620	3632	3975	5427	4510	4013	3500	3515	4797	3125	3810	3820	4500	5732	3927	3942	3396	4932	3437	3882	2623	3483	3617	3977	4165	3538	3263	3075	4292	3717	2834	2865	4204	2729	3502	3217	4324	4186	3817	3482	3743	3735	3981	3248	3661	3593	3307	3812	4001	4033	3564	4203	3391	3153	2861	3367	3638	3875	3680	4066	2846	3943	4030	3502	3610	3731	3073	3614	4395	3415	3228	3413	2949	5469	3387	2994	4236	3256	3210	3383	4379	4543	3093	4275	3742	4454	3329	3461	6411	4499	3341	4455	3237	2897	4698	4401	4410	3558	3785	4308	4168	4865	4174	5607	4464	4099	3803	4619	4714	5057	6625	7137	3910	6297	8007	6093	4645	3811	5112	7676	4664	5639	5916	3729	5824	4394	3544	5745	6002	4436	5448	6783	4542	3988	4176	5800	5401	9209	4253	6529	6203	6526	9276	6900	5316	5554	7640	3789	8420	5498	6484	5423	6346	4694	7315	5160	7389	8662	8469	8487	10530	5199	5291	9492	6606	7590	5623	7356	5932	7035	9521	7314	9277	10339	5379	6052	8691	5499	6893	5905	4764	5532	4879	5669	5096	4182	4489	5626	8952	8532	7821	6801	3763	5389	6235	5869	8170	8719	9507	5804	5548	5716	9664	4659	5345	5926	6291	7764	5946	6729	5291	5744	4417	5822	5678	4675	5338	3939	5455	7395	3633	5350	5174	3942	4659	5882	6029	6270	6719	6532	7301	6227	5489	6662	7505	6683	7295	4058	7784	7522	13318	6321	10971	7409	9786	5407	9005	7313	7853	8580	6713	5300	3660	7595	4331	6438	4974	6936	3613	8355	4958	5313	6022	9227	6182	8056	11947	5592	5585	6920	6740	5179	7568	7413
4746	4783	3729	4359	4373	4339	4174	5365	4119	3246	3331	3669	4517	4235	5353	4456	4106	4105	4336	4637	5145	4049	3982	3693	3925	3598	3634	4026	4055	5912	4712	4166	3916	4500	5229	3353	3855	3864	4507	6278	4081	4261	3642	5334	3562	4339	2859	3929	3720	4128	5121	3861	3563	3122	4402	3814	3159	3037	5068	2881	3510	3495	5462	4245	3938	3529	4231	3762	4193	3284	3666	3695	3354	3946	4402	4148	4061	4303	3687	3551	3147	3369	4060	4100	3841	4069	2885	4410	4049	3713	3614	4009	3625	3677	4432	3500	3298	4418	3345	5776	3458	3373	4420	3674	3269	3471	4930	4726	3407	4395	4717	4772	3519	3465	6513	4519	3951	4645	3391	3075	5052	4502	4531	4196	3874	4381	4281	4980	4256	6241	4627	4488	3908	4869	4744	5899	8186	7482	4845	6778	9561	6854	4922	4278	5213	7793	5007	5741	6326	3901	6206	4519	3619	6224	6778	4981	5900	7002	5032	4532	4212	6034	5416	9347	4406	6753	6286	7359	11145	7175	5543	6220	7873	4176	8769	5533	7146	6193	6716	5864	7806	5293	8358	9161	8609	8715	10742	5443	5329	10920	6848	7747	5837	8448	6370	7516	9674	9080	10012	12012	5398	6118	9053	5715	7150	5949	5455	5621	5978	5695	5191	4389	4916	6841	9157	9751	8210	7682	4082	5761	6853	6972	11150	9045	10017	9047	6066	5965	9912	5423	6669	6026	6801	8238	6801	7639	6134	5826	4720	6701	5774	5140	5387	5693	5689	7533	5454	5416	5301	3984	4910	6333	6224	6296	6809	7439	7525	6945	5770	7322	9172	7140	8782	5956	7932	7635	14248	6974	11632	8741	10218	5420	9710	7779	10162	8724	6763	5387	3687	7633	4448	6791	5391	8502	4256	8538	5753	5461	6411	9820	6692	8101	12451	6071	7766	8115	8991	5721	8720	7613
5325	4882	3978	4508	4616	4621	4466	5421	4125	3587	3400	3916	4744	4780	5626	4709	4191	4282	4432	4874	5213	4148	4027	4456	4062	3846	3918	4193	4254	6358	4980	4405	3918	4651	5625	3738	4294	4150	4813	6425	4405	4315	3916	5675	4165	4406	2869	4315	3983	4248	5362	3864	3657	3133	4599	3867	3162	3480	5084	2995	3753	3683	5698	4268	4395	3535	4519	3950	4714	3412	4245	3713	3494	4009	4443	4588	4106	4433	3909	3758	3286	3511	4432	4230	4037	4847	2904	5041	4111	3875	3990	4136	4049	3988	4680	3542	3463	4454	3366	5952	3516	3637	4493	3788	3369	3549	5318	4831	3494	4621	5326	5381	3971	3998	6766	4900	3974	4837	3419	3219	5292	4760	4567	4338	3905	4416	4596	5241	4836	6676	4664	4532	4120	5918	4867	5941	8739	7691	5446	6782	10289	6894	5353	4645	6732	8196	6464	6598	7110	4998	6943	4741	4809	6274	7491	5112	6566	7031	5070	4670	4368	6277	5679	9502	4526	7966	6815	7573	12575	7678	7025	6525	9684	5223	9395	5956	7286	6210	7203	6202	7848	5385	9085	9443	8781	8910	12328	6692	8698	10948	7809	9870	6877	8519	7524	8448	9773	9116	10137	12122	7167	6250	10156	5745	7166	6339	5596	5662	6012	7396	5993	4824	5545	7700	10080	11930	8521	7748	5242	6457	7124	7664	12015	9669	11137	9510	6508	7570	11352	6608	6718	6299	7448	8415	6958	8164	6245	5856	4921	6832	5873	6001	5573	5786	6041	7868	5753	5435	5847	4029	5465	6426	6376	6462	7128	7546	7603	7418	6660	7645	9563	7420	8809	6781	9416	8262	14390	7135	11840	10561	10384	5564	11089	7899	10335	9223	7120	5520	4372	7637	5812	7118	5548	8521	4277	9542	6315	6026	6564	9868	6737	9334	12698	6335	8092	10761	9000	5853	9159	7940
5621	5164	4120	4792	4635	4676	4599	5515	4238	3761	3406	4707	4994	5011	6354	5091	4245	4323	4449	4901	5287	4228	4252	4747	4240	4071	3927	4288	4395	6817	5042	5183	4102	5043	5635	3877	4436	4924	5326	7171	5049	4499	3977	5999	4330	4484	4543	4630	4176	4509	5426	3905	3731	3627	4739	3889	3624	3603	5201	3103	4028	4057	6148	4598	4787	3671	4837	3998	4838	4007	4662	4248	3752	4108	4636	4594	4229	5417	4456	3990	3364	4024	4437	5032	4109	4934	3345	5231	4266	3933	4016	4229	4270	4183	5428	3587	3732	5457	3368	6425	3627	3741	4535	4066	3420	3648	5440	5181	3850	4746	5790	5519	4404	4076	7640	4973	4021	4906	3595	3371	5577	4789	4829	4485	4180	4470	4897	5304	4883	7231	4831	5206	4977	6074	4888	6176	9811	7788	6321	6921	10303	7086	5364	5122	6831	8768	8552	7068	7365	5455	7249	5203	4938	6792	7815	5828	7006	7607	5574	5227	4371	6839	6925	10413	4933	9242	7189	7982	13152	7694	7986	6636	9770	5238	10584	6219	7736	6385	7234	7253	8290	6410	9756	9510	9110	9954	14771	7984	9759	11862	8293	10249	7731	9582	7607	9648	10057	10034	11090	12448	8369	6728	10481	7021	7533	6422	5622	5893	6852	7486	6347	6145	5704	9053	11822	12465	8815	9144	5327	6740	7383	8329	12556	9903	11143	9687	7682	7874	11582	7275	6783	7129	7694	9226	7066	8361	6360	6818	5591	10344	5953	6226	5762	6158	6887	8601	5962	6109	6421	4773	5616	6751	6377	6740	7514	7777	8648	7671	7117	7996	9819	7681	9624	7534	9723	8627	0	7196	11910	11328	10405	5796	11161	8384	10371	9306	7884	5743	4960	8005	5965	7605	5737	8663	4577	9645	6635	7368	7886	10358	7478	10140	13868	7360	8850	10832	9731	7209	9435	8112
