Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	43	57	0	40	0	122	3.15535951009952	1	0	0
2	1	66	75	1	37	0	120	2.19337560702115	0	0	0
3	1	20	114	0	45	0	122	6.72394093207549	1	0	0
4	1	18	38	1	43	0	120	7.11517854197882	0	0	0
5	0	21	134	0	50	0	120	1.39580286492128	1	0	0
6	1	118	144	1	48	0	122	4.67194412904792	1	0	0
7	1	91	106	1	46	0	122	5.05539002304431	1	0	0
8	0	127	4	0	44	0	120	2.27657171699684	1	0	0
9	0	6	57	1	42	0	120	1.84571507794317	1	0	0
10	0	5	36	1	40	0	120	6.14503870601766	1	0	0
11	1	112	30	0	38	0	120	6.76785030600149	0	0	0
12	0	31	33	1	44	0	120	6.32526937697548	1	0	0
13	1	118	140	0	42	0	122	1.91827463300433	1	0	0
14	0	78	106	1	40	0	120	1.03021512599662	1	0	0
15	1	109	16	0	38	0	122	0.841779632028192	1	0	0
16	0	64	24	1	37	0	120	1.67795132601168	1	0	0
17	1	109	17	1	35	0	122	4.55070581508335	1	0	0
18	0	37	51	1	33	0	122	2.31070440390613	0	0	0
19	1	68	145	0	39	0	120	5.47875203401782	0	0	0
20	1	75	131	0	44	0	120	47.1191062870203	0	0	0
21	0	120	10	0	49	0	122	0.520601265016012	0	0	0
22	1	103	48	1	55	0	122	0.856338144978508	1	0	0
23	0	62	21	0	53	0	120	4.16394594404846	1	0	0
24	0	109	77	0	51	0	120	1.80119439598639	1	0	0
25	0	7	98	0	50	0	120	3.35040416696575	1	0	0
26	1	66	22	1	48	0	120	6.12544637802057	0	0	0
27	1	99	29	1	53	0	122	2.07687086600345	1	0	0
28	0	87	104	1	51	0	120	4.04622716200538	1	0	0
29	0	12	148	1	50	0	122	1.21661656908691	0	0	0
30	0	118	100	1	54	0	120	7.5017637310084	1	0	0
31	0	28	49	1	53	0	120	0.894923195010051	1	0	0
32	1	25	136	1	51	0	122	1.83919912704732	1	0	0
33	1	25	20	0	50	0	122	1.21936813998036	1	0	0
34	1	119	87	0	49	0	122	0.951515899971128	1	0	0
35	0	90	31	0	47	0	120	1.96597408899106	1	0	0
36	1	100	35	0	46	0	122	0.683928332058713	1	0	0
