Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	19	19	0	59	0	120	0.617792052013101	1	0	0
2	1	108	137	0	56	0	120	0.62945632301853	1	0	0
3	0	75	97	1	54	0	122	0.675636357016629	1	0	0
4	0	79	97	0	51	0	122	0.714963731006719	1	0	0
5	0	44	11	1	49	0	120	0.745148443995276	0	0	0
6	0	29	22	0	56	0	122	0.67377078597201	1	0	0
7	1	14	85	1	54	0	120	0.662008661980508	1	0	0
8	1	105	83	0	52	0	120	0.737361934006913	1	0	0
9	1	44	27	0	50	0	122	0.746086251980159	0	0	0
10	1	94	37	1	56	0	120	1.12984002497979	1	0	0
11	1	27	95	1	54	0	120	0.797301654005423	1	0	0
12	0	112	109	0	52	0	122	0.719631454994669	1	0	0
13	1	16	56	1	50	0	122	0.80035949498415	0	0	0
14	0	80	60	0	56	0	122	0.941630217974307	1	0	0
15	0	24	129	1	54	0	122	0.798207001003902	1	0	0
16	0	117	7	0	52	0	122	1.29169004500727	1	0	0
17	1	91	61	1	50	0	120	0.701001528999768	1	0	0
18	1	55	48	0	48	0	122	1.1822679489851	0	0	0
19	1	39	102	1	54	0	120	0.949535028019454	1	0	0
20	0	36	125	1	52	0	122	0.964843593013939	1	0	0
21	0	87	66	0	50	0	122	1.00329195297672	1	0	0
22	1	87	100	0	49	0	120	0.81729159198585	1	0	0
23	1	69	78	0	47	0	122	1.06907660601428	0	0	0
24	1	47	51	0	52	0	120	0.768284496996785	1	0	0
25	1	114	19	1	50	0	120	1.55923832498956	1	0	0
26	1	135	92	1	49	0	120	1.49336593298358	1	0	0
27	0	142	7	0	47	0	120	0.808040194009664	0	0	0
28	0	120	89	0	52	0	122	1.40414954902371	1	0	0
29	1	17	120	0	50	0	120	0.849754165014019	1	0	0
30	1	6	147	0	49	0	120	1.35597622400383	1	0	0
31	1	64	47	0	47	0	120	1.58023480101838	1	0	0
32	1	79	93	1	46	0	120	1.33882622901001	1	0	0
33	0	77	30	0	44	0	122	1.00302160298452	1	0	0
34	1	41	66	1	43	0	122	1.0558484570065	0	0	0
35	1	50	16	1	47	0	120	1.12371297099162	1	0	0
36	0	3	38	1	46	0	122	0.988584369013552	1	0	0
37	1	135	78	1	44	0	122	1.32976273301756	0	0	0
38	0	39	107	0	48	0	122	1.37041859401506	1	0	0
39	1	61	25	1	47	0	122	1.21709364900016	0	0	0
40	0	56	119	1	51	0	122	1.74140070498106	1	0	0
41	0	21	29	0	50	0	122	1.62171206000494	1	0	0
42	0	77	147	1	49	0	122	1.09019158099545	1	0	0
43	0	111	37	0	47	0	122	1.47612430001027	1	0	0
44	0	106	55	0	46	0	122	1.05084318801528	1	0	0
45	0	34	100	1	45	0	122	1.35416937002447	1	0	0
46	0	31	45	0	43	0	122	1.10535638601868	1	0	0
47	1	52	34	0	42	0	122	1.30677617399488	0	0	0
48	1	25	115	0	46	0	120	1.00297730599414	1	0	0
49	0	21	17	1	45	0	122	1.04909796599532	1	0	0
50	1	17	4	0	43	0	120	0.876710678974632	1	0	0
51	0	4	126	1	42	0	122	1.06802803199389	1	0	0
52	0	76	148	1	41	0	122	1.24176734301727	1	0	0
53	1	111	92	0	40	0	120	0.932686077023391	1	0	0
54	0	109	87	0	39	0	122	1.03796013101237	1	0	0
55	0	95	53	1	37	0	120	0.997809291002341	0	0	0
56	0	86	116	1	41	0	120	0.974204174010083	0	0	0
57	1	27	26	1	44	0	120	1.14888075200724	1	0	0
58	1	147	23	1	43	0	120	1.03683306399034	1	0	0
59	1	77	22	1	42	0	120	0.936706756008789	1	0	0
60	1	149	83	0	41	0	120	1.00741757798824	1	0	0
61	0	118	121	1	40	0	122	0.860933511023177	1	0	0
62	1	128	98	1	39	0	120	1.25704692400177	1	0	0
63	1	1	88	0	38	0	120	0.739497254020534	1	0	0
64	0	4	115	1	37	0	122	0.923930263990769	1	0	0
65	0	32	107	1	36	0	122	1.0682132760121	1	0	0
66	0	97	90	0	35	0	120	0.871048672997858	0	0	0
67	1	55	125	0	38	0	122	1.27366069998243	0	0	0
68	1	132	98	1	41	0	122	1.1486842299928	0	0	0
69	0	32	26	1	44	0	122	1.09979285299778	1	0	0
70	0	39	142	1	43	0	122	1.26899242799846	1	0	0
71	1	149	77	0	42	0	120	0.95144781601266	1	0	0
72	1	48	110	0	41	0	120	0.974813307024306	1	0	0
73	0	93	51	1	40	0	122	0.852925085986499	1	0	0
74	1	65	149	0	39	0	120	0.976601189002395	1	0	0
75	1	99	131	1	38	0	122	0.942335500993067	0	0	0
76	0	107	116	0	41	0	120	1.59015246701892	0	0	0
77	1	30	142	0	43	0	120	0.740024988015648	1	0	0
78	0	131	91	1	42	0	122	0.688931990996934	1	0	0
79	0	90	100	0	42	0	120	0.81749288001447	0	0	0
80	0	106	89	0	44	0	120	0.813574939995306	0	0	0
81	0	42	52	1	47	0	122	1.08235500397859	1	0	0
