Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	80	108	1	30	0	122	0.972519937029574	1	0	0
2	0	135	120	1	27	0	120	1.06019686703803	0	0	0
3	1	7	149	1	35	0	120	0.638263082015328	1	0	0
4	0	33	31	1	33	0	122	0.724783099023625	1	0	0
5	0	32	89	1	31	0	122	1.01371128100436	1	0	0
6	0	76	95	1	29	0	122	0.765310037008021	1	0	0
7	1	13	3	1	26	0	120	0.675709087983705	1	0	0
8	0	14	83	1	24	0	122	0.920096017012838	1	0	0
9	1	88	102	1	22	0	122	0.898586570983753	0	0	0
10	0	7	19	0	29	0	120	3.67754432198126	0	0	0
11	1	126	61	0	35	0	120	0.66044377698563	1	0	0
12	0	124	137	1	33	0	122	0.627894413017202	1	0	0
13	0	103	95	1	31	0	122	0.524589148990344	1	0	0
14	1	47	101	0	29	0	120	0.532683815981727	1	0	0
15	1	42	67	0	27	0	120	0.966648261004593	1	0	0
16	0	93	16	1	26	0	122	0.510772407986224	1	0	0
17	1	102	5	1	24	0	120	0.555309648974799	1	0	0
18	1	107	33	0	22	0	120	1.07201019703643	1	0	0
19	1	45	72	0	20	0	120	0.878925650031306	1	0	0
20	0	7	139	0	18	0	122	0.606277782993857	1	0	0
21	0	140	36	1	16	0	122	0.683986096992157	1	0	0
22	1	53	134	0	15	0	120	0.558726807008497	1	0	0
23	1	45	42	1	13	0	122	1.34280633600429	0	0	0
24	0	69	116	0	18	0	122	0.984866691986099	1	0	0
25	0	29	31	0	16	0	122	1.71964550105622	1	0	0
26	1	103	9	1	15	0	120	1.84555867803283	1	0	0
27	1	120	88	0	13	0	120	0.596981203998439	1	0	0
28	1	54	68	1	11	0	120	0.61170976102585	1	0	0
29	1	23	51	1	10	0	120	0.644273839949165	1	0	0
30	0	142	40	0	8	0	122	6.12460240500513	1	0	0
31	0	68	20	1	7	0	122	3.11802183097461	1	0	0
32	1	140	19	0	5	0	120	1.67855632200371	1	0	0
33	1	15	115	0	4	0	122	3.65255772601813	0	0	0
34	1	61	104	0	8	0	122	2.7333014329779	0	0	0
35	0	57	118	0	12	0	122	5.37346367695136	1	0	0
36	1	75	146	0	11	0	120	2.06783988402458	1	0	0
37	1	12	144	0	9	0	120	2.07180502801202	1	0	0
38	0	65	78	0	8	0	120	1.52279363997513	0	0	0
39	1	88	27	1	12	0	120	0.660913639992941	1	0	0
40	0	132	113	0	11	0	122	3.21195673104376	1	0	0
41	1	126	130	1	9	0	120	0.797342387959361	1	0	0
42	0	73	150	1	8	0	122	1.57221961696632	1	0	0
43	1	63	8	1	7	0	122	3.54713190195616	0	0	0
44	1	12	7	1	11	0	122	3.62738458201056	0	0	0
45	0	66	57	0	15	0	120	1.60407191794366	0	0	0
46	0	117	139	1	19	0	120	1.0368339199922	0	0	0
47	0	59	98	0	23	0	120	17.9819523289916	0	0	0
48	1	47	147	0	27	0	120	0.718508493038826	1	0	0
49	0	148	2	1	25	0	120	4.16376515099546	0	0	0
50	1	96	63	0	29	0	120	0.831529936986044	1	0	0
51	0	123	43	0	28	0	122	1.58806884702062	1	0	0
52	0	119	136	1	27	0	120	1.01145123201422	0	0	0
53	0	113	97	1	30	0	120	1.00323810899863	0	0	0
54	1	146	27	0	34	0	122	0.741788498009555	0	0	0
55	1	35	116	1	38	0	122	1.34402100596344	0	0	0
56	0	144	133	1	42	0	122	0.802698243991472	1	0	0
57	1	87	77	0	40	0	122	1.03015103103826	0	0	0
58	0	82	40	0	44	0	120	3.67371473502135	0	0	0
59	1	40	122	1	48	0	120	1.48544633598067	1	0	0
60	1	39	31	0	46	0	120	1.04444606701145	1	0	0
61	0	47	10	1	45	0	122	0.620261719974224	1	0	0
62	0	136	149	0	44	0	122	2.92585325695109	1	0	0
63	0	74	72	1	43	0	122	1.55871656397358	1	0	0
64	0	73	138	1	42	0	122	1.05406642501475	1	0	0
65	1	107	111	0	41	0	120	0.54989421000937	1	0	0
66	0	108	9	1	39	0	122	0.781125510053243	1	0	0
67	0	50	144	1	38	0	122	2.18836781999562	1	0	0
68	1	14	111	0	37	0	122	1.19089461298427	0	0	0
69	1	23	107	1	40	0	122	0.930710466986056	0	0	0
70	0	27	40	1	44	0	122	1.1145562310121	1	0	0
71	1	39	113	0	43	0	122	1.94788040500134	0	0	0
72	1	117	147	1	46	0	120	3.67704883101396	1	0	0
73	0	80	130	1	45	0	122	0.754024035995826	1	0	0
74	1	75	100	0	44	0	120	0.615536787023302	1	0	0
75	1	8	110	1	43	0	122	1.35698934597895	0	0	0
76	0	146	107	1	46	0	122	0.732395669969264	1	0	0
77	0	109	137	1	45	0	122	0.878598110983148	1	0	0
78	1	16	79	0	44	0	120	0.997546172991861	1	0	0
79	0	125	43	1	43	0	122	1.53869620797923	1	0	0
80	1	55	44	1	42	0	122	0.698748257011175	0	0	0
81	0	93	87	0	45	0	122	0.612734246009495	1	0	0
82	1	4	142	1	44	0	122	0.838434188975953	0	0	0
83	0	59	15	0	46	0	120	0.587153876957018	0	0	0
84	1	54	34	1	49	0	120	0.641977899009362	1	0	0
85	1	5	17	0	48	0	120	0.58308988797944	1	0	0
